rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,macd_loss_enabled,macd_loss_prev,macd_loss_current,macd_loss_net_factor,macd_loss_trigger_date,entry_origin,entry_stop_pct,entry_limit,use_extra_exit,entry_signal_date,entry_b,entry_jf
held-macd-loss-exit,SNOW,2023-09-01,2023-09-22,-4.416632663719266,14,macd_loss,7.634403288717695,True,0.6233994485497036,-1.087408611587092,0.9407468821623894,2023-09-21,v5,,,False,2023-08-31,True,False
held-macd-loss-exit,SNOW,2024-06-28,2024-07-19,-2.979806292345133,14,macd_loss,7.090977914117302,True,0.7650923277272947,-0.13915804913713714,0.9702766246661318,2024-07-18,v5,,,False,2024-06-27,True,False
held-macd-loss-exit,TSLA,2022-02-25,2022-03-15,-4.388095463646701,12,macd_loss,8.73174981191205,True,1.4995671344759494,-0.7049415903151051,0.945142891724017,2022-03-14,v5,,,False,2022-02-24,False,True
held-macd-loss-exit,TSLA,2022-12-05,2022-12-14,-16.104488385890125,7,macd_loss,-3.6898254872679614,True,0.8013513951558764,-0.7581069768457596,0.8479109788547693,2022-12-13,v5,,,False,2022-12-02,True,False
held-macd-loss-exit,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,True,,,,,v5,,,False,2023-01-17,True,False
held-macd-loss-exit,TSLA,2024-04-30,2024-05-30,-4.683375505530007,21,macd_loss,-0.2032247474094251,True,0.0807407814948875,-0.24645304072166274,0.9404096836260003,2024-05-29,v5,,,False,2024-04-29,True,False
held-macd-loss-exit,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,True,,,,,v5,,,False,2022-01-10,False,True
held-macd-loss-exit,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,True,,,,,v5,,,False,2022-02-15,False,True
held-macd-loss-exit,MRNA,2023-08-18,2023-09-12,-0.69937054213004,16,macd_loss,10.122758325063375,True,0.07792299249209167,-0.4177757440180352,0.9970586149600248,2023-09-11,v5,,,False,2023-08-17,False,True
held-macd-loss-exit,MRNA,2023-11-03,2024-02-12,19.3532294919067,67,trail,57.94227421730067,True,,,,,v5,,,False,2023-11-02,False,True
held-macd-loss-exit,GOOGL,2022-02-02,2022-02-18,-11.933755559818493,12,macd_loss,-2.148760330578514,True,0.19339535327205404,-0.4479778594150714,0.8745392132291936,2022-02-17,v5,,,False,2022-02-01,True,False
held-macd-loss-exit,GOOGL,2024-03-15,2024-08-26,16.370420922658813,113,terminal,34.1613983689693,True,,,,,v5,,,False,2024-03-14,True,False
held-macd-loss-exit,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,True,,,,,v5,,,False,2022-01-24,False,True
held-macd-loss-exit,AAOI,2023-01-13,2023-01-20,-1.91320485993266,4,signal,4.721035927736872,True,,,,,v5,,,False,2023-01-12,True,False
held-macd-loss-exit,AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail,26.37362011157598,True,,,,,v5,,,False,2023-03-28,False,True
held-macd-loss-exit,AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal,193.78530312430712,True,,,,,v5,,,False,2023-05-08,False,True
held-macd-loss-exit,AAOI,2024-04-17,2024-04-26,-8.986291047588256,7,macd_loss,0.6644511956771071,True,0.01131982531736675,-0.022329776162966386,0.8836121712146396,2024-04-25,v5,,,False,2024-04-16,False,True
held-macd-loss-exit,AAOI,2024-07-11,2024-07-25,-5.00312131648667,10,trail,27.16577388474675,True,,,,,v5,,,False,2024-07-10,True,False
held-macd-loss-exit,AAOI,2024-08-20,2024-08-26,11.76681414720866,5,terminal,13.03841519981419,True,,,,,v5,,,False,2024-08-19,True,False
