symbol,date,signal,close,b_score,s_score,regime,ma60_slope20_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,ret_60d_pct,mfe_20d_pct,mae_20d_pct,mfe_day,mae_day,interference,subtype
GOOGL,2022-01-31,B买,135.30349731445312,1.0,0.0,bull,-1.324305431178896,1.1675658363786479,-1.5033280683230732,-2.5676933455157203,-16.933813353815232,10.13993734109182,-9.187139786410537,2.0,17.0,True,stage
NFLX,2022-01-31,B买,42.7140007019043,2.0,1.0,bear,-8.557073871770914,-7.12768442262397,-8.404933061739396,-10.79083686768747,-56.453253263695615,5.894304448180399,-18.07095586903966,1.0,17.0,True,bear/crash-recovery
TQQQ,2022-01-31,B买,29.459983825683594,1.0,0.0,bear,-1.7126774086193786,-8.090349579482991,-14.402452231543329,-19.833384737711302,-39.05799053041663,4.726039581166974,-34.940723469542746,2.0,17.0,True,bear/crash-recovery
AAOI,2022-02-01,B买,4.119999885559082,1.0,1.0,bear,-17.116831641475027,-6.746992852383515,-6.265059867191091,-10.843374393799232,-37.83132856825567,9.879514168440263,-19.518076206848967,13.0,18.0,True,bear/crash-recovery
SNOW,2022-02-01,B买,283.760009765625,1.0,0.0,bear,-5.272120745300435,3.875287479346956,6.17214134771138,-6.324318824883147,-34.27590305830287,16.60885938606702,-15.026894047970584,7.0,16.0,True,bear/crash-recovery
SNOW,2022-02-11,S卖,293.69000244140625,0.0,4.0,bear,-7.853674922256282,-6.899955353797804,-9.657890951599246,-43.29388513078057,-51.1120194176732,4.084203858170787,-44.10664423079118,3.0,20.0,False,bear-rally
MRNA,2022-02-15,绝反,151.1199951171875,3.0,1.0,bear,-15.582868208186307,-8.054464017702756,0.16258332279006638,14.727005969554362,-11.820889801811452,15.025070226403137,-17.348593570015115,20.0,14.0,False,juefan
MRNA,2022-02-24,B买,156.22999572753906,6.0,1.0,bear,-15.54269932584994,-9.293680042899089,-10.575566945367921,15.164714623390463,-12.67145476931033,20.497368832070872,-21.798488145685535,18.0,8.0,False,bear/crash-recovery
TQQQ,2022-02-24,绝反,23.61372947692871,6.0,1.0,bear,-11.710001299212303,0.4800020643988434,-9.719986384453039,14.040011668695996,-45.320004466900784,14.180011071545383,-20.880004399424145,20.0,12.0,False,juefan
TSLA,2022-02-24,绝反,266.92333984375,2.0,1.0,bear,-7.488854868738493,3.71463805089971,3.5922932022468768,25.294407141119702,-17.959050565960887,28.60372555563726,-6.57291872903455,19.0,12.0,False,juefan
YINN,2022-02-24,绝反,141.1999969482422,3.0,1.0,bear,-8.378052199904285,-9.523812407178456,-34.92063998837425,-28.715729653022205,-46.32034758330958,3.318896567212981,-59.595961375228576,1.0,13.0,True,juefan
AAOI,2022-03-08,B买,3.7300000190734863,3.0,1.0,bear,-13.425140487548415,-16.931213527239542,-12.698413299114586,-12.698413299114586,-38.8888899401172,2.910056464205768,-20.63492003421874,1.0,4.0,True,bear/crash-recovery
YINN,2022-03-15,绝反,62.20000076293945,3.0,1.0,bear,-12.495608527529301,22.619047619047628,24.523807707287016,2.3809523809523725,8.80952562604631,35.47619410923548,-2.8571446736653683,14.0,1.0,False,juefan
SNOW,2022-03-16,绝反,197.83999633789065,4.0,1.0,bear,-12.607444186095185,13.969233586238005,18.784617888621803,9.953848031850953,-37.220513759515214,26.420515011518454,-2.020514072516022,9.0,1.0,False,juefan
YINN,2022-03-16,B买,102.4000015258789,5.0,1.0,bear,-12.740603205776003,10.173161656546291,11.68830654114057,-1.5151531415146136,-1.341989007892208,23.160174429093793,-8.441561604924031,13.0,1.0,True,bear/crash-recovery
SNOW,2022-03-17,B买,208.8500061035156,2.0,1.0,bear,-12.848777937318312,7.303850131755274,8.039420456691637,-6.341944941586997,-46.57676250775693,16.23915604680237,-6.374954807493416,8.0,20.0,False,bear/crash-recovery
AAOI,2022-05-03,B买,2.7699999809265137,2.0,0.0,bear,-10.252672657747775,-17.39130509898733,-10.507245030981027,-17.028986602689866,-37.68115816835444,3.6231849629747126,-27.173913137373418,1.0,4.0,True,bear/crash-recovery
YINN,2022-05-03,B买,85.0,1.0,0.0,bear,-22.398063142332482,-23.61808994653769,-5.778892666206026,1.8969876446937262,-12.763814356124614,10.75377556793702,-27.889443936936342,19.0,7.0,False,bear/crash-recovery
MSFT,2022-05-04,B买,289.9800109863281,1.0,0.0,bear,-2.2245088678080505,-8.751845627272804,-11.01772283127106,-3.8383489685061,-2.637108129844523,0.28367217705196346,-13.693354673050774,1.0,12.0,True,bear/crash-recovery
NFLX,2022-05-13,B买,18.763999938964844,2.0,1.0,bear,-17.271433888126865,-3.5954459263700222,0.9777505264943365,-12.214175221695978,26.28556334425216,7.2840194081851495,-12.591826305564357,17.0,20.0,True,bear/crash-recovery
SNOW,2022-05-26,绝反,126.8000030517578,2.0,2.0,bear,-18.86915935603244,1.5011773068285272,-4.2845999152117065,15.832675628630199,19.679441358917437,18.999214333431013,-13.788117221141905,20.0,12.0,False,juefan
SNOW,2022-06-02,B买,138.24000549316406,1.0,0.0,bear,-18.769242352717075,-1.296488409684371,-15.261519577836403,7.075124725173909,38.11675698382408,14.550303757078442,-18.310117884266752,17.0,8.0,False,bear/crash-recovery
YINN,2022-06-09,S卖,91.4000015258789,0.0,5.0,bear,-16.169900159277006,-13.87062715562749,4.103918337164236,-11.24072721153324,-39.55461489358086,13.319191041489198,-17.592792609115293,12.0,2.0,False,bear-rally
TQQQ,2022-06-15,绝反,11.864039421081545,3.0,1.0,bear,-13.167331269712356,10.178333719679955,4.393213783158489,16.528911597637407,34.5367476572284,23.966914733614942,-7.264028242366183,7.0,1.0,False,juefan
AAOI,2022-08-05,S卖,1.8600000143051147,0.0,4.0,bear,-15.069990819876455,39.03742770068166,34.75935692517042,21.390373002041162,47.05882315442187,63.10160131224565,-4.010697726870093,7.0,2.0,True,bear-rally
TSLA,2022-08-05,S卖,288.1700134277344,0.0,4.0,bear,-5.511224434704376,1.7050843319650344,0.564968303098512,-8.403392727092163,-22.86779888605668,6.666663218352764,-9.779663085937496,7.0,19.0,False,bear-rally
SNOW,2022-08-09,S卖,160.5500030517578,0.0,4.0,bear,-4.703887616604929,-1.2800838333259956,-9.703867705078007,4.860777505132252,-12.842144716720927,21.31901750755174,-12.85394525468504,13.0,9.0,True,bear-rally
YINN,2022-08-11,绝反,66.83000183105469,3.0,1.0,bear,0.5512402115520842,-3.769780235322917,11.929882951640703,-5.646911947482868,-55.38318238076171,20.38473406186201,-14.272418389089891,11.0,19.0,True,juefan
NFLX,2022-08-16,S卖,24.569000244140625,0.0,3.0,bear,7.17671638068873,-6.895265381487903,-8.512312355345408,-7.073552418239359,5.58918472115526,2.197531660895935,-10.983498484512722,2.0,14.0,False,bear-rally
MRNA,2022-08-17,S卖,158.0,0.0,2.0,bear,7.084933841387819,-9.917202117336787,-15.751589635375197,-13.464967764107282,7.363055769804938,0.9617799406598238,-17.46496698658937,1.0,14.0,False,bear-rally
TQQQ,2022-08-17,S卖,17.772235870361328,0.0,4.0,bear,-0.26014428136089673,-12.211487098757878,-25.362317870349205,-32.662369225645214,-42.43156010104963,1.8786924167275565,-33.84326174548185,1.0,20.0,False,bear-rally
YINN,2022-08-25,B买,72.1500015258789,3.0,1.0,bear,-2.277745379092755,-16.82989409200716,-21.62371019233055,-42.28092552029571,-53.05412239495744,0.0,-43.6984542708732,1.0,20.0,True,bear/crash-recovery
NVDA,2022-08-30,S卖,15.468000411987305,0.0,1.0,bear,0.44774759429644373,-10.855434837120626,-14.664583923929719,-17.212687166490625,7.377790484618929,1.0140414658639019,-20.6058249639381,1.0,18.0,False,bear-rally
YINN,2022-10-04,B买,46.2599983215332,2.0,1.0,bear,-18.249218718099492,-23.47528638597145,-25.422643236659237,-51.93665888189778,6.462658864428361,2.974533283254366,-57.92852548683921,1.0,14.0,True,bear/crash-recovery
TQQQ,2022-10-13,绝反,9.200587272644045,5.0,1.0,bear,-5.37753856620199,-3.224197555360986,0.25189783393753107,8.060440166995075,-6.367934524056218,14.05539698231333,-15.113361479610987,8.0,16.0,False,juefan
YINN,2022-10-13,绝反,34.189998626708984,3.0,1.0,bear,-20.6890329472628,-13.61594222222079,-33.0432310593903,-15.272315524522496,77.03538254978358,4.070749035428811,-44.806287375225814,3.0,7.0,True,juefan
TQQQ,2022-10-21,B买,9.800935745239258,1.0,0.0,bear,-8.227546086358162,5.186644690078723,-12.990777528803132,5.86526113103254,-8.153958128915416,16.093106791662315,-18.32282063975993,17.0,10.0,False,bear/crash-recovery
YINN,2022-11-04,B买,28.760000228881836,1.0,1.0,bear,-23.79021022723248,14.095306288981547,21.39286913472027,53.315554717166755,112.12928811025225,62.61245872999055,-14.895032586679335,20.0,3.0,False,bear/crash-recovery
NVDA,2022-11-09,S卖,13.776000022888184,0.0,4.0,bear,-11.056163262203588,7.499997583595519,11.61485734353378,16.00675948881769,49.81756790499341,16.65539977801298,-1.709461190127537,15.0,1.0,True,bear-rally
SNOW,2022-11-10,绝反,145.3800048828125,5.0,1.0,bear,0.10134952950735521,0.7160413639717644,-1.3093277256797653,-1.4388984036646901,8.469720554173744,14.566285255903644,-10.004090445993885,3.0,13.0,True,juefan
SNOW,2022-11-11,B买,159.41000366210938,1.0,1.0,bear,0.13103601555464195,-7.074305442876816,-10.334961112055641,-4.099661141025324,3.400489914486582,6.781922103072913,-16.11898577207406,2.0,12.0,True,bear/crash-recovery
NFLX,2022-11-30,B买,30.55299949645996,5.0,1.0,bull,6.811534664647345,1.4572811068206404,4.552783876300337,-4.233694032770208,5.967305086871599,9.450966069347832,-10.05954323395699,9.0,19.0,True,base-bull
TSLA,2022-11-30,B买,194.6999969482422,1.0,1.0,bear,-12.658635986811174,-11.690688213344313,-20.438399840196166,-38.187538784755304,4.378934850127769,0.9336291459282275,-45.078142450720385,1.0,19.0,True,bear/crash-recovery
YINN,2022-12-07,S卖,44.709999084472656,0.0,3.0,bear,-18.134410167202585,1.4474788132852412,-4.693962839358967,25.971872208589787,-6.90653455424679,26.488828364182737,-12.220843202692311,20.0,9.0,True,bear-rally
SNOW,2022-12-12,B买,150.8800048828125,1.0,0.0,bear,-6.572410502280213,-13.687496185302738,-13.900003433227537,-12.681245803833008,-17.837495803833004,1.6874980926513627,-25.4562520980835,1.0,17.0,True,bear/crash-recovery
YINN,2022-12-29,B买,49.75,3.0,1.0,bear,-3.22390372475706,28.49609442103942,38.95802038694596,36.2581706012119,-1.1179050432454374,55.13605418366725,-3.2693508585724063,19.0,1.0,False,bear/crash-recovery
AAOI,2023-01-09,B买,2.1500000953674316,2.0,1.0,bear,-11.762813201342192,13.488369720442584,3.2558107040844053,21.860454388088215,-1.8604743487125486,34.69766418556106,-1.3953585338433494,18.0,1.0,False,bear/crash-recovery
TSLA,2023-01-09,B买,119.7699966430664,2.0,0.0,bear,-19.88965302161351,8.6065960391551,18.8485997789259,62.55884864515073,53.23367038910798,64.36772156736639,-5.079707228364527,18.0,1.0,False,bear/crash-recovery
TQQQ,2023-01-10,B买,8.855607986450195,1.0,0.0,bear,-4.6648211029464814,4.175583488474444,14.775148475127375,33.77944110495834,47.69758071179617,46.94862922896059,-0.8565302184057155,16.0,1.0,False,bear/crash-recovery
SNOW,2023-01-11,B买,139.7100067138672,1.0,0.0,bear,-6.862175798876857,-3.6683481151607578,8.590353736751277,15.877194517443915,5.256788172161397,27.28826677480456,-4.309425940637124,15.0,9.0,False,bear/crash-recovery
AAOI,2023-01-19,S卖,2.2899999618530273,0.0,2.0,bear,-9.685589978210185,-3.9301273217701382,23.144103939674476,28.820964926856508,-4.366808135300149,33.62445387568667,-6.986893016480245,20.0,4.0,True,bear-rally
TQQQ,2023-01-30,S卖,10.50316333770752,0.0,5.0,bear,-0.6134423097405417,13.35462398404077,13.71925094933153,0.8660142867192855,17.453791257964333,25.113983300179775,-2.689146470557313,3.0,18.0,True,bear-rally
SNOW,2023-02-03,S卖,163.2899932861328,1.0,6.0,bull,-2.960874628229093,-1.5087038808274666,-3.5432599646126772,-11.061723776954224,-9.327662853943664,10.147734379395533,-17.91662037798123,8.0,18.0,False,major-top
TSLA,2023-02-10,S卖,196.88999938964844,0.0,5.0,bear,-8.709183396064791,7.144326468709483,6.794571977306618,-10.256147839317931,-12.997636308226912,11.948357137290433,-15.692827278150489,4.0,20.0,False,bear-rally
MRNA,2023-02-14,B买,175.6199951171875,1.0,0.0,bull,4.996437787786379,-8.662008522611375,-21.660792806754582,-13.61089814324229,-25.84743025935007,2.4253606240410397,-22.815727276436093,1.0,10.0,True,stage
NFLX,2023-02-21,S卖,33.75,0.0,2.0,bull,8.283698939519368,-4.554070366753471,-8.601481119791664,-9.395554154007524,0.7288840964988497,1.3066722728587887,-15.457774974681726,1.0,14.0,False,major-top
NVDA,2023-02-23,B买,23.663999557495117,5.0,1.0,bull,13.300111275920056,0.3832025536872452,0.9085056578652662,17.07642427612528,34.61356049711459,18.79009794943396,-3.9956920612168045,19.0,12.0,False,base-bull
NFLX,2023-03-23,B买,32.0369987487793,5.0,1.0,bull,0.47598448476688926,5.551566586235568,5.832264441579271,2.2923638357225773,35.57683807839575,9.097713382659588,-1.4128407163107704,8.0,18.0,False,base-bull
AAOI,2023-03-28,绝反,1.8200000524520872,1.0,2.0,bear,5.926616092397552,21.42857002500842,26.37362011157598,13.186806780807615,138.4615399730679,29.120870159669067,-4.120881622100391,10.0,1.0,False,juefan
AAOI,2023-03-31,B买,2.2100000381469727,2.0,0.0,bear,5.140220089496617,3.7383140086171496,2.3364462553857157,-14.953272746050484,141.58877676902955,9.813074272620037,-14.953272746050484,7.0,20.0,True,bear/crash-recovery
NVDA,2023-04-25,S卖,26.24099922180176,0.0,1.0,bull,16.355700480469526,4.473736166124809,5.810674356714873,13.650836257423538,64.09524028163096,17.872743358768627,-1.3961958278074338,17.0,2.0,True,major-top
MSFT,2023-04-26,B买,295.3699951171875,6.0,1.0,bull,6.494710017449967,2.8482591617435826,5.520828553737767,6.041154444392327,16.60302866107568,9.038078146322913,-0.24326831021168616,19.0,1.0,False,base-bull
AAOI,2023-05-08,绝反,1.7699999809265137,6.0,1.0,bear,-5.34922752416509,-7.34463257810768,-0.5649712187015044,53.67231965654793,272.31639681365016,59.322031843562925,-7.34463257810768,20.0,5.0,False,juefan
AAOI,2023-05-10,B买,1.850000023841858,1.0,0.0,bear,-6.324815037548149,-5.945946642567057,-4.8648666064176505,68.64864028919528,569.1891867510153,71.35135326705941,-11.351353267059416,20.0,3.0,False,bear/crash-recovery
YINN,2023-06-06,B买,37.72999954223633,1.0,0.0,bear,-7.646511504491283,4.060237138987199,-3.710667664362022,-14.170472559873259,-11.884910815164629,17.04759447889479,-15.272919084616221,8.0,20.0,True,bear/crash-recovery
YINN,2023-06-20,S卖,36.650001525878906,1.0,5.0,bear,-4.77059713571879,0.11169254201679468,-2.4574170186197897,-0.8936042517521114,-10.611569131611521,12.231212190583163,-12.007821780248095,16.0,11.0,False,bear-rally
AAOI,2023-06-21,S卖,4.164999961853027,1.0,7.0,bull,5.679598127174423,10.117143498729298,38.658146770167235,72.94993799085915,109.58466012379078,144.5154232693884,-23.51437808706346,15.0,1.0,True,major-top
NFLX,2023-07-27,S卖,41.31700134277344,0.0,1.0,bull,9.765905388249351,3.715465221226011,3.470019615086062,-2.076713272385322,-3.5133292257438664,7.1445802951736415,-4.189530126525021,3.0,16.0,False,major-top
TSLA,2023-08-01,S卖,261.07000732421875,0.0,1.0,bull,16.672449975721282,-2.2968306952113493,-8.846891247950028,0.6299586435899895,-16.88383140378945,3.5997892654836994,-16.907307381750215,3.0,13.0,False,major-top
TQQQ,2023-08-09,S卖,19.190095901489254,0.0,1.0,bull,15.801765002742174,-6.910975658899476,-2.1643175902241962,-0.6886585120778443,-10.40861382951368,6.640401242939542,-13.010343792195933,17.0,7.0,False,major-top
NVDA,2023-08-10,S卖,42.38800048828125,0.0,2.0,bull,16.3161376766638,3.8154830789562277,12.962560944611546,9.15187467553007,7.793829274135766,20.394719890972613,-3.449015941306788,10.0,2.0,True,major-top
MRNA,2023-08-17,B买,106.23999786376952,3.0,1.0,bear,-5.43405584454616,6.373937585213807,6.770536417030337,8.205849562606593,-33.85268928949014,11.491971665336864,-4.249291723475879,9.0,1.0,False,bear/crash-recovery
MRNA,2023-08-17,绝反,106.23999786376952,3.0,1.0,bear,-5.43405584454616,6.373937585213807,6.770536417030337,8.205849562606593,-33.85268928949014,11.491971665336864,-4.249291723475879,9.0,1.0,False,juefan
TSLA,2023-08-21,B买,231.27999877929688,5.0,1.0,bull,11.352776806760723,-0.5952102708766893,6.7596213254422555,10.926118626430803,-1.1821004528160928,16.120712169127206,-5.0239364512877245,18.0,3.0,False,base-bull
MSFT,2023-08-23,B买,327.0,1.0,0.0,bull,1.299507847560477,-1.2197679087111335,-0.883281474386366,-4.001804740864645,13.014873525568248,2.406483130889825,-5.362777760612181,15.0,20.0,False,stage
NFLX,2023-08-23,B买,42.755001068115234,2.0,1.0,bull,6.810032556059475,2.1767205278972135,4.167741225057542,-9.698877354000246,9.764695923588773,6.591290356019286,-9.870480891631782,8.0,20.0,True,stage
SNOW,2023-08-30,B买,155.33999633789062,1.0,0.0,bull,-2.9721270178489356,2.4615361140324588,4.474356235601973,-3.1282082582131387,9.717951065454722,10.480773143279244,-9.108978662735378,7.0,20.0,True,stage
TQQQ,2023-10-06,B买,18.113191604614254,1.0,1.0,bull,-2.222527196314217,2.1852012242993712,-6.8833709948872945,2.649567830874333,27.819000660944514,9.396352186260849,-16.771365077416377,4.0,14.0,False,stage
YINN,2023-10-10,B买,29.799999237060547,1.0,1.0,bear,-6.204805808471381,-7.777414335342058,-12.821342939799663,-10.901400687837226,-38.7243729118008,1.431827336843483,-24.015617542145705,1.0,9.0,True,bear/crash-recovery
NFLX,2023-10-19,B买,40.176998138427734,7.0,1.0,bull,-5.274644256137339,-0.5152469866731568,4.703796462205179,15.117225084444241,18.41580078219962,15.198582346649658,-2.4677648533429797,20.0,6.0,False,base-bull
MSFT,2023-10-25,B买,340.6700134277344,5.0,1.0,bull,-1.5072141687930807,1.623891067286265,6.65413845466567,10.956127509955138,17.137482788270987,11.525811656524464,-3.993658824884183,20.0,1.0,False,base-bull
MRNA,2023-11-02,绝反,71.2300033569336,3.0,1.0,bear,-9.34207293676208,-4.898063183790646,4.733899147937826,9.221515707847928,38.25421824432684,10.986464374097338,-7.483915536157837,15.0,7.0,False,juefan
MRNA,2023-11-03,B买,77.52999877929688,2.0,1.0,bear,-9.374723690299735,-10.238336455708307,-2.050228671643628,2.3449536258149717,26.88364362046638,3.9466963030774016,-13.352124611356942,14.0,6.0,False,bear/crash-recovery
AAOI,2023-11-30,S卖,13.25,1.0,3.0,bull,-5.798759738477333,33.88931318600474,75.81502101445645,46.474604317332215,6.747538829693367,82.56255261386664,-1.5921155786789654,13.0,1.0,True,major-top
YINN,2023-12-28,B买,20.540000915527344,2.0,1.0,bear,-11.974257186576132,-8.19112767639092,-14.285715614229023,-21.01413660577689,-9.312529625048372,2.9254040700829043,-34.66601916629616,1.0,15.0,True,bear/crash-recovery
SNOW,2024-01-04,S卖,183.72000122070312,0.0,2.0,bull,8.164988718781952,5.986881592066129,4.632381997986101,18.524129504182362,-15.376282037503364,19.05509929745255,-1.1052762984065767,20.0,8.0,True,major-top
YINN,2024-02-26,S卖,19.299999237060547,0.0,4.0,bear,-15.378696212398212,-11.100097805963106,-4.658079880288824,-9.365705456226825,51.23885032814335,5.847375061105087,-15.659067391597759,12.0,6.0,False,bear-rally
GOOGL,2024-03-13,B买,139.7899932861328,1.0,0.0,bull,1.0287687164393988,5.347406276086053,6.8560043263675485,12.904597284261964,23.56399440269714,13.095821173349954,-0.8215905106955246,20.0,2.0,False,stage
TSLA,2024-03-27,B买,179.8300018310547,1.0,1.0,bear,-10.607986496868227,-3.5728354166947973,-1.6060810897381095,-4.096931190470188,2.8909580000211488,1.1947086009784114,-21.780780254258126,1.0,17.0,True,bear/crash-recovery
AAOI,2024-04-16,绝反,11.989999771118164,5.0,1.0,bear,-11.86015566118348,-6.478403118293241,-18.18936534320591,-7.308971073331138,-22.093022058471167,9.634550258200992,-19.933551712079066,1.0,11.0,True,juefan
TSLA,2024-04-25,B买,170.17999267578125,1.0,1.0,bear,-9.130332414986341,6.609409535039368,1.8477909413131766,2.896061126968852,45.91649154680286,17.77908672106754,-1.4687657072441684,2.0,1.0,False,bear/crash-recovery
TQQQ,2024-04-26,B买,27.023338317871097,1.0,0.0,bull,2.955100074293582,1.1055537822076467,5.509983931918461,16.529968340075364,17.154595629157487,18.59843210735772,-8.701868740393582,19.0,4.0,False,stage
NFLX,2024-05-03,B买,57.93399810791016,1.0,0.0,bull,3.4075197718898442,4.992957673526366,6.751231407268077,8.93232010202949,7.997318657634622,14.167618778365831,-0.26983892407466126,17.0,1.0,False,stage
AAOI,2024-05-06,B买,11.949999809265137,2.0,1.0,bear,-12.630530470466606,-16.317990296144213,3.7656888405658284,-15.899578651517265,-29.707115040976472,9.121340334606408,-17.991628894113653,14.0,5.0,True,bear/crash-recovery
MRNA,2024-05-28,S卖,153.1999969482422,0.0,6.0,bull,13.195080328265396,-3.1066691080729125,-1.0733337402343723,-18.36666870117186,-45.97333272298177,5.880004882812506,-18.586664835611966,7.0,20.0,False,major-top
SNOW,2024-06-26,B买,129.1300048828125,3.0,1.0,bear,-6.455975158718741,10.632692022275725,7.008431387563063,0.35622352488531295,-14.605442210632491,13.420584818208535,-2.8111242511814294,6.0,20.0,False,bear/crash-recovery
AAOI,2024-07-08,B买,8.539999961853027,2.0,1.0,bear,-12.154880892003717,19.999997756060427,13.52940727682672,-18.00000246833352,56.70587876263789,42.470584196202886,-21.176472832174863,6.0,20.0,True,bear/crash-recovery
TSLA,2024-07-11,S卖,241.02999877929688,0.0,6.0,bull,7.245346764981075,5.695501485143484,-6.594572879774141,-15.674302898865733,6.055979047702742,12.63782979901691,-22.815946715636294,2.0,17.0,False,major-top
NVDA,2024-07-17,S卖,117.98999786376952,1.0,2.0,bull,13.301331794092718,-6.237175682636719,-3.9638915810741637,-3.093965277206878,10.63602728499431,2.3307377947060948,-25.572422177200703,4.0,13.0,False,major-top
TQQQ,2024-07-19,S卖,34.87015914916992,0.0,2.0,bull,10.734286976960083,-11.636103037378954,-20.24439216831787,-6.802432234324085,3.7955126874124057,2.009505673964207,-33.74066625522186,2.0,11.0,False,major-top
TQQQ,2024-08-05,绝反,26.312105178833008,1.0,2.0,bear,8.472794935058726,9.458694765865005,31.719946649081198,15.185658334052876,42.48581037294306,35.15607811001102,-2.0875755764146575,13.0,2.0,False,juefan
YINN,2024-08-05,绝反,19.600000381469727,4.0,1.0,bear,0.21546800091036822,12.077295230041308,24.476659037613068,14.761138614494929,85.77564234805581,26.30167335808553,-0.42941453199057955,10.0,1.0,False,juefan
NFLX,2024-08-09,B买,63.39400100708008,1.0,0.0,bull,2.538414520867116,6.825672441671093,8.832009796578099,7.039621949587227,19.732178018081537,12.730594223447934,-0.6228173553132432,7.0,1.0,False,stage
MSFT,2024-08-13,B买,414.010009765625,1.0,0.0,bull,0.968960169912858,2.410800456674833,-0.23143478383060856,1.9865045791818803,1.2970118228397443,2.890554750434937,-3.375120639344753,7.0,17.0,False,stage
YINN,2024-08-13,B买,21.270000457763672,1.0,0.0,bear,-5.627435758500344,3.9423155396650644,10.048078025233863,-0.7692300638503125,59.42308203708508,13.125007450580872,-5.432688472186175,4.0,19.0,False,bear/crash-recovery
AAOI,2024-08-15,B买,8.529999732971191,1.0,0.0,bear,-8.175050050982492,6.737585014823089,21.749410689020678,72.69503062410543,228.13238893273362,77.18675772490285,-2.8368767143733042,19.0,1.0,False,bear/crash-recovery
