case,rule,symbols,start,end,cost,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference
year2024,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,-23.72333142580999,3.7543327154057726,0.3388,5,22,63.63636363636363,36.36363636363637,12,50.0,50.0,10,80.0,20.0,10,50.0,40.0
year2024,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2024-08-27,2025-08-26,0.001,27.106359383333235,27.350489306266603,11.28577658459291,1.4140042904043126,2.423447699966423,17,64.70588235294117,-23.72333142580999,3.7543327154057726,0.3388,5,22,63.63636363636363,36.36363636363637,12,50.0,50.0,10,80.0,20.0,10,50.0,40.0
year2025,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2025-08-27,2026-08-27,0.001,35.12259868124299,35.12259868124299,8.854547671476421,2.440729035282876,3.9666169277494663,17,64.70588235294117,-27.047831583052417,16.521418373581742,0.27380952380952384,5,21,76.19047619047619,23.809523809523807,12,75.0,25.0,9,77.77777777777779,22.22222222222222,14,50.0,42.857142857142854
year2025,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2025-08-27,2026-08-27,0.001,32.817977820220065,32.817977820220065,8.854547671476432,2.4327387008296633,3.7063415363314554,17,58.82352941176471,-27.047831583052417,16.521418373581742,0.2619047619047619,6,21,76.19047619047619,23.809523809523807,12,75.0,25.0,9,77.77777777777779,22.22222222222222,17,47.05882352941176,47.05882352941176
early8,v5,"TQQQ,MSFT,NFLX,YINN,TSLA,NVDA,GOOGL,AAOI",2017-09-22,2021-08-26,0.001,-0.31814622097924294,-0.08116083066103119,22.432693770405866,0.058521612128882905,-0.0036179707837006143,45,46.666666666666664,-33.02304593375068,-6.156136895471365,0.31926188068756317,22,51,47.05882352941176,45.09803921568628,28,64.28571428571429,25.0,23,26.08695652173913,69.56521739130434,40,35.0,50.0
early8,s-cooldown40,"TQQQ,MSFT,NFLX,YINN,TSLA,NVDA,GOOGL,AAOI",2017-09-22,2021-08-26,0.001,-0.31814622097924294,-0.08116083066103119,22.432693770405866,0.058521612128882905,-0.0036179707837006143,45,46.666666666666664,-33.02304593375068,-6.156136895471365,0.31926188068756317,22,51,47.05882352941176,45.09803921568628,28,64.28571428571429,25.0,23,26.08695652173913,69.56521739130434,41,36.58536585365854,48.78048780487805
trusted5,v5,"TQQQ,SNOW,TSLA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,231.09449977924203,27.175864234033355,17.29593339461474,1.2200922369826235,1.571228543380887,44,52.27272727272727,-27.047831583052417,1.7437695455168045,0.24334661354581674,18,52,57.692307692307686,40.38461538461539,28,46.42857142857143,50.0,24,70.83333333333334,29.166666666666668,40,45.0,45.0
trusted5,s-cooldown40,"TQQQ,SNOW,TSLA,NVDA,AAOI",2021-08-27,2026-08-27,0.001,220.66049131578148,26.360784697759108,17.29593339461475,1.2080668046463046,1.5241030418148342,44,50.0,-27.047831583052417,-0.0035705613839864814,0.23856573705179285,19,52,57.692307692307686,40.38461538461539,28,46.42857142857143,50.0,24,70.83333333333334,29.166666666666668,45,44.44444444444444,44.44444444444444
unleveraged8,v5,"MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,150.51112816616686,20.249476678342514,14.412227129203458,1.3116610440796896,1.4050206464836412,57,56.14035087719298,-27.047831583052417,3.7543327154057726,0.33247011952191236,20,75,60.0,38.666666666666664,46,52.17391304347826,45.65217391304348,29,72.41379310344827,27.586206896551722,44,56.81818181818182,36.36363636363637
unleveraged8,s-cooldown40,"MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,145.36315419533636,19.749159608531606,14.412227129203458,1.302811432598327,1.3703058820460814,57,54.385964912280706,-27.047831583052417,3.7543327154057726,0.3294820717131474,21,75,60.0,38.666666666666664,46,52.17391304347826,45.65217391304348,29,72.41379310344827,27.586206896551722,49,55.10204081632652,36.734693877551024
