symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,date,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER,raw_B_BASE_BULL,raw_B_STAGE_COMPONENT,raw_B_BEAR_RECOVER,raw_B_CRASH_RECOVER,position,flat_origin,flat_since,flat_bar,held_trade_id,entry_today,exit_today,terminal_today,pending_buy,bars_from_entry,first_failure_date,first_recovery_date,failed,failure_on_entry,recovered,bars_to_failure,bars_to_recovery,failure_to_recovery_bars,above_high,above_mid,both_above,both_failed,first_failure_today,first_recovery_today
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-04-24,60.93969055463169,62.416290283203125,50.4588207244873,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,10,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-04-27,62.26663399795111,62.4961051940918,51.64908027648926,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,11,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-04-28,60.5805169832937,60.60047149658203,52.78895587921143,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,12,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-04-29,60.85987425682471,61.717899322509766,53.79563808441162,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,13,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-04-30,62.745530787857675,63.394039154052734,54.80880546569824,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,14,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-01,63.743236802374845,65.1500015258789,55.90478229522705,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,15,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-04,65.28967606087322,64.76089477539062,56.94289226531983,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,16,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-05,66.21753783446884,67.23519134521484,58.10222282409668,False,False,False,False,False,False,False,False,2,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,17,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-06,69.100902685571,71.40559387207031,59.27801570892334,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,18,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-07,71.70490584246552,71.17611694335938,60.3944450378418,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,19,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-08,72.6527234234227,76.10477447509766,61.74683151245117,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,20,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-11,75.82541692767967,76.78321075439453,63.058810806274415,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,21,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-12,75.12702657220862,74.78780364990234,64.13383560180664,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,22,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-13,75.63585323529483,77.06256866455078,65.21085586547852,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,23,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-14,77.11245580335901,78.76863861083984,66.33426914215087,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,24,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-15,75.55604227756676,75.16693115234375,67.16984519958496,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,25,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-18,75.95511648595551,74.14927673339844,67.97997989654542,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,26,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-19,72.24366431731083,72.76246643066406,68.75469608306885,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,27,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-20,73.91979720026487,76.33424377441406,69.56782398223876,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,28,,,False,False,False,,,,True,True,True,False,False,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,2026-05-21,75.00730080546673,76.77323150634766,70.45228748321533,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,held,,,,TQQQ:2026-04-10,False,False,False,False,29,,,False,False,False,,,,True,True,True,False,False,False
