clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,recovery,no_failure,3,3,0,3,0,3,0,100.0,17.82960291905422,6.504057678910113,24.9979010382576,-1.4729512010633068
entry,recovery,no_failure,3,3,0,3,0,2,0,66.66666666666666,22.393034864044978,14.292787523026028,26.325202666142687,-2.1770120498999517
failure,recovery,no_failure,3,0,3,0,0,0,0,,,,,
confirmation,recovery,unrecovered,2,2,0,1,1,0,1,0.0,-29.363250732421875,-29.363250732421875,0.9871784438434839,-31.82905800322182
entry,recovery,unrecovered,2,2,0,1,1,0,1,0.0,-33.54958847596836,-33.54958847596836,0.20353463249469517,-33.81673212941404
failure,recovery,unrecovered,2,2,0,1,1,0,1,0.0,-18.729793557393904,-18.729793557393904,3.025405566631778,-27.907620401360422
confirmation,recovery,recovered,5,5,0,5,0,3,2,60.0,3.741562830128342,3.8035273553150395,11.448926068720292,-10.864927378390576
entry,recovery,recovered,5,5,0,5,0,4,0,80.0,5.998007170183907,3.332132550518363,13.929564756486041,-9.064060700692886
failure,recovery,recovered,5,5,0,5,0,4,0,80.0,9.827056360461222,11.42469508692152,16.41191409146869,-7.4053969118179195
confirmation,exit_reason,signal,5,5,0,5,0,4,1,80.0,9.818217209552344,3.8035273553150395,16.26908202292137,-5.419169156964168
entry,exit_reason,signal,5,5,0,5,0,3,0,60.0,12.986658353309556,3.332132550518363,17.247509104527538,-5.168416004677875
failure,exit_reason,signal,5,2,3,2,0,1,0,50.0,-1.122906412793573,-1.122906412793573,3.6309687621048137,-9.655521936844757
confirmation,exit_reason,trail,4,4,0,4,0,2,2,50.0,-1.5644284680948055,4.812058992773156,12.970025446902723,-15.869175678385947
entry,exit_reason,trail,4,4,0,4,0,3,1,75.0,-0.32843494986542,5.835543064756399,15.647355222678822,-14.95649793979724
failure,exit_reason,trail,4,4,0,4,0,3,1,75.0,8.16282526762484,15.408166040449688,19.455759624941404,-11.405890271690126
confirmation,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
entry,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
failure,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
confirmation,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
entry,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
failure,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
