window,symbol,trade_id,date,observation,open,close,overnight_factor,intraday_factor,running_overnight_factor,running_intraday_factor,running_gross_factor
training,MSFT,MSFT:2023-04-28,2023-09-12,close,335.82000732421875,331.7699890136719,0.9937267115408893,0.9879399135780592,1.0935756937987393,0.9979306606374698,1.0913127145696553
training,MSFT,MSFT:2023-04-28,2023-09-13,close,331.30999755859375,336.05999755859375,0.998613523011995,1.0143370258519286,1.0920594762646458,1.0122380183174615,1.10542412013893
training,MSFT,MSFT:2023-04-28,2023-09-14,close,339.1499938964844,338.70001220703125,1.009194775814851,0.9986732074375609,1.1021007183253828,1.0108949884433398,1.1141080929149343
training,MSFT,MSFT:2023-04-28,2023-09-15,close,336.9200134277344,330.2200012207031,0.994744615544304,0.9801139382048958,1.0963087553416841,0.9907922682347944,1.0862142383906515
training,MSFT,MSFT:2023-04-28,2023-09-18,close,327.79998779296875,329.05999755859375,0.992671511662563,1.003843837134066,1.0882744694139326,0.9946007123475809,1.0823985625087829
training,MSFT,MSFT:2023-04-28,2023-09-19,close,326.1700134277344,328.6499938964844,0.9912174553203029,1.0076033368079664,1.0787166502625312,1.0021629965530028,1.0810499106587157
training,MSFT,MSFT:2023-04-28,2023-09-20,close,329.510009765625,320.7699890136719,1.0026168138904987,0.973475704855917,1.0815394509768503,0.9755813294499522,1.0551296954365672
training,MSFT,MSFT:2023-04-28,2023-09-21,close,319.260009765625,319.5299987792969,0.9952926417689826,1.000845671256698,1.0764482573401244,0.9764063505388393,1.0510509144933642
training,MSFT,MSFT:2023-04-28,2023-09-22,close,321.32000732421875,317.010009765625,1.0056020046686078,0.9865865882598314,1.0824785255032585,0.9633094101333464,1.0427617498845585
training,MSFT,MSFT:2023-04-28,2023-09-25,close,316.5899963378906,317.5400085449219,0.9986750783420217,1.0030007650842427,1.081044326260523,0.966200075376597,1.0445051095183597
training,MSFT,MSFT:2023-04-28,2023-09-26,close,315.1300048828125,312.1400146484375,0.9924103936598325,0.9905118833876613,1.072839625387934,0.9570326563905734,1.0267425565660822
training,MSFT,MSFT:2023-04-28,2023-09-27,close,312.29998779296875,312.7900085449219,1.0005125044435954,1.0015690706727725,1.0733894604632106,0.9585343082646014,1.0288806239836172
training,MSFT,MSFT:2023-04-28,2023-09-28,close,310.989990234375,313.6400146484375,0.9942452819419634,1.0085212530862018,1.0672124067517768,0.9667022216971314,1.0316766046296852
training,MSFT,MSFT:2023-04-28,2023-09-29,close,317.75,315.75,1.0131041485767351,0.993705743509048,1.081197316692787,0.9606175499633964,1.0386171173884235
training,MSFT,MSFT:2023-04-28,2023-10-02,close,316.2799987792969,321.79998779296875,1.0016785392851841,1.0174528551757198,1.0830121488638915,0.9773830689421624,1.0585177377582364
training,MSFT,MSFT:2023-04-28,2023-10-03,close,320.8299865722656,313.3900146484375,0.9969857014993824,0.9768102352173609,1.0797476269674204,0.9547177854708597,1.0308542632857516
training,MSFT,MSFT:2023-04-28,2023-10-04,close,314.0299987792969,318.9599914550781,1.0020421331278768,1.0156991137628417,1.081952615366197,0.9697060085963751,1.049175952137164
training,MSFT,MSFT:2023-04-28,2023-10-05,close,319.0899963378906,319.3599853515625,1.000407589936968,1.00084612183638,1.0823936083644963,0.9705264980251174,1.050491678210765
training,MSFT,MSFT:2023-04-28,2023-10-06,close,316.54998779296875,327.260009765625,0.991201159545707,1.0338335883293759,1.0728697996957506,1.00336289202205,1.0764777449858458
training,MSFT,MSFT:2023-04-28,2023-10-09,close,324.75,329.82000732421875,0.9923302276760836,1.0156120317912818,1.0646411325988783,1.0190274253904907,1.084898512317051
training,MSFT,MSFT:2023-04-28,2023-10-10,close,330.9599914550781,328.3900146484375,1.0034563825891216,0.9922347810218944,1.0683209396732558,1.0111144542876385,1.0801947439217812
training,MSFT,MSFT:2023-04-28,2023-10-11,close,331.2099914550781,332.4200134277344,1.0085872793959938,1.0036533377732366,1.0774949100668207,1.0148083969165531,1.093450882370656
training,MSFT,MSFT:2023-04-28,2023-10-12,close,330.57000732421875,331.1600036621094,0.9944347330822854,1.0017847848407855,1.07149836328982,1.0166196115596715,1.0893062498745207
training,MSFT,MSFT:2023-04-28,2023-10-13,close,332.3800048828125,327.7300109863281,1.0036840234545592,0.986010007135887,1.0754457883917015,1.0023971104484344,1.07802375072778
training,MSFT,MSFT:2023-04-28,2023-10-16,close,331.04998779296875,332.6400146484375,1.010130219068583,1.004802981163265,1.0863402898244945,1.0072116048880295,1.094174546768656
training,MSFT,MSFT:2023-04-28,2023-10-17,close,329.5899963378906,332.05999755859375,0.9908308736885717,1.0074941631971466,1.0763794984899,1.0147598130291204,1.0922666586359893
training,MSFT,MSFT:2023-04-28,2023-10-18,close,332.489990234375,330.1099853515625,1.0012949246489873,0.9928418750858189,1.077773328834159,1.007496035529567,1.0858523559999196
training,MSFT,MSFT:2023-04-28,2023-10-19,close,332.1499938964844,331.32000732421875,1.006179784421696,0.9975011693887783,1.084433735661808,1.0049784735953011,1.089832560380654
training,MSFT,MSFT:2023-04-28,2023-10-20,close,331.7200012207031,326.6700134277344,1.0012072735954425,0.984776354231324,1.0857429438768795,0.9896790373081416,1.0745370314601776
training,MSFT,MSFT:2023-04-28,2023-10-23,close,325.4700012207031,329.32000732421875,0.9963265308791598,1.011829065932577,1.0817545006993776,1.001386015892549,1.0832538296291834
training,MSFT,MSFT:2023-04-28,2023-10-24,close,331.29998779296875,330.5299987792969,1.0060123297240204,0.9976758555929889,1.0882583654380253,0.9990586501844532,1.087233933626453
training,MSFT,MSFT:2023-04-28,2023-10-25,close,345.0199890136719,340.6700134277344,1.0438386539433304,0.9873921056041621,1.1359661473213973,0.9864626242276793,1.1205881467204721
training,MSFT,MSFT:2023-04-28,2023-10-26,close,340.5400085449219,327.8900146484375,0.9996183847192642,0.9628531344950159,1.135532645281181,0.9498186297997999,1.0785500612339134
training,MSFT,MSFT:2023-04-28,2023-10-27,close,330.42999267578125,329.80999755859375,1.0077464329923773,0.9981236717884873,1.1443289728285087,0.9480364583088862,1.084865586540585
training,MSFT,MSFT:2023-04-28,2023-10-30,close,333.4100036621094,337.30999755859375,1.0109153941061961,1.0116972911839706,1.1568197745540705,0.9591259168147453,1.1095358268586
