window,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,profit_to_loss,mean_peak_close_gain_pct,mean_giveback_pp,median_giveback_pp,max_giveback_pp,raw_s_count,emitted_s_count,suppressed_s_count
validation,symbol,TSLA,2,1,1,50.0,28.70036412966377,28.70036412966377,-9.627677945506441,1,46.925268108728524,17.96711663426731,17.96711663426731,25.571277539367962,1,1,0
validation,symbol,YINN,2,1,2,100.0,56.82402226765562,56.82402226765562,38.25064305242771,0,62.74768598397965,5.609544571640779,5.609544571640779,9.90425853193728,1,1,0
recent,all,all,17,10,11,64.70588235294117,21.40095455266719,16.521418373581742,-27.047831583052417,5,39.00157503599265,17.35745388514491,13.482134186112015,40.94216153511245,9,8,1
recent,exit_reason,signal,8,7,6,75.0,22.947182659245268,17.88152500741751,-8.078611631424504,2,39.21340194061432,16.019955582098373,13.141308629425385,31.482994671444594,8,8,0
recent,exit_reason,trail,5,4,2,40.0,-0.6435485440404726,-10.97577608363295,-27.047831583052417,2,28.963075603578496,29.407612777429488,28.20835617933063,40.94216153511245,1,0,1
recent,exit_reason,terminal,4,4,3,75.0,45.86412721039562,25.075747621464206,-7.672306384325056,1,51.12604551726701,4.969751875882276,4.782883104341455,10.048340632594531,0,0,0
recent,entry_kind,B,10,9,5,50.0,8.509223461629691,1.6163959319473398,-27.047831583052417,4,29.979571008254773,21.253003137451337,18.69426910198635,40.94216153511245,6,5,1
recent,entry_kind,JF,7,4,6,85.71428571428571,39.81771325414934,33.52328016515871,-25.89098544678904,1,51.89015221847534,11.792383524707162,12.686205946180124,28.20835617933063,3,3,0
recent,entry_kind,B+JF,0,0,0,,,,,0,,,,,0,0,0
recent,entry_component,B_BASE_BULL,1,1,1,100.0,3.2947802138015625,3.2947802138015625,3.2947802138015625,0,25.31986621073543,21.818186138469397,21.818186138469397,21.818186138469397,1,0,1
recent,entry_component,B_STAGE_COMPONENT,5,4,1,20.0,-6.90657880823633,-8.078611631424504,-27.047831583052417,3,11.126728242824809,17.84684055557433,11.743040844537788,29.381327150370783,2,2,0
recent,entry_component,B_BEAR_RECOVER,4,4,3,75.0,29.082587110919253,29.495133307056708,-0.061988349906882956,1,54.710550664422065,25.36941061454309,23.526673368473947,40.94216153511245,3,3,0
recent,entry_component,B_CRASH_RECOVER,0,0,0,,,,,0,,,,,0,0,0
recent,exit_s_component,S_BLOWOFF,2,1,2,100.0,48.48237231317255,48.48237231317255,35.44300100700386,0,64.63337237456173,15.853589274973086,15.853589274973086,19.020972603766047,2,2,0
recent,exit_s_component,S_BEAR_RALLY,1,1,1,100.0,16.521418373581742,16.521418373581742,16.521418373581742,0,29.555294313991777,12.800483072738757,12.800483072738757,12.800483072738757,1,1,0
recent,exit_s_component,S_CROSS,2,2,1,50.0,22.43325996400151,22.43325996400151,-0.061988349906882956,1,46.2051676425293,23.526673368473947,23.526673368473947,31.482994671444594,2,2,0
recent,exit_s_component,S_DELAY,5,5,3,60.0,14.018259654807062,14.06175833620351,-8.078611631424504,2,30.977035292359865,16.730396606820413,13.482134186112015,31.482994671444594,5,5,0
recent,symbol,AAOI,3,1,3,100.0,33.41984161338222,35.44300100700386,3.2947802138015625,0,51.528870319952965,17.841788229471856,19.020972603766047,21.818186138469397,3,2,1
recent,symbol,GOOGL,2,1,1,50.0,5.784662628464111,5.784662628464111,-7.672306384325056,1,16.89224046994329,10.89569073856616,10.89569073856616,11.743040844537788,1,1,0
recent,symbol,MRNA,1,1,1,100.0,57.40207017947048,57.40207017947048,57.40207017947048,0,98.65950869154867,40.94216153511245,40.94216153511245,40.94216153511245,0,0,0
recent,symbol,MSFT,2,1,1,50.0,16.730645907625913,16.730645907625913,-0.061988349906882956,1,24.8820842227633,7.917626363877482,7.917626363877482,15.570352065503302,1,1,0
recent,symbol,NFLX,2,1,2,100.0,16.574816725675724,16.574816725675724,16.521418373581742,0,24.957685011389472,8.149368460929384,8.149368460929384,12.800483072738757,1,1,0
recent,symbol,NVDA,1,1,1,100.0,14.06175833620351,14.06175833620351,14.06175833620351,0,27.772358681080988,13.482134186112015,13.482134186112015,13.482134186112015,1,1,0
