window,scope,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
validation,pending_at_cutoff,regime,unknown,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,AAOI,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,MRNA,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,NFLX,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,SNOW,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,TQQQ,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,TSLA,0,0,0,0,0,0,,,,,,
validation,pending_at_cutoff,symbol,YINN,0,0,0,0,0,0,,,,,,
recent,raw,all,all,73,70,3,10,39,24,55.714285714285715,34.285714285714285,13.521799180176304,-1.3849370852834053,25.799968044964054,-10.06168964751981
recent,raw,component,S_BLOWOFF,7,5,2,1,1,4,20.0,80.0,31.73899074472494,19.43501285047573,43.190037556574175,-17.685485646477268
recent,raw,component,S_BEAR_RALLY,2,1,1,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,raw,component,S_CROSS,5,5,0,4,1,4,20.0,80.0,22.971620552098535,6.746327008661979,34.50387793515837,-6.715117774678061
recent,raw,component,S_DELAY,64,64,0,10,37,20,57.8125,31.25,12.472639769544399,-2.238913288076938,24.837094265072032,-9.429630685671693
recent,raw,regime,bull,53,51,2,8,26,22,50.98039215686274,43.13725490196079,19.19738758164537,-0.22650259011233187,33.863925272717545,-10.477688585334317
recent,raw,regime,bear,20,19,1,3,13,2,68.42105263157895,10.526315789473683,-1.7126749500827638,-2.991430313092802,4.154609170467843,-8.945060919701934
recent,raw,regime,unknown,0,0,0,0,0,0,,,,,,
recent,raw,symbol,AAOI,10,9,1,1,1,8,11.11111111111111,88.88888888888889,48.70902929561029,44.294339504027214,60.46587582321601,-11.66571411912056
recent,raw,symbol,GOOGL,6,6,0,1,2,2,33.33333333333333,33.33333333333333,5.651477981904374,0.1570866425217643,9.348851505190822,-6.181187342140955
recent,raw,symbol,MRNA,8,7,1,1,1,6,14.285714285714285,85.71428571428571,95.46159455585301,132.85303438490965,127.94061203129563,-7.41124813737964
recent,raw,symbol,MSFT,8,8,0,1,5,0,62.5,0.0,0.6022937302532991,-0.07641768862161058,3.4385175129916985,-10.46720031383262
recent,raw,symbol,NFLX,7,7,0,1,7,0,100.0,0.0,-6.248401184156286,-5.4625045945492445,2.123818165875787,-8.281656755499
recent,raw,symbol,NVDA,2,2,0,1,2,0,100.0,0.0,-1.9466230153996344,-1.9466230153996344,3.1382333697608567,-8.520788327383528
recent,raw,symbol,SNOW,4,4,0,1,4,0,100.0,0.0,-8.242959106713228,-8.587524499996302,9.635103376880544,-13.378412817325277
recent,raw,symbol,TQQQ,13,13,0,1,9,4,69.23076923076923,30.76923076923077,-7.84396263202601,-9.275178145310347,9.798375235772122,-14.116946482337731
recent,raw,symbol,TSLA,11,11,0,1,8,2,72.72727272727273,18.181818181818183,-3.006317104263795,-5.418943196692549,5.324495226924305,-9.373481681717207
recent,raw,symbol,YINN,4,3,1,1,0,2,0.0,66.66666666666666,5.610397479137023,5.132965913465104,12.329138138337507,-3.82265224909889
recent,raw,component_set,S_BEAR_RALLY,2,1,1,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,raw,component_set,S_BLOWOFF,7,5,2,1,1,4,20.0,80.0,31.73899074472494,19.43501285047573,43.190037556574175,-17.685485646477268
recent,raw,component_set,S_CROSS+S_DELAY,5,5,0,4,1,4,20.0,80.0,22.971620552098535,6.746327008661979,34.50387793515837,-6.715117774678061
recent,raw,component_set,S_DELAY,59,59,0,10,36,16,61.016949152542374,27.11864406779661,11.582895635429644,-2.558129999279546,24.01787530997997,-9.659674152705051
recent,emitted,all,all,16,14,2,10,7,6,50.0,42.857142857142854,0.54001803425553,-0.8981289176799467,10.217383043842997,-8.980996049089645
recent,emitted,component,S_BLOWOFF,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,emitted,component,S_BEAR_RALLY,2,1,1,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
recent,emitted,component,S_CROSS,3,3,0,3,1,2,33.33333333333333,66.66666666666666,1.1174722877189718,0.1664970495836915,10.38163405752197,-7.205165236957107
recent,emitted,component,S_DELAY,12,12,0,8,6,5,50.0,41.66666666666667,1.374470690423565,-0.8981289176799467,9.832125085049487,-7.742658753816138
recent,emitted,regime,bull,12,11,1,8,5,6,45.45454545454545,54.54545454545454,1.80735496800881,0.1664970495836915,11.974940491466105,-8.541853735478508
recent,emitted,regime,bear,4,3,1,3,2,0,66.66666666666666,0.0,-4.106884056173162,-3.560407195088755,3.7730057358916107,-10.591184532330493
recent,emitted,regime,unknown,0,0,0,0,0,0,,,,,,
recent,emitted,symbol,AAOI,2,1,1,1,0,1,0.0,100.0,1.4845605566196074,1.4845605566196074,24.58431919320512,-20.42755643044917
recent,emitted,symbol,GOOGL,2,2,0,1,1,1,50.0,50.0,6.7812591210844975,6.7812591210844975,11.978256938604638,-5.067383993142221
recent,emitted,symbol,MRNA,2,2,0,1,1,1,50.0,50.0,3.1775881957009258,3.1775881957009258,11.621466931664447,-8.306919308149158
recent,emitted,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,-3.560407195088755,-3.560407195088755,1.6284082174716996,-12.382380403326687
recent,emitted,symbol,NFLX,1,1,0,1,1,0,100.0,0.0,-10.417956362124968,-10.417956362124968,0.47354240000301306,-12.394483211012219
