rule,symbol,kind,date,opportunity_pct,actionable,covered,missed,nearest_signal_date,signal_offset_days
v5,SNOW,buy,2023-01-06,40.454289266120384,True,True,False,2023-01-12,4.0
v5,SNOW,buy,2022-03-15,39.261099493043105,True,True,False,2022-03-16,1.0
v5,TSLA,buy,2024-04-22,38.74973318677457,True,True,False,2024-04-29,5.0
v5,YINN,buy,2022-03-15,35.47619410923548,True,True,False,2022-03-15,0.0
v5,AAOI,buy,2023-03-28,29.120870159669067,True,True,False,2023-03-28,0.0
v5,TQQQ,buy,2022-01-24,20.72020291059342,True,True,False,2022-01-24,0.0
v5,NFLX,buy,2023-10-27,19.970174538396513,False,True,False,2023-10-24,-3.0
v5,SNOW,buy,2022-11-09,19.91434167095605,True,True,False,2022-11-10,1.0
v5,MRNA,buy,2023-08-16,19.274676475205798,True,True,False,2023-08-17,1.0
v5,SNOW,buy,2024-06-25,18.41850448939408,True,True,False,2024-06-27,2.0
v5,YINN,sell,2022-02-10,57.84946154522639,False,False,True,,
v5,YINN,sell,2022-10-05,57.49189222181166,False,False,True,,
v5,NFLX,sell,2022-03-29,51.79822989437729,False,False,True,,
v5,AAOI,sell,2023-07-13,46.23852900368678,False,False,True,,
v5,MRNA,sell,2021-12-31,44.08789215804924,False,False,True,,
v5,TQQQ,sell,2021-12-28,43.762782824160496,False,False,True,,
v5,TSLA,sell,2022-12-01,43.56033029892047,False,False,True,,
v5,TQQQ,sell,2024-07-10,42.567967452442545,True,False,True,,
v5,NFLX,sell,2021-12-30,42.38455070418783,False,False,True,,
v5,AAOI,sell,2024-02-16,41.40926281064953,False,False,True,,
v5,AAOI,sell,2024-07-16,40.65544878739339,True,False,True,,
v5,AAOI,sell,2023-10-02,39.78300547259002,False,False,True,,
v5,TQQQ,sell,2022-03-29,39.41309465820192,False,False,True,,
v5,AAOI,sell,2023-03-09,39.285711548766265,False,False,True,,
v5,MRNA,sell,2021-10-26,38.71895229807779,False,False,True,,
v5,YINN,sell,2023-01-27,37.89968045333797,True,False,True,,
v5,YINN,sell,2022-08-26,37.415842780916044,True,False,True,,
v5,AAOI,sell,2022-06-08,37.39496059281675,False,False,True,,
v5,YINN,sell,2023-07-31,36.70395189911576,False,False,True,,
v5,AAOI,sell,2023-08-24,36.101451319522425,False,False,True,,
v5,YINN,sell,2022-07-07,35.674276618256684,False,False,True,,
v5,TQQQ,sell,2022-06-02,35.666864810550415,False,False,True,,
v5,MRNA,sell,2024-07-12,35.53261711105002,False,False,True,,
v5,NVDA,sell,2022-03-29,35.38014332090763,False,False,True,,
v5,TQQQ,sell,2022-09-12,35.19828947656647,False,False,True,,
v5,AAOI,sell,2021-12-27,35.06261153212296,False,False,True,,
v5,MRNA,sell,2021-09-23,34.480450952942185,False,False,True,,
v5,SNOW,sell,2024-02-27,34.34886002463096,False,False,True,,
v5,SNOW,sell,2022-04-29,34.17885028413906,False,False,True,,
v5,YINN,sell,2021-11-16,34.17412488083339,True,False,True,,
v5,TSLA,sell,2022-05-04,33.91301037127111,False,False,True,,
v5,AAOI,sell,2023-12-19,33.83259932622702,False,False,True,,
v5,MRNA,sell,2021-11-29,33.58268290995596,False,False,True,,
v5,AAOI,sell,2024-05-24,33.490199668734675,True,False,True,,
v5,YINN,sell,2021-09-07,32.21476704802638,False,False,True,,
v5,TSLA,sell,2022-09-21,31.91488906972778,False,False,True,,
v5,AAOI,sell,2022-04-21,31.632654716219456,False,False,True,,
v5,TQQQ,sell,2022-02-02,31.54079670316272,True,False,True,,
v5,MRNA,sell,2022-08-04,31.257295995892964,False,False,True,,
v5,NVDA,sell,2021-12-28,31.001222220175528,False,False,True,,
v5,YINN,sell,2023-12-29,30.99897236927567,False,False,True,,
v5,TSLA,sell,2022-01-04,30.928359797248206,False,False,True,,
v5,NVDA,sell,2022-08-15,30.745806503339047,False,False,True,,
v5,AAOI,sell,2023-04-12,30.43478012986349,True,False,True,,
v5,YINN,sell,2023-11-15,30.000002879016808,True,False,True,,
v5,TSLA,sell,2023-12-28,29.415917973154336,False,False,True,,
v5,AAOI,sell,2022-10-18,29.351539724236776,False,False,True,,
v5,NVDA,sell,2024-07-11,29.292068154676166,False,False,True,,
v5,TQQQ,sell,2022-12-01,27.912879678781223,False,False,True,,
v5,YINN,sell,2023-05-08,27.874999046325687,False,False,True,,
v5,YINN,sell,2024-05-17,27.826357651571378,False,False,True,,
v5,SNOW,sell,2022-10-25,27.69729420697118,False,False,True,,
v5,TSLA,sell,2023-10-10,27.096168886241433,False,False,True,,
v5,SNOW,sell,2022-03-29,26.799712500382256,True,False,True,,
v5,AAOI,sell,2022-08-16,26.736117664862302,False,False,True,,
v5,TSLA,sell,2022-11-01,26.4776113176421,False,False,True,,
v5,AAOI,sell,2024-03-21,26.190472637753537,False,False,True,,
v5,AAOI,sell,2022-12-05,25.833333071909447,False,False,True,,
v5,SNOW,sell,2021-12-22,25.43661627970951,True,False,True,,
v5,MRNA,sell,2024-06-06,25.374696214863413,False,False,True,,
v5,AAOI,sell,2021-10-14,24.898507564192506,False,False,True,,
v5,YINN,sell,2023-03-02,24.898373597643264,False,False,True,,
v5,SNOW,sell,2023-02-15,24.818714878015346,False,False,True,,
v5,YINN,sell,2024-07-12,24.745624742465232,False,False,True,,
v5,YINN,sell,2023-10-11,24.677418124291208,False,False,True,,
v5,NVDA,sell,2022-06-02,24.562208282266862,False,False,True,,
v5,SNOW,sell,2022-09-15,24.419994549697034,False,False,True,,
v5,TSLA,sell,2021-11-22,24.10172640702404,False,False,True,,
v5,TSLA,sell,2023-03-31,23.780705154342662,False,False,True,,
v5,TSLA,sell,2024-03-26,23.488230941065446,False,False,True,,
v5,SNOW,sell,2021-11-17,23.406018708881582,False,False,True,,
v5,TQQQ,sell,2021-09-07,23.279085735294714,False,False,True,,
v5,NVDA,sell,2022-12-13,22.810921514635186,False,False,True,,
v5,MRNA,sell,2023-02-15,22.77113421985422,False,False,True,,
v5,TSLA,sell,2022-02-07,22.697203927446928,False,False,True,,
