window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
recent,all,symbol,NFLX,2,1,2,100.0,17.7580459179426,17.7580459179426,16.521418373581742,2.504746451196926,14.036026821544732,1,0,1,0,-0.10195814232490896,-10.594673041978076,-2.7250554144352845,1
recent,all,symbol,NVDA,1,1,1,100.0,14.06175833620351,14.06175833620351,14.06175833620351,7.350911621364883,6.006173996315652,0,0,0,0,1.0722713864636404,-3.287007457147284,-4.934971520511889,0
recent,all,symbol,SNOW,3,1,1,33.33333333333333,25.992652442713034,-25.89098544678904,-27.047831583052417,-1.628155865922424,-19.549178207379832,2,2,1,0,0.0,-5.25056798357959,-12.045227718769013,2
recent,all,symbol,TQQQ,1,1,1,100.0,44.928508277909906,44.928508277909906,44.928508277909906,13.21831855086879,24.08882036443965,0,0,1,0,-4.124639502238445,-4.283036691121533,-10.445012473877725,0
recent,all,symbol,TSLA,1,1,0,0.0,-8.078611631424504,-8.078611631424504,-8.078611631424504,-7.6275314916215375,-0.5960132881499299,1,1,0,0,1.236191512900298,-4.474635975874087,-7.015457788347201,0
recent,all,symbol,YINN,1,1,0,0.0,-10.97577608363295,-10.97577608363295,-10.97577608363295,-25.506199965891373,14.080132587177488,1,0,1,0,-0.6104032044355616,-7.6089572364432705,-4.199594878986501,0
recent,B,all,all,10,9,5,50.0,8.545813202459852,1.6163959319473398,-27.047831583052417,-0.18406512441934497,5.810894281837699,5,4,5,1,-0.3052016022177808,-7.6089572364432705,-18.124246853248614,1
recent,B,exit_reason,signal,5,5,3,60.0,14.018259654807062,14.06175833620351,-8.078611631424504,4.5360956995613915,6.006173996315652,2,1,3,1,-1.2186685169392475,-4.474635975874087,-10.445012473877725,0
recent,B,exit_reason,trail,4,4,2,50.0,5.668310681646669,-3.8404979349156934,-27.047831583052417,-3.757656554389543,4.552552861833048,3,2,2,0,0.28725660022121335,-7.6089572364432705,-18.124246853248614,0
recent,B,exit_reason,terminal,1,1,0,0.0,-7.306408976023448,-7.306408976023448,-7.306408976023448,1.260025617083734,-8.647010805243978,0,1,0,0,0.0,-0.5055260575954068,-5.4546887519867475,1
recent,B,outcome,win,5,5,5,100.0,27.78574972972775,19.241631641253278,3.2947802138015625,7.350911621364883,13.262181007342337,1,1,2,0,1.0722713864636404,-6.174336740313569,-18.124246853248614,0
recent,B,outcome,nonpositive,5,5,0,0.0,-10.694123324808041,-8.078611631424504,-27.047831583052417,-5.477522071271088,-0.5960132881499299,4,3,3,1,-0.6104032044355616,-7.6089572364432705,-8.435513590121335,1
recent,B,profit_to_loss,false,6,6,5,83.33333333333334,18.646819510931053,16.651694988728394,-27.047831583052417,5.943503660463137,9.634177501828994,2,2,3,0,0.06912188414509046,-6.174336740313569,-18.124246853248614,0
recent,B,profit_to_loss,true,4,4,0,0.0,-6.605696260246946,-7.692510303723976,-10.97577608363295,-6.552526781446312,2.509800639604908,3,2,2,1,-0.3052016022177808,-7.6089572364432705,-7.015457788347201,1
recent,B,symbol,AAOI,1,1,1,100.0,3.2947802138015625,3.2947802138015625,3.2947802138015625,8.416792780298014,-4.975026863511393,0,1,0,0,4.166737305676804,-6.174336740313569,-18.124246853248614,0
recent,B,symbol,GOOGL,2,1,1,50.0,5.967611332614915,5.967611332614915,-7.306408976023448,2.8980606583225628,2.3075851010491792,0,1,1,0,-1.5905821538266025,-2.598506497908193,-5.4546887519867475,1
recent,B,symbol,MRNA,1,1,1,100.0,57.40207017947048,57.40207017947048,57.40207017947048,-5.887157242856662,51.450587535178805,1,0,0,0,1.1849164048779883,-3.9676088290055866,-8.5480576170609,0
recent,B,symbol,MSFT,1,1,0,0.0,-0.061988349906882956,-0.061988349906882956,-0.061988349906882956,-5.477522071271088,5.615614567359746,1,0,1,1,-1.2186685169392475,-3.2158493547745803,-2.902996195844343,0
recent,B,symbol,NFLX,0,0,0,,,,,,,0,0,0,0,,,,0
recent,B,symbol,NVDA,1,1,1,100.0,14.06175833620351,14.06175833620351,14.06175833620351,7.350911621364883,6.006173996315652,0,0,0,0,1.0722713864636404,-3.287007457147284,-4.934971520511889,0
recent,B,symbol,SNOW,1,1,0,0.0,-27.047831583052417,-27.047831583052417,-27.047831583052417,-1.628155865922424,-29.708362743354368,1,1,1,0,-0.9340276181734595,-4.986113089102295,-8.435513590121335,0
recent,B,symbol,TQQQ,1,1,1,100.0,44.928508277909906,44.928508277909906,44.928508277909906,13.21831855086879,24.08882036443965,0,0,1,0,-4.124639502238445,-4.283036691121533,-10.445012473877725,0
recent,B,symbol,TSLA,1,1,0,0.0,-8.078611631424504,-8.078611631424504,-8.078611631424504,-7.6275314916215375,-0.5960132881499299,1,1,0,0,1.236191512900298,-4.474635975874087,-7.015457788347201,0
recent,B,symbol,YINN,1,1,0,0.0,-10.97577608363295,-10.97577608363295,-10.97577608363295,-25.506199965891373,14.080132587177488,1,0,1,0,-0.6104032044355616,-7.6089572364432705,-4.199594878986501,0
recent,JF,all,all,7,4,6,85.71428571428571,38.39035997281421,31.225894436277656,-25.89098544678904,5.82579252106054,14.847956938308629,3,1,1,0,0.0,-10.594673041978076,-12.045227718769013,6
