symbol,signal,date,year,reference_open_date,outcome_date,return20_pct,mfe20_pct,mae20_pct,win,interference,band_position,macd_level,macd_delta,rsi_center,chip_center,quality_score,quality_tier,cv_scheme,fold,fit_events,fit_outcome_end
YINN,b,2022-11-07,2022,2022-11-08,2022-12-06,67.05140981683448,71.35362510318963,-10.66806303176766,True,False,0.04642246464578796,1.9801181210188263,0.6881709027889291,0.5633699850396192,-0.019928296958460122,32.49825533349241,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
YINN,b,2023-01-03,2023,2023-01-04,2023-02-01,19.681420790410662,30.17699655178374,-1.4159278532045128,True,False,0.471880547931953,-0.08860135568051737,0.23315909571241544,0.4287534033771806,0.35487916657960566,26.19972282252711,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
YINN,b,2023-06-13,2023,2023-06-14,2023-07-13,3.724776596980184,12.59699676954542,-18.494567115237302,True,False,0.18693302004613982,1.186600407809387,0.1431896729729584,0.6341803519595931,0.5744713034888608,29.324696015448193,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
YINN,jf,2022-10-13,2022,2022-10-14,2022-11-10,-15.272315524522496,4.070749035428811,-44.806287375225814,False,True,-0.4729931825726034,-0.5648634204566928,-0.16357820026734235,-1.232819399265044,-1.0311905954738512,61.51074566522432,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
YINN,s,2022-12-07,2022,2022-12-08,2023-01-06,25.971872208589787,26.488828364182737,-12.220843202692311,False,True,0.288046582793027,1.2767724412049413,-0.2697500051566061,0.45038593678525446,0.6220177317033952,64.41845799458702,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
YINN,s,2023-06-20,2023,2023-06-21,2023-07-19,-0.8936042517521114,12.231212190583163,-12.007821780248095,True,False,0.014973979831412887,1.1473442996617054,-0.610990572781852,-0.36765537751869376,0.22563737388114732,65.99340494973238,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
SNOW,b,2022-11-15,2022,2022-11-16,2022-12-14,-6.533864320950933,1.9231923645453897,-17.32757176974036,False,True,0.09873809085771168,0.9404986348765152,0.6719901873677945,0.6874667258133786,0.38174458125819655,25.438311034512186,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
SNOW,b,2023-01-12,2023,2023-01-13,2023-02-10,12.943286708039569,28.28427353432652,-3.5606651867941874,True,False,0.14363514830822036,0.5597031266037805,0.3891048619326698,0.5256048311795345,0.16884853333886382,28.800653331397154,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
SNOW,jf,2022-11-10,2022,2022-11-11,2022-12-09,-1.4388984036646901,14.566285255903644,-10.004090445993885,False,True,-0.17652420734211988,-1.6077681082732516,0.8364103088703673,0.040750532800991834,-0.6273670468733176,30.93443783642987,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
SNOW,s,2023-02-03,2023,2023-02-06,2023-03-06,-11.061723776954224,10.147734379395533,-17.91662037798123,True,False,0.32158287700030197,2.073600604239587,-0.40377514959921795,0.28598235806286565,0.7702838895402013,73.30334380355669,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TSLA,b,2022-12-02,2022,2022-12-05,2023-01-03,-42.937079243568746,0.9660060216799993,-44.763514547560476,False,True,0.19843400873740666,1.194560970281256,0.1363790176349244,0.6052833950298566,0.38473979043734974,30.99986013987862,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TSLA,b,2023-01-17,2023,2023-01-18,2023-02-14,53.2293524757989,56.70767708397118,-8.970416094760026,True,False,0.16163730496942275,1.779451713354517,0.35956654290168205,0.7123676435506019,0.4669475884907942,29.898170383990884,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TSLA,s,2023-02-10,2023,2023-02-13,2023-03-13,-10.256147839317931,11.948357137290433,-15.692827278150489,True,False,0.2799553152561747,1.3373322494039122,-0.3634456421834694,0.6350864637296735,0.7554647081608931,65.74620613174822,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TSLA,s,2023-08-01,2023,2023-08-02,2023-08-29,0.6299586435899895,3.5997892654836994,-16.907307381750215,False,False,-0.27390239432468455,-1.24200936913701,0.01399695849673265,-0.3666417534159018,-0.17939110029988284,30.305216631612502,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
MRNA,b,2023-08-21,2023,2023-08-22,2023-09-19,-5.12000189887154,4.951110839843742,-9.466668023003477,False,True,0.09781808942196113,0.8937000103775203,1.0020537153125995,0.5837175044329996,-0.06680756460976284,26.206810935432017,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
MRNA,jf,2023-08-17,2023,2023-08-18,2023-09-15,8.205849562606593,11.491971665336864,-4.249291723475879,True,False,-0.09391732465620722,-0.403362943548348,0.9123692818418898,0.31972824524560595,-0.5650885885499739,32.76471832726913,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NVDA,s,2022-08-30,2022,2022-08-31,2022-09-28,-17.18809188867376,1.0140414658639019,-20.58223122040801,True,False,-0.5481402764588591,-1.8711020057574903,-0.24293975191019201,-1.0298343958585303,-0.9731983058600416,27.170122073267127,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NVDA,s,2022-11-09,2022,2022-11-10,2022-12-08,16.036452154056825,16.685238685621997,-1.709461190127548,False,True,0.21445520649920186,0.8789531037681316,-0.2636034014809901,0.1058683735595855,0.4494461715027606,60.288048691319304,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NVDA,s,2023-04-25,2023,2023-04-26,2023-05-23,13.650847175856097,17.872753108972827,-1.3961829330896736,False,True,-0.4487685281280368,-1.3959736918200192,-0.33896221321184195,-0.7265233478809765,0.02089177493749645,31.453598952181927,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
NVDA,s,2023-08-10,2023,2023-08-11,2023-09-08,9.160867021286712,20.394741539900863,-3.449006455493142,False,True,-0.5508282978416017,-1.5096634618098501,-0.1968449257693925,-0.9956480670195114,-0.2578147210800897,28.02248966526414,low,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
AAOI,b,2023-01-12,2023,2023-01-13,2023-02-10,13.733913396545972,24.29184563409521,-8.58368308214451,True,False,0.5266491836479236,1.901306722319796,0.5994411989634125,1.195162776939806,0.41001956663716527,25.42153522879363,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
AAOI,jf,2023-03-28,2023,2023-03-29,2023-04-26,13.186806780807615,29.120870159669067,-4.120881622100391,True,False,-0.5920263166404939,-2.4184116077864517,-0.3674195403916193,-1.1214629238235767,-0.7699485661277652,50.254233552410575,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
AAOI,jf,2023-05-08,2023,2023-05-09,2023-06-06,53.67231965654793,59.322031843562925,-7.34463257810768,True,False,-0.357029503986026,-0.7743809075049036,0.14087869746229567,-0.4837556025986612,-0.8246234482638616,48.80777412480712,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
AAOI,s,2023-01-19,2023,2023-01-20,2023-02-16,28.820964926856508,33.62445387568667,-6.986893016480245,False,True,0.2529460706874302,1.7098544130912994,-0.3363548224525491,0.33066495909139093,0.4295222562884109,69.1754232028447,normal,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
AAOI,s,2023-06-21,2023,2023-06-22,2023-07-20,72.94993799085915,144.5154232693884,-23.51437808706346,False,True,0.28860949223655147,2.648541889329059,-0.8307378919424317,0.317630069241377,0.8702821617078393,81.48288487744438,high,expanding_time,2022-08-27..2023-08-26,27,2022-08-26
TQQQ,b,2023-10-09,2023,2023-10-10,2023-11-06,1.062478034441483e-05,5.367022336056637,-19.836875182491276,True,False,0.07362586495482414,0.5491041036919495,0.4015270959628139,0.5433853385889438,0.4739090692120794,45.94670519292629,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
TQQQ,b,2024-05-03,2024,2024-05-06,2024-06-03,9.961668597272189,15.830721029204176,-0.522464727668337,True,False,0.11543273805297409,0.7737950009090004,0.9087469652464715,0.4894922844728836,0.4217529074603956,41.57055494605268,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
TQQQ,s,2024-07-19,2024,2024-07-22,2024-08-16,-6.802432234324085,2.009505673964207,-33.74066625522186,True,False,-0.38667806474831157,-2.762136667617323,-0.6828439614299378,-1.067151269116985,-0.30263427379397,56.88843744015465,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
NFLX,b,2023-10-24,2023,2023-10-25,2023-11-21,14.165178532540047,14.662752510954125,-4.903612463740337,True,False,0.521942031962142,2.4337660264524588,0.4232749674681497,1.0553052176586715,0.608514530516233,54.46158474765236,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
NFLX,b,2024-05-06,2024,2024-05-07,2024-06-04,5.9267466532472834,11.39901537458412,-0.8318212857656659,True,False,0.10224638376604891,0.47108582329082127,1.1465986160127712,0.7558568240380242,0.583298036816522,37.009375788263796,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
YINN,b,2023-10-11,2023,2023-10-12,2023-11-08,-13.677418616510206,0.35484067855342527,-24.677418124291208,False,True,0.22776166615240778,0.6745274168088943,0.3598909175120181,0.7935721576092692,0.19307142423267437,50.619658545425686,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
YINN,b,2023-12-29,2023,2024-01-02,2024-01-30,-20.700311235687895,3.08960030439005,-30.99897236927567,False,True,0.25333759096850483,1.0342231450094315,0.3462195589519506,0.4399913806797119,0.12122977392640508,52.43674114298613,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
YINN,s,2024-02-26,2024,2024-02-27,2024-03-25,-9.365705456226825,5.847375061105087,-15.659067391597759,True,False,0.41963922396344433,1.7013070902656096,-0.0736413074615035,0.7149309311538758,0.7296796757236865,51.15092075230733,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
SNOW,b,2023-08-31,2023,2023-09-01,2023-09-29,-3.3712850254824622,9.013282384486331,-10.31626324334477,False,True,0.14992911984112003,1.321660907899903,0.34791560829684887,0.4147826965591955,0.19148001739559475,51.33650771533173,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
SNOW,b,2024-06-27,2024,2024-06-28,2024-07-26,-3.4069658912657896,9.666793985100885,-6.027707126774084,False,False,0.18359982655840495,0.7200208035466868,0.4001716820864104,0.6008923437657648,-0.18358254467722546,52.48507578836544,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
SNOW,s,2024-01-04,2024,2024-01-05,2024-02-02,18.524129504182362,19.05509929745255,-1.1052762984065767,False,True,-0.4675976264874185,-2.09777632336476,-0.3394208407591029,-1.0807066903874263,-0.17441650949371734,50.81996265810799,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
TSLA,b,2024-04-29,2024,2024-04-30,2024-05-28,-5.471171227560534,2.123222436312444,-10.28452035883044,False,True,0.6054243094336405,2.1695302965269363,1.33992987624002,1.2232140426456852,0.3891402228269959,45.8993377522502,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
TSLA,s,2024-07-11,2024,2024-07-12,2024-08-08,-15.674302898865733,12.63782979901691,-22.815946715636294,True,False,0.2526824652014983,2.22853902534164,-0.874755620066572,0.2813134460594034,1.027282470499931,59.827215838414126,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
MRNA,jf,2023-11-02,2023,2023-11-03,2023-12-01,9.221515707847928,10.986464374097338,-7.483915536157837,True,False,-0.3187620343754837,-0.6020212352909716,0.03667907041741545,-1.1013769002175966,-0.6877819020356363,55.58776646761109,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
MRNA,s,2024-05-28,2024,2024-05-29,2024-06-26,-18.36666870117186,5.880004882812506,-18.586664835611966,True,False,0.30545450317208833,2.814430180805472,-0.8783527801689474,0.4389025803108842,1.177645618448535,59.718421426413634,high,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
NVDA,s,2024-07-17,2024,2024-07-18,2024-08-14,-3.0939665522954685,2.3307347572234294,-25.57242040966322,True,False,-0.4991653130656618,-1.3681748629820143,-0.563921328148697,-0.8718539798980152,-0.06320582699707672,53.81993470771438,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
GOOGL,b,2024-03-14,2024,2024-03-15,2024-04-12,10.687716300027406,12.435088575932006,-1.7333341899671062,True,False,0.3111394706221953,1.04265033825414,0.6222465765798981,0.977875515511015,0.7156195054721712,45.63543072725981,low,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
AAOI,b,2024-07-10,2024,2024-07-11,2024-08-07,-26.524068392827328,29.518707621418017,-28.342250952807312,False,True,0.011746887443601995,0.6011776125543752,0.499852217661228,0.48967549335076116,-0.1434918396328743,48.70709989643555,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
AAOI,jf,2024-04-16,2024,2024-04-17,2024-05-14,-7.308971073331138,9.634550258200992,-19.933551712079066,False,True,-0.25202131086486823,-0.2203380022907825,0.19882117768529886,-0.24095873885208136,-0.8596243341144293,55.59604735811175,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
AAOI,s,2023-11-30,2023,2023-12-01,2023-12-29,46.474604317332215,82.56255261386664,-1.5921155786789654,False,True,0.15995718394853115,0.454905508094506,-0.3956958418796435,-0.014907814207656713,0.517626708934886,54.217589767290505,normal,expanding_time,2023-08-27..2024-08-26,64,2023-08-26
