window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,pressure_trades,pressure_winners,recovered_trades,recovery_censored_trades,recovery_rate_pct,return_trades,return_censored_trades,final_negative_intraday_trades,final_negative_intraday_winners,median_first_pressure_bar,median_max_pressure_streak,median_recovery_bars
training,JF,recovery,no_pressure,3,3,1,33.33333333333333,2.295224939887911,-0.1998999999999973,0,0,0,0,,0,0,0,0,,,
training,JF,recovery,recovered,17,6,9,52.94117647058824,14.960057264080938,6.437643816955396,17,9,17,0,100.0,17,5,10,3,2.0,7.0,3.0
training,JF,recovery,censored,5,3,0,0.0,-22.670015786019707,-22.72557501230831,5,0,0,5,0.0,3,3,5,0,5.0,6.0,
training,JF,return_recovery,no_return,5,4,1,20.0,-10.04435050623309,-0.7935845204045111,2,0,0,2,0.0,0,0,2,0,1.0,6.5,
training,JF,return_recovery,recovered,12,6,7,58.333333333333336,24.668688761043835,14.898694926592594,12,7,12,0,100.0,12,0,5,1,2.0,5.5,2.5
training,JF,return_recovery,censored,8,5,2,25.0,-12.243242902802418,-14.677411426534427,8,2,5,3,62.5,8,8,8,2,1.0,9.5,7.0
training,JF,source_trusted,false,11,2,4,36.36363636363637,-5.884678201575256,-4.459071666167269,10,3,6,4,60.0,8,4,7,1,2.0,7.0,1.0
training,JF,source_trusted,true,14,4,6,42.857142857142854,15.184859256876356,-0.4967422602022542,12,6,11,1,91.66666666666666,12,4,8,2,1.5,6.5,3.0
training,JF,symbol,AAOI,4,1,1,25.0,31.1491576649137,-7.364389915323566,3,1,3,0,100.0,3,2,2,0,1.0,16.0,12.0
training,JF,symbol,GOOGL,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,JF,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,4,1,3,1,75.0,3,1,2,0,1.5,8.5,1.0
training,JF,symbol,MSFT,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,JF,symbol,NFLX,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,JF,symbol,NVDA,0,0,0,,,,0,0,0,0,,0,0,0,0,,,
training,JF,symbol,SNOW,4,1,2,50.0,6.523465499759082,2.909449490855148,3,2,3,0,100.0,3,1,2,1,2.0,3.0,3.0
training,JF,symbol,TQQQ,5,1,2,40.0,10.215630377486098,-8.84758457047602,5,2,4,1,80.0,5,1,3,0,1.0,6.0,4.0
training,JF,symbol,TSLA,1,1,1,100.0,10.819385050147368,10.819385050147368,1,1,1,0,100.0,1,0,1,1,7.0,5.0,2.0
training,JF,symbol,YINN,7,1,3,42.857142857142854,-6.195052133868592,-4.459071666167269,6,2,3,3,50.0,5,3,5,1,2.0,6.0,1.0
training,B,source,B_BASE_BULL,6,3,4,66.66666666666666,15.626342870623466,17.54871400257827,6,4,6,0,100.0,6,0,2,0,1.5,9.5,3.5
training,B,source,B_STAGE_COMPONENT,5,3,3,60.0,4.222049592871786,16.370420922658813,4,2,3,1,75.0,2,0,2,0,1.0,18.5,2.0
training,B,source,B_BEAR_RECOVER,10,5,6,60.0,7.37697240715722,6.71963621568027,8,4,5,3,62.5,6,2,3,0,2.5,2.5,2.0
training,B,source,B_CRASH_RECOVER,5,4,2,40.0,12.91769767599049,-5.003121316486691,5,2,4,1,80.0,4,2,3,0,1.0,3.0,2.0
training,B,source,multiple,1,1,1,100.0,68.81192274062582,68.81192274062582,1,1,1,0,100.0,1,0,0,0,2.0,3.0,2.0
