symbol,date,signal,signal_key,signal_role,signal_version,split,outcome_cutoff_date,outcome_date_20d,outcome_complete_20d,close,b_score,s_score,regime,ma60_slope20_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,ret_60d_pct,mfe_20d_pct,mae_20d_pct,mfe_day,mae_day,subtype,interference
NFLX,2021-12-22,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-01-21,True,61.42399978637695,1.0,0.0,bull,1.5504161185730725,-0.6992208957285584,-10.238482943649174,-35.51265348215521,-39.22939648815154,0.6830003869157553,-38.35334048413732,5.0,20.0,stage,True
YINN,2021-12-30,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-01-28,True,172.0,4.0,1.0,bear,-6.034949194492157,-7.007118895872533,7.363426131057782,-6.175768570916496,-41.92398658168863,24.465566330339005,-11.995248028725669,14.0,4.0,bear/crash-recovery,True
YINN,2021-12-30,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-01-28,True,172.0,4.0,1.0,bear,-6.034949194492157,-7.007118895872533,7.363426131057782,-6.175768570916496,-41.92398658168863,24.465566330339005,-11.995248028725669,14.0,4.0,juefan,True
MRNA,2022-01-10,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-02-08,True,233.6999969482422,5.0,1.0,bear,-12.046547895870363,-17.429203269755945,-32.50442774949875,-32.16371789442755,-31.58407295699668,1.106194690265494,-38.86283266860827,2.0,9.0,juefan,True
YINN,2022-01-21,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-02-18,True,187.3999938964844,0.0,4.0,bear,-8.236799946246387,-12.026729047584816,0.8908634690159012,-9.46547852019657,-53.67483623564667,8.240527444324552,-16.369715008989605,14.0,5.0,bear-rally,False
AAOI,2022-01-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-02-22,True,4.019999980926514,4.0,1.0,bear,-12.964679016687686,3.2745560474932267,-1.0075557069209928,-0.2518889267302482,-22.67002742774521,14.861458688096075,-8.488668241270236,19.0,15.0,juefan,True
MSFT,2022-01-24,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-02-22,True,296.3699951171875,5.0,1.0,bull,1.9219267531205064,6.675364539665796,3.2347775620000796,-1.3035084852416556,-1.7700342537634306,8.095501849929354,-2.408064379195163,7.0,20.0,base-bull,False
SNOW,2022-01-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-02-22,True,277.5,5.0,1.0,bear,-1.6324542868538794,0.22886798705150646,6.509977165307457,-2.7209614317974196,-32.43724228931403,19.697025968933414,-15.417585961580915,13.0,4.0,juefan,True
TQQQ,2022-01-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-02-22,True,27.392108917236328,3.0,1.0,bear,3.3264379080582884,14.182813604336285,5.946445531411193,-9.732234632439473,-11.542014274353928,20.72020291059342,-12.816263763550573,7.0,20.0,juefan,True
GOOGL,2022-01-31,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-01,True,135.30349731445312,1.0,0.0,bull,-1.324305431178896,1.1675658363786479,-1.5033280683230732,-2.5676933455157203,-16.933813353815232,10.13993734109182,-9.187139786410537,2.0,17.0,stage,True
MSFT,2022-01-31,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-03-01,True,310.9800109863281,1.0,0.0,bull,-0.2141835654830171,-3.047579441214021,-4.964403041238208,-4.980506836985443,-8.759383435014357,1.517345252894975,-12.528595789319485,2.0,17.0,confirmed,True
NFLX,2022-01-31,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-01,True,42.7140007019043,2.0,1.0,bear,-8.557073871770914,-7.12768442262397,-8.404933061739396,-10.79083686768747,-56.453253263695615,5.894304448180399,-18.07095586903966,1.0,17.0,bear/crash-recovery,True
TQQQ,2022-01-31,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-01,True,29.459983825683594,1.0,0.0,bear,-1.7126774086193786,-8.090349579482991,-14.402452231543329,-19.833384737711302,-39.05799053041663,4.726039581166974,-34.940723469542746,2.0,17.0,bear/crash-recovery,True
AAOI,2022-02-01,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-02,True,4.119999885559082,1.0,1.0,bear,-17.116831641475027,-6.746992852383515,-6.265059867191091,-10.843374393799232,-37.83132856825567,9.879514168440263,-19.518076206848967,13.0,18.0,bear/crash-recovery,True
GOOGL,2022-02-01,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-03-02,True,137.6439971923828,2.0,1.0,bull,-1.5122600112703166,-7.835370528796492,-9.680327108083675,-11.027105662448344,-21.638017134232957,0.1960287803460803,-17.38611646920195,1.0,16.0,confirmed,True
SNOW,2022-02-01,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-02,True,283.760009765625,1.0,0.0,bear,-5.272120745300435,3.875287479346956,6.17214134771138,-6.324318824883147,-34.27590305830287,16.60885938606702,-15.026894047970584,7.0,16.0,bear/crash-recovery,True
SNOW,2022-02-07,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-03-08,True,293.19000244140625,2.0,1.0,bull,-6.829470870444842,1.3683817927376163,-6.761842828103804,-33.28342880701989,-35.23677155489817,14.724922085608604,-36.371867087027155,3.0,20.0,confirmed,True
SNOW,2022-02-11,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-03-14,True,293.69000244140625,0.0,4.0,bear,-7.853674922256282,-6.899955353797804,-9.657890951599246,-43.29388513078057,-51.1120194176732,4.084203858170787,-44.10664423079118,3.0,20.0,bear-rally,False
MRNA,2022-02-15,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-03-16,True,151.1199951171875,3.0,1.0,bear,-15.582868208186307,-8.054464017702756,0.16258332279006638,14.727005969554362,-11.820889801811452,15.025070226403137,-17.348593570015115,20.0,14.0,juefan,False
MRNA,2022-02-24,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-03-24,True,156.22999572753906,6.0,1.0,bear,-15.54269932584994,-9.293680042899089,-10.575566945367921,15.164714623390463,-12.67145476931033,20.497368832070872,-21.798488145685535,18.0,8.0,bear/crash-recovery,False
TQQQ,2022-02-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-03-24,True,23.61372947692871,6.0,1.0,bear,-11.710001299212303,0.4800020643988434,-9.719986384453039,14.040011668695996,-45.320004466900784,14.180011071545383,-20.880004399424145,20.0,12.0,juefan,False
TSLA,2022-02-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-03-24,True,266.92333984375,2.0,1.0,bear,-7.488854868738493,3.71463805089971,3.5922932022468768,25.294407141119702,-17.959050565960887,28.60372555563726,-6.57291872903455,19.0,12.0,juefan,False
YINN,2022-02-24,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-03-24,True,141.1999969482422,3.0,1.0,bear,-8.378052199904285,-9.523812407178456,-34.92063998837425,-28.715729653022205,-46.32034758330958,3.318896567212981,-59.595961375228576,1.0,13.0,juefan,True
AAOI,2022-03-08,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-04-05,True,3.7300000190734863,3.0,1.0,bear,-13.425140487548415,-16.931213527239542,-12.698413299114586,-12.698413299114586,-38.8888899401172,2.910056464205768,-20.63492003421874,1.0,4.0,bear/crash-recovery,True
YINN,2022-03-15,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-04-12,True,62.20000076293945,3.0,1.0,bear,-12.495608527529301,22.619047619047628,24.523807707287016,2.3809523809523725,8.80952562604631,35.47619410923548,-2.8571446736653683,14.0,1.0,juefan,False
SNOW,2022-03-16,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-04-13,True,197.83999633789065,4.0,1.0,bear,-12.607444186095185,13.969233586238005,18.784617888621803,9.953848031850953,-37.220513759515214,26.420515011518454,-2.020514072516022,9.0,1.0,juefan,False
YINN,2022-03-16,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-04-13,True,102.4000015258789,5.0,1.0,bear,-12.740603205776003,10.173161656546291,11.68830654114057,-1.5151531415146136,-1.341989007892208,23.160174429093793,-8.441561604924031,13.0,1.0,bear/crash-recovery,True
SNOW,2022-03-17,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-04-14,True,208.8500061035156,2.0,1.0,bear,-12.848777937318312,7.303850131755274,8.039420456691637,-6.341944941586997,-46.57676250775693,16.23915604680237,-6.374954807493416,8.0,20.0,bear/crash-recovery,False
SNOW,2022-03-22,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-04-20,True,224.9600067138672,1.0,0.0,bear,-13.93404265998457,8.359709786349345,2.67203357347634,-15.914638807245307,-48.28646304320892,11.456737695902097,-16.181388222847037,5.0,20.0,confirmed,True
AAOI,2022-05-03,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-06-01,True,2.7699999809265137,2.0,0.0,bear,-10.252672657747775,-17.39130509898733,-10.507245030981027,-17.028986602689866,-37.68115816835444,3.6231849629747126,-27.173913137373418,1.0,4.0,bear/crash-recovery,True
YINN,2022-05-03,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-06-01,True,85.0,1.0,0.0,bear,-22.398063142332482,-23.61808994653769,-5.778892666206026,1.8969876446937262,-12.763814356124614,10.75377556793702,-27.889443936936342,19.0,7.0,bear/crash-recovery,False
MSFT,2022-05-04,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-06-02,True,289.9800109863281,1.0,0.0,bear,-2.2245088678080505,-8.751845627272804,-11.01772283127106,-3.8383489685061,-2.637108129844523,0.28367217705196346,-13.693354673050774,1.0,12.0,bear/crash-recovery,True
NFLX,2022-05-13,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-06-13,True,18.763999938964844,2.0,1.0,bear,-17.271433888126865,-3.5954459263700222,0.9777505264943365,-12.214175221695978,26.28556334425216,7.2840194081851495,-12.591826305564357,17.0,20.0,bear/crash-recovery,True
SNOW,2022-05-26,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-06-27,True,126.8000030517578,2.0,2.0,bear,-18.86915935603244,1.5011773068285272,-4.2845999152117065,15.832675628630199,19.679441358917437,18.999214333431013,-13.788117221141905,20.0,12.0,juefan,False
SNOW,2022-06-02,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-07-01,True,138.24000549316406,1.0,0.0,bear,-18.769242352717075,-1.296488409684371,-15.261519577836403,7.075124725173909,38.11675698382408,14.550303757078442,-18.310117884266752,17.0,8.0,bear/crash-recovery,False
YINN,2022-06-09,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-07-11,True,91.4000015258789,0.0,5.0,bear,-16.169900159277006,-13.87062715562749,4.103918337164236,-11.24072721153324,-39.55461489358086,13.319191041489198,-17.592792609115293,12.0,2.0,bear-rally,False
TQQQ,2022-06-15,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-07-15,True,11.864039421081545,3.0,1.0,bear,-13.167331269712356,10.178333719679955,4.393213783158489,16.528911597637407,34.5367476572284,23.966914733614942,-7.264028242366183,7.0,1.0,juefan,False
AAOI,2022-08-05,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-02,True,1.8600000143051147,0.0,4.0,bear,-15.069990819876455,39.03742770068166,34.75935692517042,21.390373002041162,47.05882315442187,63.10160131224565,-4.010697726870093,7.0,2.0,bear-rally,True
TSLA,2022-08-05,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-02,True,288.1700134277344,0.0,4.0,bear,-5.511224434704376,1.7050843319650344,0.564968303098512,-8.403392727092163,-22.86779888605668,6.666663218352764,-9.779663085937496,7.0,19.0,bear-rally,False
SNOW,2022-08-09,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-07,True,160.5500030517578,0.0,4.0,bear,-4.703887616604929,-1.2800838333259956,-9.703867705078007,4.860777505132252,-12.842144716720927,21.31901750755174,-12.85394525468504,13.0,9.0,bear-rally,True
YINN,2022-08-11,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-09-09,True,66.83000183105469,3.0,1.0,bear,0.5512402115520842,-3.769780235322917,11.929882951640703,-5.646911947482868,-55.38318238076171,20.38473406186201,-14.272418389089891,11.0,19.0,juefan,True
NFLX,2022-08-16,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-14,True,24.569000244140625,0.0,3.0,bear,7.17671638068873,-6.895265381487903,-8.512312355345408,-7.073552418239359,5.58918472115526,2.197531660895935,-10.983498484512722,2.0,14.0,bear-rally,False
MRNA,2022-08-17,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-15,True,158.0,0.0,2.0,bear,7.084933841387819,-9.917202117336787,-15.751589635375197,-13.464967764107282,7.363055769804938,0.9617799406598238,-17.46496698658937,1.0,14.0,bear-rally,False
TQQQ,2022-08-17,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-15,True,17.772235870361328,0.0,4.0,bear,-0.26014428136089673,-12.211487098757878,-25.362317870349205,-32.662369225645214,-42.43156010104963,1.8786924167275565,-33.84326174548185,1.0,20.0,bear-rally,False
YINN,2022-08-25,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-09-23,True,72.1500015258789,3.0,1.0,bear,-2.277745379092755,-16.82989409200716,-21.62371019233055,-42.28092552029571,-53.05412239495744,0.0,-43.6984542708732,1.0,20.0,bear/crash-recovery,True
NVDA,2022-08-30,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-09-28,True,15.425176620483398,0.0,1.0,bear,0.4551040875875989,-10.828942297308108,-14.639230217496435,-17.18809188867376,7.40970442618647,1.0140414658639019,-20.58223122040801,1.0,18.0,bear-rally,False
YINN,2022-10-04,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-11-01,True,46.2599983215332,2.0,1.0,bear,-18.249218718099492,-23.47528638597145,-25.422643236659237,-51.93665888189778,6.462658864428361,2.974533283254366,-57.92852548683921,1.0,14.0,bear/crash-recovery,True
TQQQ,2022-10-13,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-11-10,True,9.200587272644045,5.0,1.0,bear,-5.37753856620199,-3.224197555360986,0.25189783393753107,8.060440166995075,-6.367934524056218,14.05539698231333,-15.113361479610987,8.0,16.0,juefan,False
YINN,2022-10-13,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-11-10,True,34.189998626708984,3.0,1.0,bear,-20.6890329472628,-13.61594222222079,-33.0432310593903,-15.272315524522496,77.03538254978358,4.070749035428811,-44.806287375225814,3.0,7.0,juefan,True
TQQQ,2022-10-21,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-11-18,True,9.800935745239258,1.0,0.0,bear,-8.227546086358162,5.186644690078723,-12.990777528803132,5.86526113103254,-8.153958128915416,16.093106791662315,-18.32282063975993,17.0,10.0,bear/crash-recovery,False
TQQQ,2022-10-24,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-11-21,True,10.134461402893066,1.0,0.0,bear,-8.752278066825514,-2.467415990085575,-13.780229138417466,-1.396641556245637,-4.58182090477729,11.499094589521807,-21.554932941575867,16.0,9.0,confirmed,True
YINN,2022-11-04,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-12-05,True,28.760000228881836,1.0,1.0,bear,-23.79021022723248,14.095306288981547,21.39286913472027,53.315554717166755,112.12928811025225,62.61245872999055,-14.895032586679335,20.0,3.0,bear/crash-recovery,False
YINN,2022-11-07,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-12-06,True,29.18000030517578,1.0,0.0,bear,-24.105268295998293,21.580965848252443,21.441066930390917,67.05140981683448,105.73626925811679,71.35362510318963,-10.66806303176766,20.0,2.0,confirmed,False
NVDA,2022-11-09,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2022-12-08,True,13.74194049835205,0.0,4.0,bear,-11.046619359267817,7.500002625770508,11.614867282571929,16.036452154056825,49.85593127547992,16.685238685621997,-1.709461190127548,15.0,1.0,bear-rally,True
SNOW,2022-11-10,绝反,juefan,entry,v5沿用v4,train,2024-08-26,2022-12-09,True,145.3800048828125,5.0,1.0,bear,0.10134952950735521,0.7160413639717644,-1.3093277256797653,-1.4388984036646901,8.469720554173744,14.566285255903644,-10.004090445993885,3.0,13.0,juefan,True
SNOW,2022-11-11,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-12-12,True,159.41000366210938,1.0,1.0,bear,0.13103601555464195,-7.074305442876816,-10.334961112055641,-4.099661141025324,3.400489914486582,6.781922103072913,-16.11898577207406,2.0,12.0,bear/crash-recovery,True
SNOW,2022-11-15,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-12-14,True,163.49000549316406,1.0,0.0,bear,-0.2777284089105714,-10.192322104108854,-10.480492685952091,-6.533864320950933,1.4596264861140629,1.9231923645453897,-17.32757176974036,19.0,10.0,confirmed,True
NFLX,2022-11-30,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-12-29,True,30.55299949645996,5.0,1.0,bull,6.811534664647345,1.4572811068206404,4.552783876300337,-4.233694032770208,5.967305086871599,9.450966069347832,-10.05954323395699,9.0,19.0,base-bull,True
TSLA,2022-11-30,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2022-12-29,True,194.6999969482422,1.0,1.0,bear,-12.658635986811174,-11.690688213344313,-20.438399840196166,-38.187538784755304,4.378934850127769,0.9336291459282275,-45.078142450720385,1.0,19.0,bear/crash-recovery,True
NFLX,2022-12-01,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2022-12-30,True,31.69499969482422,2.0,2.0,bull,7.099561833585244,-0.07407877007741259,-6.467195188191033,-5.027533664098516,0.9629932958682197,7.159649547645874,-11.942414276199608,8.0,18.0,confirmed,True
TSLA,2022-12-02,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-01-03,True,194.86000061035156,1.0,1.0,bear,-13.003848513337001,-5.484585755778825,-20.6978495611004,-42.937079243568746,0.7706880470135902,0.9660060216799993,-44.763514547560476,1.0,20.0,confirmed,True
YINN,2022-12-07,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-01-06,True,44.709999084472656,0.0,3.0,bear,-18.134410167202585,1.4474788132852412,-4.693962839358967,25.971872208589787,-6.90653455424679,26.488828364182737,-12.220843202692311,20.0,9.0,bear-rally,True
SNOW,2022-12-12,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-01-11,True,150.8800048828125,1.0,0.0,bear,-6.572410502280213,-13.687496185302738,-13.900003433227537,-12.681245803833008,-17.837495803833004,1.6874980926513627,-25.4562520980835,1.0,17.0,bear/crash-recovery,True
YINN,2022-12-29,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-01-30,True,49.75,3.0,1.0,bear,-3.22390372475706,28.49609442103942,38.95802038694596,36.2581706012119,-1.1179050432454374,55.13605418366725,-3.2693508585724063,19.0,1.0,bear/crash-recovery,False
YINN,2023-01-03,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-02-01,True,51.0099983215332,3.0,1.0,bear,-1.9309492494955616,11.610621899630114,5.7168133490908435,19.681420790410662,-12.601768021034987,30.17699655178374,-1.4159278532045128,17.0,1.0,confirmed,False
AAOI,2023-01-09,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-02-07,True,2.1500000953674316,2.0,1.0,bear,-11.762813201342192,13.488369720442584,3.2558107040844053,21.860454388088215,-1.8604743487125486,34.69766418556106,-1.3953585338433494,18.0,1.0,bear/crash-recovery,False
TSLA,2023-01-09,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-02-07,True,119.7699966430664,2.0,0.0,bear,-19.88965302161351,8.6065960391551,18.8485997789259,62.55884864515073,53.23367038910798,64.36772156736639,-5.079707228364527,18.0,1.0,bear/crash-recovery,False
TQQQ,2023-01-10,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-02-08,True,8.855607986450195,1.0,0.0,bear,-4.6648211029464814,4.175583488474444,14.775148475127375,33.77944110495834,47.69758071179617,46.94862922896059,-0.8565302184057155,16.0,1.0,bear/crash-recovery,False
SNOW,2023-01-11,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-02-09,True,139.7100067138672,1.0,0.0,bear,-6.862175798876857,-3.6683481151607578,8.590353736751277,15.877194517443915,5.256788172161397,27.28826677480456,-4.309425940637124,15.0,9.0,bear/crash-recovery,False
TQQQ,2023-01-11,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-02-09,True,9.296232223510742,1.0,0.0,bear,-4.286944116158842,-3.432367667313796,16.18852848599026,24.59018012996257,41.03258548523443,40.62502238679389,-4.815566840116503,15.0,5.0,confirmed,False
AAOI,2023-01-12,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-02-10,True,2.3499999046325684,2.0,1.0,bear,-10.810099054706546,-5.150209849286713,1.7167366164289044,13.733913396545972,-2.145920770536125,24.29184563409521,-8.58368308214451,15.0,8.0,confirmed,False
SNOW,2023-01-12,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-02-10,True,142.13999938964844,1.0,0.0,bear,-6.7652660270630545,3.9626734756135873,14.400572231962073,12.943286708039569,-0.07896669629697817,28.28427353432652,-3.5606651867941874,14.0,8.0,confirmed,False
TSLA,2023-01-17,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-02-14,True,131.49000549316406,1.0,0.0,bear,-19.136715157313144,5.367605420401089,26.845345868126348,53.2293524757989,36.130636511413506,56.70767708397118,-8.970416094760026,17.0,2.0,confirmed,False
AAOI,2023-01-19,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-02-16,True,2.2899999618530273,0.0,2.0,bear,-9.685589978210185,-3.9301273217701382,23.144103939674476,28.820964926856508,-4.366808135300149,33.62445387568667,-6.986893016480245,20.0,4.0,bear-rally,True
TQQQ,2023-01-30,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-02-28,True,10.50316333770752,0.0,5.0,bear,-0.6134423097405417,13.35462398404077,13.71925094933153,0.8660142867192855,17.453791257964333,25.113983300179775,-2.689146470557313,3.0,18.0,bear-rally,True
SNOW,2023-02-03,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-03-06,True,163.2899932861328,1.0,6.0,bull,-2.960874628229093,-1.5087038808274666,-3.5432599646126772,-11.061723776954224,-9.327662853943664,10.147734379395533,-17.91662037798123,8.0,18.0,major-top,False
TSLA,2023-02-10,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-03-13,True,196.88999938964844,0.0,5.0,bear,-8.709183396064791,7.144326468709483,6.794571977306618,-10.256147839317931,-12.997636308226912,11.948357137290433,-15.692827278150489,4.0,20.0,bear-rally,False
MRNA,2023-02-14,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-03-15,True,175.6199951171875,1.0,0.0,bull,4.996437787786379,-8.662008522611375,-21.660792806754582,-13.61089814324229,-25.84743025935007,2.4253606240410397,-22.815727276436093,1.0,10.0,stage,True
NFLX,2023-02-21,S卖,s_sell,exit,v5沿用v4,train,2024-08-26,2023-03-21,True,33.75,0.0,2.0,bull,8.283698939519368,-4.554070366753471,-8.601481119791664,-9.395554154007524,0.7288840964988497,1.3066722728587887,-15.457774974681726,1.0,14.0,major-top,False
NVDA,2023-02-23,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-03-23,True,23.61153793334961,5.0,1.0,bull,13.309333279685553,0.38319881925621413,0.9256449779360576,17.096318477968996,34.63642880870237,18.81027368919137,-3.979398148764457,19.0,12.0,base-bull,False
NFLX,2023-03-23,B买Setup(v4),b_setup_v4,setup,v4,train,2024-08-26,2023-04-21,True,32.0369987487793,5.0,1.0,bull,0.47598448476688926,5.551566586235568,5.832264441579271,2.2923638357225773,35.57683807839575,9.097713382659588,-1.4128407163107704,8.0,18.0,base-bull,False
NFLX,2023-03-24,B确认(v5),b_confirm_v5,entry,v5,train,2024-08-26,2023-04-24,True,32.8390007019043,2.0,1.0,bull,0.5171258832484815,5.473971024606339,3.4925878646861586,0.44878447362943774,29.583264572509925,6.792851172540426,-3.49565080270523,7.0,17.0,confirmed,False
