window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
full,B,profit_to_loss,false,30,10,25,83.33333333333334,28.428817806583165,14.252947269187676,-27.047831583052417,6.390608370561126,8.776206253743595,11,7,9,0,0.7758722996638152,-12.494747685847528,-21.68975585243714,27
full,B,profit_to_loss,true,12,7,0,0.0,-11.792946195494567,-9.527193857528736,-26.9742832525411,-6.552526781446312,-3.6440725370391136,11,10,6,1,-0.30520160221778614,-10.741206218291966,-7.150255001651374,10
full,B,symbol,AAOI,5,1,3,60.0,66.33435328723853,0.19275887723202434,-5.003121316486691,-1.1827056704902001,-0.41569866642280984,3,3,2,0,0.0,-7.384824767516052,-21.68975585243714,5
full,B,symbol,GOOGL,5,1,3,60.0,-0.08881012819504494,3.995375811745916,-23.185264576067965,3.404837711758911,-1.3125801714246683,0,3,1,0,1.1135564457622316,-7.4183531332345565,-5.4546887519867475,4
full,B,symbol,MRNA,2,1,2,100.0,29.600356499777337,29.600356499777337,1.7986428200841953,2.3864045299266556,21.386689960251598,1,1,0,0,1.3373703732815874,-6.732069712690447,-10.741689601424076,2
full,B,symbol,MSFT,3,1,1,33.33333333333333,-0.7073956267060608,-0.06198834990690516,-21.59643001259398,-5.477522071271088,4.394531872775449,2,1,2,1,-1.2186685169392697,-5.326339672597491,-3.8696123318702424,2
full,B,symbol,NFLX,4,1,4,100.0,39.15323171641387,17.54871400257827,7.260260420213327,2.4581722098519823,16.76853211900152,2,0,1,0,0.3640980727830927,-7.930882548258921,-4.801803451400611,3
full,B,symbol,NVDA,2,1,1,50.0,-4.8307865448032405,-4.8307865448032405,-23.72333142580999,-2.264528180034004,-4.497032970608135,1,1,0,0,0.6339557372333431,-12.494747685847528,-8.423184664752348,1
full,B,symbol,SNOW,5,1,2,40.0,-6.212046301383003,-14.331088418973547,-27.047831583052417,-6.184063492479551,-3.37198933156201,4,3,3,0,-0.7093912170410235,-9.885611313136877,-8.435513590121335,4
full,B,symbol,TQQQ,4,1,3,75.0,17.129310973735798,20.3357047019449,-17.082673786856507,5.5372794444685,15.499783013284446,2,1,1,0,0.9707737266675665,-4.883143336015627,-10.445012473877725,4
full,B,symbol,TSLA,5,1,3,60.0,20.05982077114689,25.85765548340815,-26.593404828411128,12.32292585206209,6.764703710534029,2,2,2,0,0.8112937181940723,-4.474635975874087,-8.458028881939272,5
full,B,symbol,YINN,7,1,3,42.857142857142854,5.476495416727807,-7.5571202234804735,-26.9742832525411,-12.83402756510509,6.6217650710885385,5,2,3,0,0.7404508811335582,-11.813641687825227,-6.846475674446461,7
full,JF,all,all,40,9,19,47.5,14.141148145935494,-0.4967422602022542,-34.38185233852087,1.2978143665161577,-2.3451051390111246,19,22,11,0,0.24441432995766554,-28.30800427308622,-15.858583387069835,35
full,JF,exit_reason,signal,10,5,10,100.0,55.809682055484565,48.48237231317256,6.437643816955396,11.430567208188462,17.58796561404758,3,3,4,0,2.280421635643424,-28.30800427308622,-15.858583387069835,10
full,JF,exit_reason,trail,27,7,6,22.22222222222222,-6.429193961999539,-9.627677945506463,-34.38185233852087,-5.282551314382354,-8.144225873884363,16,19,7,0,0.40626508522371196,-26.89236735839884,-14.29829907697604,22
full,JF,exit_reason,terminal,3,3,3,100.0,60.37911408552056,31.225894436277656,18.994673462303457,12.52714684620112,14.847956938308629,0,0,0,0,0.0,-5.25056798357959,-7.841564100202936,3
full,JF,outcome,win,19,9,19,100.0,44.71498403307809,31.225894436277656,3.7543327154057726,12.52714684620112,11.765162075722532,4,7,5,0,0.13414302745873297,-28.30800427308622,-15.858583387069835,18
full,JF,outcome,nonpositive,21,6,0,0.0,-13.520893847193523,-12.0011368775506,-34.38185233852087,-6.485745213030279,-9.183860889218078,15,15,6,0,0.34061657055752903,-26.89236735839884,-14.29829907697604,17
full,JF,profit_to_loss,false,21,9,19,90.47619047619048,37.737012822745456,19.35322949190672,-34.38185233852087,12.308859202372538,7.112117729254027,6,9,5,0,0.40626508522371196,-28.30800427308622,-15.858583387069835,19
