mechanism,symbol,episode_id,expiry_date,trigger_date,reference_open_date,mature,return20_net_pct,mae20_pct,win,interference
macd-zero-reclaim,AAOI,AAOI:2023-05-10,2023-05-17,2023-08-07,2023-08-08,True,11.127365713424254,-2.493550808249223,True,False
macd-zero-reclaim,GOOGL,GOOGL:2021-10-27,2021-11-03,2021-11-18,2021-11-19,True,-5.690127312771032,-6.5514039667532,False,False
macd-zero-reclaim,MRNA,MRNA:2022-02-24,2022-03-03,2022-05-04,2022-05-05,True,-7.881887556214473,-21.63692239247209,False,True
macd-zero-reclaim,MRNA,MRNA:2023-02-14,2023-02-22,2023-03-13,2023-03-14,True,4.000308560459498,-2.4298531487461528,True,False
macd-zero-reclaim,MRNA,MRNA:2023-11-03,2023-11-10,2024-02-23,2024-02-26,True,12.317725653073497,-2.369770723175879,True,False
macd-zero-reclaim,MSFT,MSFT:2022-05-04,2022-05-11,2022-06-23,2022-06-24,True,-0.7526342905633365,-6.061645951329931,False,False
macd-zero-reclaim,NFLX,NFLX:2022-01-31,2022-02-07,2022-03-15,2022-03-16,True,-1.3750299865116111,-1.708791573572499,False,False
macd-zero-reclaim,NFLX,NFLX:2022-05-13,2022-05-20,2022-09-16,2022-09-19,True,-6.329223480447088,-13.597220727140014,False,True
macd-zero-reclaim,NFLX,NFLX:2023-08-23,2023-08-30,2023-10-09,2023-10-10,True,12.524238835871259,-10.59442716616995,True,False
macd-zero-reclaim,NVDA,NVDA:2023-02-23,2023-03-02,2023-03-16,2023-03-17,True,2.7808012598889764,-3.279205938521512,True,False
macd-zero-reclaim,SNOW,SNOW:2022-06-02,2022-06-09,2022-08-25,2022-08-26,True,-12.354123978034814,-15.362245209363046,False,True
macd-zero-reclaim,TQQQ,TQQQ:2022-01-31,2022-02-07,2022-03-16,2022-03-17,True,5.671929889389293,-1.4709179084717916,True,False
macd-zero-reclaim,TSLA,TSLA:2023-08-21,2023-08-28,2023-10-05,2023-10-06,True,-14.137649934541251,-23.588467364016196,False,True
macd-zero-reclaim,YINN,YINN:2021-12-30,2022-01-06,2022-02-01,2022-02-02,True,-27.999073346355154,-32.65741672438246,False,True
macd-zero-reclaim,YINN,YINN:2022-03-16,2022-03-23,2022-04-29,2022-05-02,True,-3.451539839702411,-28.070176277249516,False,True
macd-zero-reclaim,YINN,YINN:2022-05-03,2022-05-10,2022-05-13,2022-05-16,True,16.683676045536465,-5.014751287375874,True,False
macd-zero-reclaim,YINN,YINN:2022-08-25,2022-09-01,2022-09-12,2022-09-13,True,-32.27850404518063,-32.97909373162848,False,True
macd-zero-reclaim,YINN,YINN:2022-10-04,2022-10-11,2022-11-03,2022-11-04,True,62.162056105312914,-10.542901583079367,True,False
