position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,tradable_jf,source_trusted,true,4,3,1,2,2,1,66.66666666666666,33.33333333333333,29.675378112106994,11.151868384383112,36.33693692189258,-5.119842142994599,4,4,1,0,0,1,0
flat,raw_b,all,all,22,19,3,10,9,9,47.368421052631575,47.368421052631575,10.95460853448112,-0.23190447839982475,20.161374909032332,-11.143270108877218,1,0,1,0,0,18,0
flat,raw_b,symbol,TQQQ,2,1,1,1,1,0,100.0,0.0,49.0420670445302,49.0420670445302,49.22949721616059,-1.4785486832661343,0,0,0,0,0,2,0
flat,raw_b,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,6.3776008914228965,6.3776008914228965,11.801401627819153,-0.36090543555400423,0,0,0,0,0,1,0
flat,raw_b,symbol,NFLX,1,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,0,0,0,0,0,1,0
flat,raw_b,symbol,YINN,2,2,0,1,1,1,50.0,50.0,0.14048918722383008,0.14048918722383008,7.779997762544854,-10.879568399546574,0,0,0,0,0,2,0
flat,raw_b,symbol,SNOW,2,2,0,1,0,2,0.0,100.0,-13.765090769028486,-13.765090769028486,2.6367656794975214,-21.322795280496326,0,0,0,0,0,2,0
flat,raw_b,symbol,TSLA,1,1,0,1,0,1,0.0,100.0,-4.706043680013828,-4.706043680013828,1.9604670567244353,-10.87952109735497,0,0,0,0,0,1,0
flat,raw_b,symbol,MRNA,6,6,0,1,2,3,33.33333333333333,50.0,-1.3262960757919882,-2.381155659768125,7.652697513038657,-11.952238049340929,0,0,0,0,0,2,0
flat,raw_b,symbol,NVDA,1,1,0,1,1,0,100.0,0.0,12.9459959301218,12.9459959301218,23.388157102079266,-1.1779389493863701,0,0,0,0,0,1,0
flat,raw_b,symbol,GOOGL,2,1,1,1,0,1,0.0,100.0,-0.23190447839982475,-0.23190447839982475,2.057676296393973,-11.12454733723004,0,0,0,0,0,2,0
flat,raw_b,symbol,AAOI,4,3,1,1,3,0,100.0,0.0,62.29453907220494,25.064053680511943,75.47971632650815,-11.671424830260277,1,0,1,0,0,4,0
