scheme,signal,candidate,dimension,value,events,symbols,base_win_pct,base_noise_pct,brier,base_brier,brier_gain,logloss,base_logloss,high_events,high_symbols,coverage_pct,high_win_pct,high_noise_pct,win_gain_pp,noise_reduction_pp,high_wilson_low_pct,high_wilson_high_pct
time,b,decay730,symbol,YINN,9,1,55.55555555555556,44.44444444444444,0.29931045256625716,0.272199861416871,-0.02711059114938621,0.7939385118288366,0.7384784214423309,0,0,0.0,,,,,,
time,b,decay730,source_trusted,False,32,5,62.5,37.5,0.26084156802712977,0.24973598877764824,-0.011105579249481481,0.7160647057889624,0.6930454082859601,0,0,0.0,,,,,,
time,b,decay730,source_trusted,True,28,5,42.857142857142854,50.0,0.2800198472713617,0.2715834242139901,-0.008436423057371556,0.7548978831565344,0.7370235788196242,0,0,0.0,,,,,,
time,jf,decay730,fold_start,2021-08-27,15,6,53.333333333333336,46.666666666666664,0.28124350498439304,0.3050754458161865,0.023831940831793474,0.7581818451146861,0.812729853497411,0,0,0.0,,,,,,
time,jf,decay730,fold_start,2022-08-27,6,5,66.66666666666666,33.33333333333333,0.25963139387484263,0.29583558680367766,0.036204192928834956,0.7124290593158027,0.7863590403155912,0,0,0.0,,,,,,
time,jf,decay730,fold_start,2023-08-27,4,4,75.0,25.0,0.2570107773757082,0.30435235318617243,0.0473415758104642,0.7071722660183024,0.8031971354485148,0,0,0.0,,,,,,
time,jf,decay730,fold_start,2024-08-27,10,6,80.0,20.0,0.24831778563845722,0.30207100591715974,0.05375322027870252,0.6897827163244195,0.7981702795623435,0,0,0.0,,,,,,
time,jf,decay730,fold_start,2025-08-27,9,6,77.77777777777779,22.22222222222222,0.19466214428196021,0.25,0.055337855718039765,0.5802723277799218,0.6931471805599453,9,6,100.0,77.77777777777779,22.22222222222222,0.0,0.0,45.25889691069889,93.67748928821533
time,jf,decay730,symbol,AAOI,8,1,62.5,37.5,0.21126688231047538,0.24967864039989646,0.038411758089421044,0.6136021839485105,0.6910547326873759,2,1,25.0,100.0,0.0,37.5,37.5,34.2380227506653,100.0
time,jf,decay730,symbol,MRNA,8,1,75.0,25.0,0.2460393199984061,0.29919233790193556,0.053153017903529456,0.6851080222033377,0.7944330069102256,1,1,12.5,100.0,0.0,25.0,25.0,20.654931437723747,100.0
time,jf,decay730,symbol,MSFT,1,1,100.0,0.0,0.13686085327902334,0.25,0.11313914672097666,0.4619514873181894,0.6931471805599453,1,1,100.0,100.0,0.0,0.0,0.0,20.654931437723747,100.0
time,jf,decay730,symbol,NFLX,2,1,100.0,0.0,0.13686085327902334,0.25,0.11313914672097666,0.4619514873181894,0.6931471805599453,2,1,100.0,100.0,0.0,0.0,0.0,34.2380227506653,100.0
time,jf,decay730,symbol,NVDA,2,1,100.0,0.0,0.24719101938833524,0.33284023668639046,0.08564921729805522,0.6875291599813066,0.8602012652231115,0,0,0.0,,,,,,
time,jf,decay730,symbol,SNOW,6,1,50.0,50.0,0.2864596803657706,0.28908166724904505,0.0026219868832745067,0.7689120813827887,0.7789310790464743,2,1,33.333333333333336,50.0,50.0,0.0,0.0,9.453120573423075,90.54687942657694
time,jf,decay730,symbol,TQQQ,6,1,83.33333333333334,16.666666666666664,0.2915754212245553,0.35448388104919454,0.06290845982463922,0.7787621860202659,0.9114107661506615,0,0,0.0,,,,,,
time,jf,decay730,symbol,TSLA,2,1,100.0,0.0,0.332602855027361,0.4140195696463502,0.08141671461898926,0.8637578437362834,1.0382982947738024,0,0,0.0,,,,,,
time,jf,decay730,symbol,YINN,9,1,44.44444444444444,55.55555555555556,0.2603100739731701,0.26035377234573076,4.369837256071935e-05,0.7146792763254385,0.715502706352714,1,1,11.11111111111111,0.0,100.0,-44.44444444444444,-44.44444444444444,0.0,79.34506856227625
time,jf,decay730,source_trusted,False,20,4,65.0,35.0,0.23608438927914244,0.27433613271635304,0.03825174343721061,0.664941606325511,0.7437214977068033,5,4,25.0,80.0,20.0,15.0,15.0,37.55346297625253,96.37758913675698
time,jf,decay730,source_trusted,True,24,5,70.83333333333334,29.166666666666668,0.26324722570238124,0.30635591773558707,0.04310869203320583,0.7207265451433996,0.811145335528152,4,2,16.666666666666668,75.0,25.0,4.166666666666657,4.166666666666668,30.064184258240186,95.44127391902994
time,s,decay730,fold_start,2021-08-27,13,8,61.53846153846154,30.76923076923077,0.3055896295341783,0.3061359079877598,0.0005462784535815457,0.8083831353670856,0.8095800357351519,0,0,0.0,,,,,,
time,s,decay730,fold_start,2022-08-27,15,7,46.666666666666664,46.666666666666664,0.2539735611076001,0.2580471730835935,0.0040736119759933595,0.7013791373842729,0.7100042063423436,0,0,0.0,,,,,,
time,s,decay730,fold_start,2023-08-27,7,7,71.42857142857143,28.57142857142857,0.2686155203136592,0.29515625000000006,0.02654072968634082,0.7304603000104036,0.7844790617092361,0,0,0.0,,,,,,
time,s,decay730,fold_start,2024-08-27,12,7,50.0,41.66666666666667,0.25002069074286437,0.2544444444444444,0.004423753701580074,0.6931885637581958,0.7021160309032789,0,0,0.0,,,,,,
time,s,decay730,fold_start,2025-08-27,14,10,50.0,42.857142857142854,0.25001930112626586,0.25360000000000005,0.0035806988737341616,0.6931857843026875,0.7003995236613861,0,0,0.0,,,,,,
time,s,decay730,symbol,AAOI,8,1,37.5,62.5,0.22663603831200438,0.2281385438668871,0.0015025055548827434,0.6462356654876024,0.6486900133651984,0,0,0.0,,,,,,
time,s,decay730,symbol,GOOGL,2,1,50.0,50.0,0.25001930112626586,0.25360000000000005,0.0035806988737341616,0.6931857843026876,0.7003995236613861,0,0,0.0,,,,,,
time,s,decay730,symbol,MRNA,5,1,80.0,20.0,0.2911182001970331,0.31871267661179703,0.027594476414763876,0.7776089438818858,0.8334222424257252,0,0,0.0,,,,,,
time,s,decay730,symbol,MSFT,1,1,100.0,0.0,0.2456259964172965,0.31360000000000005,0.06797400358270356,0.68439894875233,0.8209805520698302,0,0,0.0,,,,,,
time,s,decay730,symbol,NFLX,5,1,80.0,20.0,0.33002517735124626,0.3425673926194279,0.012542215268181616,0.8568402523685557,0.8833579990610975,0,0,0.0,,,,,,
time,s,decay730,symbol,NVDA,7,1,42.857142857142854,57.14285714285714,0.21371499644005357,0.2272983934296367,0.01358339698958313,0.6189924219646288,0.6460705708877671,0,0,0.0,,,,,,
time,s,decay730,symbol,SNOW,8,1,50.0,37.5,0.2488627249104235,0.2570027742282077,0.008140049317784209,0.6909327823797167,0.7075686066879636,0,0,0.0,,,,,,
time,s,decay730,symbol,TQQQ,9,1,33.33333333333333,55.55555555555556,0.26383057509932106,0.24278957782194033,-0.021040997277380773,0.721380027679174,0.6793908999365829,0,0,0.0,,,,,,
time,s,decay730,symbol,TSLA,8,1,62.5,12.5,0.2790074439030171,0.2893299760099023,0.010322532106885177,0.7526764649178465,0.773788519720744,0,0,0.0,,,,,,
time,s,decay730,symbol,YINN,8,1,62.5,37.5,0.3006480566308723,0.30264197875338655,0.001993922122514258,0.7973263327736004,0.8017340841367445,0,0,0.0,,,,,,
time,s,decay730,source_trusted,False,21,5,71.42857142857143,28.57142857142857,0.29793171140277164,0.3118255321992008,0.01389382079642921,0.7915060552761294,0.8199787371390795,0,0,0.0,,,,,,
time,s,decay730,source_trusted,True,40,5,45.0,45.0,0.2476632451994456,0.24929913268112242,0.0016358874816767986,0.6886031626286573,0.6919347303458716,0,0,0.0,,,,,,
