clock,group_by,group,cohort_trades,events,without_clock,complete,incomplete,wins,interference,win_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct
confirmation,component,B_CRASH_RECOVER,5,5,0,5,0,2,2,40.0,13.929883354570473,-3.4069658912657896,34.06728081961395,-17.001481915076948
entry,component,B_CRASH_RECOVER,5,5,0,5,0,2,3,40.0,19.912104385650444,-6.325910596209128,38.4012540212633,-14.839830548747614
failure,component,B_CRASH_RECOVER,5,3,2,3,0,1,2,33.33333333333333,14.651257561941206,-2.141260679418655,25.688703194217577,-16.025138274212473
confirmation,component,multiple,1,1,0,1,0,1,0,100.0,67.05140981683448,67.05140981683448,71.35362510318963,-10.66806303176766
entry,component,multiple,1,1,0,1,0,1,0,100.0,65.71534411807747,65.71534411807747,81.57895667038287,-5.337281879692812
failure,component,multiple,1,1,0,1,0,1,0,100.0,66.62134714698054,66.62134714698054,68.35485605320298,-1.7335153893924815
confirmation,component,none,0,0,0,0,0,0,0,,,,,
entry,component,none,0,0,0,0,0,0,0,,,,,
failure,component,none,0,0,0,0,0,0,0,,,,,
confirmation,first_failure,none,18,18,0,18,0,17,1,94.44444444444444,17.492695711878874,12.210814848286688,29.297079667712378,-6.535230042802379
entry,first_failure,none,18,18,0,18,0,15,2,83.33333333333334,18.031188474176073,9.323581220474697,28.839220548929934,-7.037045030629243
failure,first_failure,none,18,0,18,0,0,0,0,,,,,
confirmation,first_failure,entry,7,7,0,7,0,3,4,42.857142857142854,-8.944968495866162,-8.201250064715982,6.391983346911515,-19.465405845420864
entry,first_failure,entry,7,7,0,7,0,3,3,42.857142857142854,-6.534955867724589,-5.577945376105509,8.01428229554072,-17.962657460877526
failure,first_failure,entry,7,7,0,7,0,3,3,42.857142857142854,-6.534955867724589,-5.577945376105509,8.01428229554072,-17.962657460877526
confirmation,first_failure,later,17,17,0,16,1,5,10,31.25,-0.7838726890761145,-3.389125458374126,11.287175511714004,-14.811760016782738
entry,first_failure,later,17,17,0,16,1,5,9,31.25,-0.2277693914437089,-3.2372295614420454,12.252197872174623,-13.74105025462554
failure,first_failure,later,17,17,0,16,1,11,4,68.75,11.661729283916042,10.814863421727207,21.07242516495781,-8.855103817518131
confirmation,recovery,no_failure,18,18,0,18,0,17,1,94.44444444444444,17.492695711878874,12.210814848286688,29.297079667712378,-6.535230042802379
entry,recovery,no_failure,18,18,0,18,0,15,2,83.33333333333334,18.031188474176073,9.323581220474697,28.839220548929934,-7.037045030629243
failure,recovery,no_failure,18,0,18,0,0,0,0,,,,,
confirmation,recovery,unrecovered,6,6,0,5,1,1,3,20.0,-19.28151929563279,-20.700311235687895,4.01532021821421,-26.691225445864667
entry,recovery,unrecovered,6,6,0,5,1,1,4,20.0,-19.466790274444918,-20.52631378173827,3.1296649063005595,-27.31364339182855
failure,recovery,unrecovered,6,6,0,5,1,1,4,20.0,-11.452891806795401,-18.729793557393904,7.266416241022381,-26.144975613094992
confirmation,recovery,recovered,18,18,0,18,0,7,11,38.88888888888889,1.1806029989934999,-2.9690940324741124,11.403449473596309,-13.321659664285919
entry,recovery,recovered,18,18,0,18,0,7,8,38.88888888888889,2.663608335280728,-3.1205536360745745,13.138156527337568,-11.61262163005603
failure,recovery,recovered,18,18,0,18,0,13,3,72.22222222222221,11.005968694586752,10.814863421727207,19.82926097238878,-7.594188068942098
confirmation,exit_reason,signal,21,21,0,21,0,16,5,76.19047619047619,17.08607119621525,9.961668597272189,25.929354075438017,-7.433449212504923
entry,exit_reason,signal,21,21,0,21,0,13,4,61.904761904761905,17.16468266165922,8.641976641062987,26.06865885802344,-7.523710312541578
failure,exit_reason,signal,21,9,12,9,0,8,0,88.88888888888889,17.96038625877114,10.853658678416767,25.731051575526216,-4.744230319608203
confirmation,exit_reason,trail,20,20,0,20,0,9,10,45.0,-5.954785740149079,-2.71358457199114,10.408484502521453,-16.73888542471547
entry,exit_reason,trail,20,20,0,20,0,10,10,50.0,-4.264297234842294,-1.4012049393410941,11.189963794291277,-15.713215014405225
failure,exit_reason,trail,20,14,6,14,0,6,7,42.857142857142854,-1.4857499185968364,-3.8117738605996214,11.548522466312434,-16.051585030711355
confirmation,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
entry,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
failure,exit_reason,terminal,1,1,0,0,1,0,0,,,,,
confirmation,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
entry,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
failure,exit_reason,unobserved,0,0,0,0,0,0,0,,,,,
