symbol,episode_id,date,available_at,position,age,close,mid,setup_high,above_high,above_mid,both
TQQQ,TQQQ:2026-08-04,2026-08-11,2026-08-11,flat,5,73.05999755859375,68.59600028991699,75.41000366210938,False,True,False
MSFT,MSFT:2022-05-04,2022-05-05,2022-05-11,held,1,277.3500061035156,283.75099792480466,290.8800048828125,False,False,False
MSFT,MSFT:2022-05-04,2022-05-06,2022-05-11,held,2,274.7300109863281,282.4189987182617,290.8800048828125,False,False,False
MSFT,MSFT:2022-05-04,2022-05-09,2022-05-11,held,3,264.5799865722656,280.7994979858398,290.8800048828125,False,False,False
MSFT,MSFT:2022-05-04,2022-05-10,2022-05-11,held,4,269.5,280.0114974975586,290.8800048828125,False,False,False
MSFT,MSFT:2022-05-04,2022-05-11,2022-05-11,held,5,260.54998779296875,278.93599700927734,290.8800048828125,False,False,False
MSFT,MSFT:2023-08-23,2023-08-24,2023-08-30,held,1,319.9700012207031,325.2934997558594,329.20001220703125,False,False,False
MSFT,MSFT:2023-08-23,2023-08-25,2023-08-30,held,2,322.9800109863281,324.5240005493164,329.20001220703125,False,False,False
MSFT,MSFT:2023-08-23,2023-08-28,2023-08-30,held,3,323.70001220703125,323.9130004882812,329.20001220703125,False,False,False
MSFT,MSFT:2023-08-23,2023-08-29,2023-08-30,held,4,328.4100036621094,323.51650085449216,329.20001220703125,False,True,False
MSFT,MSFT:2023-08-23,2023-08-30,2023-08-30,held,5,328.7900085449219,323.5810012817383,329.20001220703125,False,True,False
MSFT,MSFT:2023-10-25,2023-10-26,2023-11-01,held,1,327.8900146484375,327.36250457763674,346.20001220703125,False,True,False
MSFT,MSFT:2023-10-25,2023-10-27,2023-11-01,held,2,329.80999755859375,328.0655044555664,346.20001220703125,False,True,False
MSFT,MSFT:2023-10-25,2023-10-30,2023-11-01,held,3,337.30999755859375,328.8410049438477,346.20001220703125,False,True,False
MSFT,MSFT:2023-10-25,2023-10-31,2023-11-01,held,4,338.1099853515625,330.0770034790039,346.20001220703125,False,True,False
MSFT,MSFT:2023-10-25,2023-11-01,2023-11-01,held,5,346.07000732421875,331.43250427246096,346.20001220703125,False,True,False
MSFT,MSFT:2026-07-02,2026-07-06,2026-07-10,held,1,386.739990234375,384.88999633789064,392.2000122070313,False,True,False
MSFT,MSFT:2026-07-02,2026-07-07,2026-07-10,held,2,388.8399963378906,383.4984954833984,392.2000122070313,False,True,False
MSFT,MSFT:2026-07-02,2026-07-08,2026-07-10,held,3,383.3399963378906,382.07849578857423,392.2000122070313,False,True,False
MSFT,MSFT:2026-07-02,2026-07-09,2026-07-10,held,4,384.3599853515625,381.12599487304686,392.2000122070313,False,True,False
MSFT,MSFT:2026-07-02,2026-07-10,2026-07-10,held,5,385.1000061035156,380.5129959106445,392.2000122070313,False,True,False
NFLX,NFLX:2021-12-22,2021-12-23,2021-12-30,flat,1,61.40900039672851,61.545650482177734,61.48199844360352,False,False,False
NFLX,NFLX:2021-12-22,2021-12-27,2021-12-30,flat,2,61.3120002746582,61.28305034637451,61.48199844360352,False,True,False
