rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin
R,TSLA,2021-12-23,2022-01-24,-10.314722081422467,20,trail,19.167657624061096,additional
R,TSLA,2022-02-25,2022-04-27,10.819385050147346,42,trail,41.5481363736643,v5
R,TSLA,2022-05-05,2022-05-23,-30.383736986528277,12,trail,-7.0009151178918705,additional
R,TSLA,2022-06-22,2022-08-08,25.546319320736522,32,signal,31.611493967170333,additional
R,TSLA,2022-09-08,2022-10-04,-11.12007620564508,18,trail,9.872030123118304,additional
R,TSLA,2022-10-26,2022-11-10,-13.61878346354769,11,trail,4.156796093749882,additional
R,TSLA,2022-12-01,2022-12-19,-22.015347791730054,12,trail,-1.1264467221824948,additional
R,TSLA,2023-01-10,2023-02-13,60.26377556925069,23,signal,71.23978512166606,additional
R,TSLA,2023-03-17,2023-04-21,-10.865725104362545,24,trail,12.432257701193826,additional
R,TSLA,2023-05-01,2023-08-02,56.3149633767176,64,signal,79.77569383445602,additional
R,TSLA,2023-08-23,2023-10-20,-5.565450865041766,41,trail,20.362785799572116,additional
R,TSLA,2023-11-03,2024-01-23,-4.64498296827236,53,trail,18.21840816499445,additional
R,TSLA,2024-02-12,2024-04-16,-18.574420006662372,44,trail,5.4812340564479145,additional
R,TSLA,2024-04-25,2024-07-12,48.04267042417529,53,signal,65.61399008965883,additional
R,TSLA,2024-08-14,2024-08-26,2.6008006830955166,9,terminal,7.657073595422914,additional
R,MRNA,2021-10-15,2021-11-08,-31.792585565645048,16,trail,2.507254200205189,additional
R,MRNA,2021-11-19,2021-12-07,0.824743945805495,11,trail,38.842943278113125,additional
R,MRNA,2022-01-11,2022-01-20,-22.72557501230832,6,trail,-1.3761064647573318,v5
R,MRNA,2022-02-01,2022-02-24,-20.327957888937775,16,trail,-1.4041047362602699,additional
R,MRNA,2022-03-15,2022-04-22,-8.527756410082654,27,trail,19.485503369636948,additional
R,MRNA,2022-05-05,2022-06-14,-22.943568081595277,27,trail,-2.1992470173673118,additional
R,MRNA,2022-06-23,2022-08-18,15.17653979182587,39,signal,42.73743182812617,additional
R,MRNA,2022-09-09,2023-02-09,17.35857060760042,105,trail,47.87384061826674,additional
R,MRNA,2023-02-14,2023-02-27,-18.520039627108375,8,trail,3.7392471253268056,additional
R,MRNA,2023-03-15,2023-05-12,-13.861415707943037,41,trail,7.825089679204678,additional
R,MRNA,2023-05-24,2023-08-08,-28.353721779194874,51,trail,-6.799352601116093,additional
R,MRNA,2023-08-18,2023-10-17,-14.825943022421729,41,trail,10.122758325063375,v5
R,MRNA,2023-11-03,2024-02-12,19.35322949190672,67,trail,57.94227421730067,v5
R,MRNA,2024-02-16,2024-05-29,65.57918807245773,70,signal,84.28270529998598,additional
R,MRNA,2024-06-26,2024-08-02,-32.68643147506557,26,trail,-7.420284763754048,additional
R,MRNA,2024-08-16,2024-08-26,-7.390039415012717,7,terminal,2.227271686900756,additional
