position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
held,raw_b,symbol,YINN,14,12,2,1,4,8,33.33333333333333,66.66666666666666,-6.026868903969455,-8.79806063534439,19.843317227907132,-20.5982238264878,0,0,2,0,1,6,1
held,raw_b,symbol,SNOW,10,10,0,1,1,8,10.0,80.0,-13.541951533624209,-12.165842353873979,9.65558711546196,-20.421530495933645,0,0,1,0,1,6,1
held,raw_b,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_b,symbol,MRNA,9,9,0,1,7,2,77.77777777777779,22.22222222222222,4.227940450113947,2.3868916782236127,13.687383790757814,-9.741441437698558,0,0,2,0,1,2,1
held,raw_b,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_b,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_b,symbol,AAOI,12,12,0,1,2,10,16.666666666666664,83.33333333333334,1.2451978695964838,-17.103572918044158,28.850943278421642,-22.918985250911604,0,0,0,0,0,5,0
held,raw_b,source_trusted,false,30,26,4,4,13,11,50.0,42.30769230769231,-0.9691809533906593,-0.18827592631338042,15.098348747126387,-14.046706617862375,0,0,4,0,2,14,2
held,raw_b,source_trusted,true,27,27,0,3,4,22,14.814814814814813,81.48148148148148,-7.157556974720114,-15.899578651517265,17.637949164246614,-23.455945374158407,0,0,1,0,1,15,1
held,raw_b,raw_b_state,accepted,23,20,3,7,8,10,40.0,50.0,-1.1022239547501644,-3.9200768546853726,13.837348350682163,-15.485976376704054,0,0,5,0,0,23,0
held,raw_b,raw_b_state,suppressed,34,33,1,6,9,23,27.27272727272727,69.6969696969697,-5.951765576078696,-15.306818886390117,17.94044629837277,-20.8728899888672,0,0,0,0,3,6,3
held,raw_b,component,B_BASE_BULL,1,1,0,1,1,0,100.0,0.0,10.956127509955138,10.956127509955138,11.525811656524464,-3.993658824884183,0,0,0,0,0,1,0
held,raw_b,component,B_STAGE_COMPONENT,6,4,2,3,1,1,25.0,25.0,-8.034864638717421,-3.488920317513877,7.299535951183934,-12.950737213944793,0,0,0,0,0,4,0
held,raw_b,component,B_BEAR_RECOVER,15,13,2,6,4,9,30.76923076923077,69.23076923076923,-5.693023356181014,-5.12000189887154,13.33395802029447,-17.77526381810721,0,0,1,0,2,9,2
held,raw_b,component,B_CRASH_RECOVER,39,39,0,5,13,25,33.33333333333333,64.1025641025641,-3.7297934109050326,-10.843374393799232,18.336391873440043,-19.806893455537185,0,0,4,0,2,15,2
held,raw_b,component,multiple,4,4,0,2,2,2,50.0,50.0,-5.55045864874093,-1.3665551103239637,15.10074948232633,-15.204746228827133,0,0,0,0,1,0,1
held,raw_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,all,all,10,7,3,6,1,6,14.285714285714285,85.71428571428571,-9.392272662536017,-6.533864320950933,10.312062618110621,-16.01688499332573,0,0,0,0,3,0,10
held,confirmed_b,symbol,TQQQ,1,1,0,1,0,1,0.0,100.0,-1.396641556245637,-1.396641556245637,11.499094589521807,-21.554932941575867,0,0,0,0,0,0,1
held,confirmed_b,symbol,MSFT,1,0,1,1,0,0,,,,,,,0,0,0,0,0,0,1
held,confirmed_b,symbol,NFLX,2,1,1,1,1,0,100.0,0.0,5.9267466532472834,5.9267466532472834,11.39901537458412,-0.8318212857656659,0,0,0,0,0,0,2
held,confirmed_b,symbol,YINN,2,1,1,1,0,1,0.0,100.0,-9.424079900666094,-9.424079900666094,16.230365376768606,-10.383945623320534,0,0,0,0,1,0,2
held,confirmed_b,symbol,SNOW,3,3,0,1,0,3,0.0,100.0,-18.577310645072043,-15.914638807245307,9.368284048685364,-23.29360902653818,0,0,0,0,1,0,3
held,confirmed_b,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,symbol,MRNA,1,1,0,1,0,1,0.0,100.0,-5.12000189887154,-5.12000189887154,4.951110839843742,-9.466668023003477,0,0,0,0,1,0,1
held,confirmed_b,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,symbol,AAOI,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,source_trusted,false,6,3,3,4,1,2,33.33333333333333,66.66666666666666,-2.8724450487634505,-5.12000189887154,10.860163863732156,-6.894144977363226,0,0,0,0,2,0,6
held,confirmed_b,source_trusted,true,4,4,0,2,0,4,0.0,100.0,-14.282143372865443,-11.22425156409812,9.900986683894473,-22.858940005297605,0,0,0,0,1,0,4
held,confirmed_b,component,B_BASE_BULL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,component,B_STAGE_COMPONENT,3,1,2,2,1,0,100.0,0.0,5.9267466532472834,5.9267466532472834,11.39901537458412,-0.8318212857656659,0,0,0,0,0,0,3
held,confirmed_b,component,B_BEAR_RECOVER,4,3,1,3,0,3,0.0,100.0,-13.737978228072153,-6.533864320950933,9.382403013225266,-25.084790599447796,0,0,0,0,0,0,4
held,confirmed_b,component,B_CRASH_RECOVER,3,3,0,3,0,3,0.0,100.0,-10.152906868927646,-9.424079900666094,10.879404637504814,-12.010667289723683,0,0,0,0,3,0,3
held,confirmed_b,component,multiple,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,confirmed_b,component,none,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,all,all,6,6,0,3,2,3,33.33333333333333,50.0,-6.040653336108959,-2.5653589019882403,13.704383596338964,-18.22725507152292,0,0,5,0,0,5,0
held,raw_jf,symbol,TQQQ,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,symbol,MSFT,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,symbol,NFLX,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,symbol,YINN,3,3,0,1,0,3,0.0,100.0,-15.80388110809073,-3.6155646624618676,13.847693465361047,-22.61265428820054,0,0,2,0,0,2,0
held,raw_jf,symbol,SNOW,1,1,0,1,0,0,0.0,0.0,-6.341944941586997,-6.341944941586997,16.23915604680237,-6.374954807493416,0,0,1,0,0,1,0
held,raw_jf,symbol,TSLA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,symbol,MRNA,2,2,0,1,2,0,100.0,0.0,8.754834124602716,8.754834124602716,12.222032567574137,-17.57530637852124,0,0,2,0,0,2,0
held,raw_jf,symbol,NVDA,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
held,raw_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
