case,rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_profit_enabled,entry_stop_pct,entry_limit
full5y,P-confirm5-v5profit50,YINN,2024-08-06,2024-09-09,6.924852086161359,23,profit_lock,24.476659037613068,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2025-01-28,2025-02-25,38.25064305242773,19,signal,48.43181817609368,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2025-04-10,2025-10-13,75.14225258742854,127,signal,106.79328220366347,v5,True,,
full5y,P-confirm5-v5profit50,YINN,2025-12-29,2026-02-27,-10.97577608363296,41,trail,18.583866943784866,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2021-12-09,2022-01-06,-20.634647434082034,19,trail,0.3351324957770352,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2022-01-25,2022-02-14,6.612483502114808,14,signal,13.019943244198174,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2022-03-17,2022-04-07,8.705336568556588,15,profit_lock,23.707690116686674,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2022-05-27,2022-07-25,10.022001032992577,38,profit_lock,24.84752992240744,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2022-11-11,2023-01-05,-12.0011368775506,36,trail,11.490729796542198,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2023-01-13,2023-02-06,14.44413620217182,15,signal,27.81765911778349,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2023-06-05,2023-07-05,-0.6597022778566553,20,max_hold,8.6286322618766,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,SNOW,2023-07-19,2023-07-21,-7.055764201430337,2,hard_stop,-3.3409796944217973,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,SNOW,2023-09-01,2024-01-05,16.509199727021162,86,signal,27.280194787458868,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2024-01-11,2024-01-17,-6.928387111325041,3,hard_stop,-1.7971897017573069,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,SNOW,2024-06-28,2024-08-06,-14.331088418973547,26,trail,7.090977914117302,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2025-10-02,2025-10-30,11.941736142643045,20,max_hold,14.765962641289887,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,SNOW,2026-01-07,2026-02-04,-27.047831583052407,19,trail,-0.21367521367521292,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2026-02-26,2026-04-10,-25.89098544678905,30,trail,2.4658113854987285,v5,True,,
full5y,P-confirm5-v5profit50,SNOW,2026-04-14,2026-08-27,140.97731998297908,95,terminal,147.52751087958353,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2021-08-31,2021-09-29,6.17205366457938,20,max_hold,7.96180939432245,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TSLA,2021-11-22,2021-11-29,-5.46667862017215,4,hard_stop,-0.46974800923427207,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TSLA,2022-02-25,2022-04-12,23.03617645635514,32,profit_lock,41.5481363736643,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2022-12-05,2022-12-21,-26.593404828411117,12,trail,-3.6898254872679614,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2024-04-30,2024-07-12,25.85765548340815,50,signal,40.79581547816411,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2024-10-28,2024-12-19,67.02840620483397,37,signal,77.7259205005787,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2025-03-13,2025-04-09,-9.627677945506452,19,trail,16.124615716878353,v5,True,,
full5y,P-confirm5-v5profit50,TSLA,2025-09-08,2025-10-06,24.032518210346865,20,max_hold,29.556725828175658,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TSLA,2025-10-20,2025-11-14,-13.143988474466239,19,hard_stop,5.519634187828282,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,TSLA,2026-02-12,2026-06-08,-8.078611631424526,79,signal,3.478968544127814,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2022-02-16,2022-03-28,13.152301870995098,27,profit_lock,26.4869309015193,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2022-12-09,2022-12-13,1.0570427877807598,2,hard_stop,-4.1351318359375,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,MRNA,2023-01-17,2023-02-01,-7.208404859172424,11,hard_stop,4.8564356648717055,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,MRNA,2023-08-18,2023-10-17,-14.825943022421706,41,trail,10.122758325063375,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2023-11-03,2024-02-09,27.47760109112143,66,profit_lock,57.94227421730067,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2024-11-19,2025-01-10,9.730072383504629,34,profit_lock,22.200792440946238,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2025-01-14,2025-02-03,8.488237954206701,13,profit_lock,27.852053131839185,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2025-02-18,2025-04-01,-13.335461051097441,30,trail,8.804840891339527,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2025-04-29,2025-08-01,0.18163885879924901,65,profit_lock,26.233380580114552,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2025-11-13,2025-12-31,15.66261885283684,32,profit_lock,33.66526507104894,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2026-01-14,2026-01-28,14.243859919754055,9,profit_lock,30.556253535172083,v5,True,,
full5y,P-confirm5-v5profit50,MRNA,2026-02-20,2026-03-20,4.926125336961706,20,max_hold,17.57526325562686,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NVDA,2023-04-19,2023-04-26,-1.509372585492097,5,signal,2.0832560708771597,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NVDA,2024-02-26,2024-03-25,17.638151065641416,20,max_hold,18.310433828910398,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NVDA,2024-07-10,2024-07-17,-9.641569646689563,5,hard_stop,0.6565730738098408,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NVDA,2024-11-07,2024-11-26,-6.1242409326104035,13,hard_stop,1.7009396157837253,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,NVDA,2025-01-07,2025-02-04,-23.72333142580999,18,trail,-3.796640270125806,v5,True,,
full5y,P-confirm5-v5profit50,NVDA,2025-04-08,2026-03-31,60.55824726413286,245,trail,99.466402539966,v5,True,,
full5y,P-confirm5-v5profit50,NVDA,2026-04-08,2026-06-08,13.823473969559718,42,profit_lock,27.772358681080988,v5,True,,
full5y,P-confirm5-v5profit50,GOOGL,2022-02-02,2022-04-28,-23.185264576067965,59,trail,-2.148760330578514,v5,True,,
full5y,P-confirm5-v5profit50,GOOGL,2023-08-30,2023-09-28,-3.8578072719825496,20,max_hold,2.5448938756758466,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,GOOGL,2024-01-10,2024-02-08,3.218785572620142,20,max_hold,8.872336529670877,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,GOOGL,2024-02-09,2024-02-27,-6.092099016948216,11,hard_stop,1.581679465547059,additional,False,5.0,20.0
full5y,P-confirm5-v5profit50,GOOGL,2024-03-15,2024-08-05,8.904670526315805,97,profit_lock,34.1613983689693,v5,True,,
full5y,P-confirm5-v5profit50,GOOGL,2024-09-18,2025-02-24,13.615793055628345,107,profit_lock,29.100465466561865,v5,True,,
full5y,P-confirm5-v5profit50,GOOGL,2026-03-12,2026-06-02,19.241631641253278,56,signal,31.223513951531935,v5,True,,
