case,rule,symbols,start,end,cost,profit_keep,total,cagr,mdd,sharpe,calmar,trades,win,worst_trade,median_trade,exposure,profit_to_loss,entry_events,entry_win,entry_interference,b_events,b_win,b_interference,jf_events,jf_win,jf_interference,s_events,s_win,s_interference,buy_turns,buy_covered,sell_turns,sell_covered
unleveraged8,P-confirm5-v5profit50,"MSFT,NFLX,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,177.56058555179996,22.750941584933848,12.347492117195769,1.3829730365640496,1.8425556679035808,86,56.97674418604651,-27.047831583052407,6.392268583347094,0.36663346613545816,27,118,57.6271186440678,36.440677966101696,89,52.80898876404494,39.325842696629216,29,72.41379310344827,27.586206896551722,44,56.81818181818182,36.36363636363637,,,,
cost025,v5,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.0025,,152.75941622545943,20.465406672197673,15.229492335198358,1.2680867799226931,1.3438009765366954,82,52.4390243902439,-34.578755896442345,2.238994626563684,0.31976095617529876,32,104,60.57692307692307,38.46153846153847,60,55.00000000000001,43.333333333333336,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197,,,,
cost025,P-confirm5-v5profit50,"TQQQ,MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.0025,0.5,140.0756627877737,19.226472137032857,15.37422263795525,1.1958059185097978,1.2505654815722087,118,54.23728813559322,-34.57875589644236,5.985854625765108,0.34637450199203185,42,155,60.0,35.483870967741936,111,56.75675675675676,36.93693693693694,44,68.18181818181817,31.818181818181817,61,54.09836065573771,39.34426229508197,,,,
TEM_external,v5,TEM,2025-06-16,2026-08-27,0.001,,1.0350014424368448,0.862906586129708,44.48540505948504,0.22474568333615347,0.019397521163982787,4,50.0,-24.071694192505944,-3.130514874675122,0.39403973509933776,1,3,33.33333333333333,66.66666666666666,2,50.0,50.0,1,0.0,100.0,2,50.0,50.0,,,,
TEM_external,P-confirm5-v5profit50,TEM,2025-06-16,2026-08-27,0.001,0.5,1.0350014424368448,0.862906586129708,44.48540505948504,0.22474568333615347,0.019397521163982787,4,50.0,-24.071694192505944,-3.130514874675122,0.39403973509933776,1,4,25.0,75.0,3,33.33333333333333,66.66666666666666,1,0.0,100.0,2,50.0,50.0,,,,
without_TQQQ,v5,"MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,160.1979048199869,21.169043160695743,15.512805824672904,1.311999382626203,1.3646172974734636,72,54.166666666666664,-34.38185233852087,2.54671151694289,0.33404161133244803,26,93,58.06451612903226,40.86021505376344,55,52.72727272727272,45.45454545454545,38,65.78947368421053,34.21052631578947,52,57.692307692307686,36.53846153846153,,,,
without_TQQQ,P-confirm5-v5profit50,"MSFT,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,0.5,155.90553305172415,20.765003504970814,14.459682606853107,1.293805043689551,1.4360621923422665,101,56.43564356435643,-34.38185233852088,6.437643816955396,0.35794599380256753,32,136,56.61764705882353,38.23529411764706,98,53.06122448979592,39.795918367346935,38,65.78947368421053,34.21052631578947,52,57.692307692307686,36.53846153846153,,,,
only_TQQQ,v5,TQQQ,2021-08-27,2026-08-27,0.001,,94.2966287827349,14.267547380299739,41.142941765421284,0.5453329162225032,0.34677995223693375,10,50.0,-18.423402686815884,1.7713678125236774,0.19123505976095617,5,11,81.81818181818183,18.181818181818183,5,80.0,20.0,6,83.33333333333334,16.666666666666664,9,33.33333333333333,55.55555555555556,,,,
only_TQQQ,P-confirm5-v5profit50,TQQQ,2021-08-27,2026-08-27,0.001,0.5,52.83943458439093,8.89147625015223,46.834318987502556,0.41303987002608333,0.18984958983870065,17,47.05882352941176,-18.423402686815884,-1.594386733820241,0.24223107569721117,9,19,84.21052631578947,15.789473684210526,13,84.61538461538461,15.384615384615385,6,83.33333333333334,16.666666666666664,9,33.33333333333333,55.55555555555556,,,,
without_MSFT,v5,"TQQQ,NFLX,YINN,SNOW,TSLA,MRNA,NVDA,GOOGL,AAOI",2021-08-27,2026-08-27,0.001,,177.7161306488189,22.76475124363828,15.5303727752369,1.3170401106609722,1.4658213021091522,78,53.84615384615385,-34.38185233852087,2.54671151694289,0.29694555112881804,29,98,60.204081632653065,38.775510204081634,55,54.54545454545454,43.63636363636363,43,67.44186046511628,32.55813953488372,60,53.333333333333336,40.0,,,,
