scheme,signal,candidate,bin_low,bin_high,events,mean_probability,observed_win_rate
time,s,equal_ensemble,0.0,0.2,0,,
time,s,equal_ensemble,0.2,0.4,31,0.36468788002923996,0.6129032258064516
time,s,equal_ensemble,0.4,0.6,30,0.44807238071542427,0.4666666666666667
time,s,equal_ensemble,0.6,0.8,0,,
time,s,equal_ensemble,0.8,1.0,0,,
time_symbol,jf,cmf,0.0,0.2,0,,
time_symbol,jf,cmf,0.2,0.4,19,0.30546664476034585,0.5263157894736842
time_symbol,jf,cmf,0.4,0.6,25,0.49532831433607166,0.8
time_symbol,jf,cmf,0.6,0.8,0,,
time_symbol,jf,cmf,0.8,1.0,0,,
time_symbol,jf,mfi,0.0,0.2,1,0.19229675527656925,1.0
time_symbol,jf,mfi,0.2,0.4,19,0.3241569718624944,0.5263157894736842
time_symbol,jf,mfi,0.4,0.6,23,0.44174376196752774,0.782608695652174
time_symbol,jf,mfi,0.6,0.8,1,0.6233364816342983,1.0
time_symbol,jf,mfi,0.8,1.0,0,,
time_symbol,jf,obv,0.0,0.2,1,0.1971776751601254,0.0
time_symbol,jf,obv,0.2,0.4,27,0.33077728059021216,0.6666666666666666
time_symbol,jf,obv,0.4,0.6,16,0.47394195850092424,0.75
time_symbol,jf,obv,0.6,0.8,0,,
time_symbol,jf,obv,0.8,1.0,0,,
time_symbol,jf,dmi,0.0,0.2,5,0.18117854717167853,0.2
time_symbol,jf,dmi,0.2,0.4,18,0.3333687676963017,0.6666666666666666
time_symbol,jf,dmi,0.4,0.6,21,0.4574568977855026,0.8095238095238095
time_symbol,jf,dmi,0.6,0.8,0,,
time_symbol,jf,dmi,0.8,1.0,0,,
time_symbol,jf,volatility,0.0,0.2,3,0.15282476804823417,0.6666666666666666
time_symbol,jf,volatility,0.2,0.4,21,0.29651506628528734,0.6190476190476191
time_symbol,jf,volatility,0.4,0.6,20,0.5106482990294458,0.75
time_symbol,jf,volatility,0.6,0.8,0,,
time_symbol,jf,volatility,0.8,1.0,0,,
time_symbol,jf,equal_ensemble,0.0,0.2,0,,
time_symbol,jf,equal_ensemble,0.2,0.4,24,0.3233879442982753,0.5833333333333334
time_symbol,jf,equal_ensemble,0.4,0.6,20,0.4663786069232939,0.8
time_symbol,jf,equal_ensemble,0.6,0.8,0,,
time_symbol,jf,equal_ensemble,0.8,1.0,0,,
time_symbol,s,cmf,0.0,0.2,2,0.13651277613648055,0.5
time_symbol,s,cmf,0.2,0.4,20,0.35334265145707094,0.6
time_symbol,s,cmf,0.4,0.6,39,0.44045957483089115,0.5128205128205128
time_symbol,s,cmf,0.6,0.8,0,,
time_symbol,s,cmf,0.8,1.0,0,,
time_symbol,s,mfi,0.0,0.2,0,,
time_symbol,s,mfi,0.2,0.4,27,0.34131306979414544,0.5555555555555556
time_symbol,s,mfi,0.4,0.6,33,0.46481526696880604,0.5454545454545454
time_symbol,s,mfi,0.6,0.8,1,0.6775277129783746,0.0
time_symbol,s,mfi,0.8,1.0,0,,
time_symbol,s,obv,0.0,0.2,0,,
time_symbol,s,obv,0.2,0.4,26,0.35371394123505717,0.5384615384615384
time_symbol,s,obv,0.4,0.6,35,0.4434621563359629,0.5428571428571428
time_symbol,s,obv,0.6,0.8,0,,
time_symbol,s,obv,0.8,1.0,0,,
