symbol,signal,date,source_trusted,warmup_complete,mature,reference_open,reference_open_date,outcome_date,return20_pct,direction_net_pct,mfe20_pct,mae20_pct,win,gross_win,interference,cmf21,cmf_delta5,mfi14,mfi_delta5,obv_flow20,obv_delta5,adx14,di_balance,relative_natr,range_shock
MRNA,jf,2022-01-10,False,True,True,226.0,2022-01-11,2022-02-08,-32.16371789442755,-32.299322622356584,1.106194690265494,-38.86283266860827,False,False,True,0.08194475970535742,0.022062065540186887,-0.4946701143103516,-0.2290427859697421,-0.1443713017192042,0.1140949251617282,0.17610811010615302,-0.12658614764919937,0.05523390082212389,0.5363613331618147
YINN,s,2022-01-21,False,True,True,179.60000610351562,2022-01-24,2022-02-18,-9.46547852019657,9.265478520196568,8.240527444324552,-16.369715008989605,True,True,False,0.0053643805036381895,-0.07193272004220377,0.21443610160134952,0.0006167369675414841,0.10186471576132715,0.14095356714573576,0.18004726060426235,0.10813035896417517,0.06403287771669551,0.07960444990150031
AAOI,jf,2022-01-24,True,True,True,3.9700000286102295,2022-01-25,2022-02-22,-0.2518889267302482,-0.4512854007657108,14.861458688096075,-8.488668241270236,False,False,True,-0.34942842269989516,-0.043742989797464105,-0.6212043672583465,0.05972892200508101,-0.31596136234037775,-0.07072604873421198,0.49121763288608283,-0.7146200165607215,0.08502060374691728,0.5299403869474376
SNOW,jf,2022-01-24,True,True,True,275.2699890136719,2022-01-25,2022-02-22,-2.7209614317974196,-2.9154222298952592,19.697025968933414,-15.417585961580915,False,False,True,-0.12802423361558082,-0.08211660082127739,-0.650970979857125,-0.06782748094110602,-0.21882294900488533,-0.16888061631849446,0.3882612687970504,-0.6258095783239921,0.24398200026897834,0.6764806626069068
TQQQ,jf,2022-01-24,True,True,True,25.80071632125625,2022-01-25,2022-02-22,-9.732234632439473,-9.912679895409227,20.72020291059342,-12.816263763550573,False,False,True,0.006163263718117968,-0.1127529506223319,-0.6589025408329525,-0.12920167557550558,-0.15152764514560937,-0.06742153164774221,0.27046525550311107,-0.5926429603466573,0.5549227572061415,0.6858367691791669
MSFT,b,2022-01-31,False,True,True,310.4100036621094,2022-02-01,2022-03-01,-4.980506836985443,-5.170450803818305,1.517345252894975,-12.528595789319485,False,False,True,-0.14905910095525346,0.003779284405742156,-0.028487698981495127,0.30196193826636336,0.16593223190281609,0.20026282591847339,0.29838002919321105,-0.23042789326034516,0.4388865956700035,-0.5651554896997677
GOOGL,b,2022-02-01,False,True,True,151.25,2022-02-02,2022-03-02,-11.027105662448344,-11.204962478229108,0.1960287803460803,-17.38611646920195,False,False,True,-0.03379842991684845,0.17629033571883432,-0.13975698459743158,0.3276943185105521,-0.014742246074102705,0.2981115223203867,0.28279491881591434,-0.10158482236327473,0.2657905769354362,-0.14260234495227841
SNOW,b,2022-02-07,True,True,True,287.20001220703125,2022-02-08,2022-03-08,-33.28342880701989,-33.41679523283465,14.724922085608604,-36.371867087027155,False,False,True,-0.04879788023581903,0.017068613312936104,-0.33593315909727495,0.13330350543675945,-0.027257928473040947,0.19645740954783994,0.3913287133848062,-0.04779013233163594,0.1855209806257667,0.33521159793074823
SNOW,s,2022-02-11,True,True,True,294.05999755859375,2022-02-14,2022-03-14,-43.29388513078057,43.09388513078057,4.084203858170787,-44.10664423079118,True,True,False,-0.11174637261791083,-0.0915936058451057,-0.023851024707680038,0.28473862104616654,0.018249373440904815,0.11850862862316158,0.3117534680844788,0.0792028350432285,0.1705894380158677,0.45661837025671503
MRNA,jf,2022-02-15,False,True,True,147.6199951171875,2022-02-16,2022-03-16,14.727005969554362,14.497666684621224,15.025070226403137,-17.348593570015115,True,True,False,-0.1725108703082859,0.01502750216235671,0.010983379048044669,0.13244013477119104,-0.3743306105750888,0.17622123695759645,0.30227136023168283,-0.37853702954632273,0.008548225995322066,-0.04529857182730716
