window,scope,group_by,group,trades,symbols,wins,win_rate_pct,mean_return_pct,median_return_pct,worst_return_pct,median_overnight_log_pct,median_intraday_log_pct,negative_overnight_trades,negative_intraday_trades,exit_gap_worsened_trades,last_close_win_to_loss,median_exit_gap_impact_pp,worst_overnight_pct,worst_intraday_pct,reentries
training,all,symbol,MRNA,4,1,1,25.0,-5.341523820061918,-8.996874879923045,-22.72557501230831,-2.9597073680003425,-5.21753894724635,2,2,2,0,-0.4293000866563257,-3.8177084090291524,-8.813101247785593,3
training,all,symbol,MSFT,2,1,1,50.0,7.071823888481051,7.071823888481051,-21.59643001259398,8.040714359473313,-4.727066580247525,1,1,0,0,0.2572094443600683,-4.729608379278916,-3.8696123318702424,1
training,all,symbol,NFLX,3,1,3,100.0,33.416352293620236,26.615563913745355,8.481864091411184,11.700723445201703,15.125761271201025,1,0,0,0,0.0,-6.990306560309656,-4.132361397048512,2
training,all,symbol,SNOW,8,1,4,50.0,2.7601827593967165,2.909449490855148,-20.634647434082034,-6.696034680199731,1.3498374661669523,6,4,3,0,0.3353532684938991,-9.885611313136877,-9.293322731036735,7
training,all,symbol,TQQQ,8,1,4,50.0,9.333360938057972,1.6626295779051663,-18.423402686815884,4.242888690148771,-4.294028196911341,2,4,2,0,0.9707737266675665,-8.0309930171088,-11.486149334152774,7
training,all,symbol,TSLA,4,1,3,75.0,13.042173583118089,18.338520266777756,-26.593404828411128,12.691422984587835,3.716452085807121,1,2,2,0,-0.49691016065000326,-4.396922262441539,-11.955632199765464,3
training,all,symbol,YINN,12,1,5,41.66666666666667,-2.6920636657316876,-6.0080959448238715,-34.38185233852087,-6.513278192898117,-3.6571057900633996,8,7,4,0,0.5091044369188733,-26.89236735839884,-9.252577894792413,11
training,B,all,all,25,8,14,56.00000000000001,7.3765837959599425,8.481864091411184,-26.9742832525411,-1.3159447261116715,6.6217650710885385,14,10,7,0,0.0,-11.813641687825227,-8.458028881939272,21
training,B,exit_reason,signal,11,6,9,81.81818181818183,21.273316827835284,16.50919972702114,-7.5571202234804735,9.529281288634586,12.097902008822464,5,2,4,0,0.0,-8.09524172828311,-8.458028881939272,10
training,B,exit_reason,trail,10,7,1,10.0,-17.86208319423173,-21.115538723338005,-26.9742832525411,-11.740927353338847,-7.1763104498151815,9,8,3,0,0.7758722996638152,-11.813641687825227,-7.960198180149181,7
training,B,exit_reason,terminal,4,4,4,100.0,32.25723543378193,26.055249356107446,11.76681414720866,15.524093276473293,10.42949493624386,0,0,0,0,0.0,-6.990306560309656,-4.132361397048512,4
training,B,outcome,win,14,8,14,100.0,26.72701501492006,21.183427605214646,1.6724582841518787,10.615002366918144,13.804013262401549,4,0,3,0,0.0,-9.167245040919914,-8.458028881939272,13
training,B,outcome,nonpositive,11,7,0,0.0,-17.251237755443846,-20.634647434082034,-26.9742832525411,-4.119489025103946,-3.7758758578754046,10,10,4,0,0.5144188887201366,-11.813641687825227,-7.960198180149181,8
training,B,profit_to_loss,false,17,8,14,82.35294117647058,17.618068482585034,16.370420922658813,-26.593404828411128,3.3808322168777813,12.097902008822464,6,2,3,0,0.05109823740980701,-11.813641687825227,-8.458028881939272,15
training,B,profit_to_loss,true,8,5,0,0.0,-14.386571163118372,-15.706881102915027,-26.9742832525411,-7.852707321113062,-3.7628426048511185,8,8,4,0,-0.3202164509883971,-10.741206218291966,-7.150255001651374,6
training,B,symbol,AAOI,3,1,1,33.33333333333333,1.616829323596436,-1.91320485993266,-5.003121316486691,-1.1827056704902001,-0.41569866642280984,2,2,1,0,0.0,-5.046260421738991,-7.150255001651374,3
training,B,symbol,GOOGL,2,1,1,50.0,-3.407421826704576,-3.407421826704576,-23.185264576067965,2.2390472582640735,-7.647221966943542,0,1,0,0,0.6995900100531411,-6.696269900926821,-4.291601562500002,1
training,B,symbol,MRNA,0,0,0,,,,,,,0,0,0,0,,,,0
training,B,symbol,MSFT,2,1,1,50.0,7.071823888481051,7.071823888481051,-21.59643001259398,8.040714359473313,-4.727066580247525,1,1,0,0,0.2572094443600683,-4.729608379278916,-3.8696123318702424,1
training,B,symbol,NFLX,3,1,3,100.0,33.416352293620236,26.615563913745355,8.481864091411184,11.700723445201703,15.125761271201025,1,0,0,0,0.0,-6.990306560309656,-4.132361397048512,2
training,B,symbol,SNOW,4,1,2,50.0,-1.0030999809656493,0.056523891599147724,-20.634647434082034,-9.039996291017534,1.2894172989501733,3,2,2,0,-0.0864138537559791,-9.885611313136877,-6.991783984354905,3
training,B,symbol,TQQQ,3,1,2,66.66666666666666,7.862911872344431,12.172843726286352,-17.082673786856507,-2.1437596619317905,10.78770879695316,2,1,0,0,1.8904492159253259,-4.883143336015627,-6.614102231191565,3
