position,event_type,group_by,group,events,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,actual_entries,direct_entries,raw_b_jf_overlap,tradable_b_jf_overlap,suppressed_b_with_buy,pending_setup_rows,confirmed_setup_rows
all,tradable_jf,all,all,44,43,1,9,29,14,67.44186046511628,32.55813953488372,8.022805765761925,9.221515707847928,22.25233030058349,-13.098645437663537,40,40,3,0,0,3,0
all,tradable_jf,symbol,TQQQ,6,6,0,1,5,1,83.33333333333334,16.666666666666664,11.51471587816861,14.612835001374435,23.447482505388432,-12.737528418563505,6,6,0,0,0,0,0
all,tradable_jf,symbol,MSFT,1,1,0,1,1,0,100.0,0.0,3.0728492989445355,3.0728492989445355,7.5470172806291425,-4.662253272454475,1,1,0,0,0,0,0
all,tradable_jf,symbol,NFLX,2,2,0,1,2,0,100.0,0.0,12.658140157626551,12.658140157626551,17.828902647270674,-1.4332946423323,2,2,0,0,0,0,0
all,tradable_jf,symbol,YINN,9,9,0,1,4,5,44.44444444444444,55.55555555555556,-1.427311752893549,-5.646911947482868,19.59986645368689,-20.21799614990092,8,8,1,0,0,1,0
all,tradable_jf,symbol,SNOW,6,6,0,1,3,3,50.0,50.0,3.7977295157430717,4.257474814093131,16.400120913434314,-9.287477312752554,6,6,0,0,0,0,0
all,tradable_jf,symbol,TSLA,2,2,0,1,2,0,100.0,0.0,17.497485046108643,17.497485046108643,23.111760887753242,-10.113526671192545,2,2,0,0,0,0,0
all,tradable_jf,symbol,MRNA,8,8,0,1,6,2,75.0,25.0,5.586016896632611,6.61427105321285,19.513136786656354,-12.531332813615148,6,6,1,0,0,1,0
all,tradable_jf,symbol,NVDA,2,2,0,1,2,0,100.0,0.0,6.57578294368667,6.57578294368667,12.277974164521599,-9.83543425414367,1,1,0,0,0,0,0
all,tradable_jf,symbol,GOOGL,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
all,tradable_jf,symbol,AAOI,8,7,1,1,4,3,57.14285714285714,42.857142857142854,20.675425796212217,13.186806780807615,38.753771050857225,-14.493189595116375,8,8,1,0,0,1,0
all,tradable_jf,source_trusted,false,20,20,0,4,13,7,65.0,35.0,3.011572950560829,4.908823893480408,18.785435747580166,-14.487073520757425,17,17,2,0,0,2,0
all,tradable_jf,source_trusted,true,24,23,1,5,16,7,69.56521739130434,30.434782608695656,12.380399518110703,9.953848031850953,25.267021216238554,-11.891316669755799,23,23,1,0,0,1,0
flat,raw_b,all,all,100,97,3,10,45,47,46.391752577319586,48.45360824742268,5.104268708022367,-0.9276613276055556,19.388026182256304,-13.511328945611755,11,0,3,0,8,71,8
flat,raw_b,symbol,TQQQ,10,9,1,1,9,0,100.0,0.0,27.726473578592216,31.225990468872666,34.068441479223736,-5.287031463271308,0,0,0,0,0,5,0
flat,raw_b,symbol,MSFT,4,4,0,1,2,1,50.0,25.0,1.5336850033970313,2.3688229795753357,7.613081719241599,-3.885208478570085,1,0,0,0,1,3,1
flat,raw_b,symbol,NFLX,11,11,0,1,2,9,18.181818181818183,81.81818181818183,-8.129782642124574,-9.698877354000246,5.916530406027186,-14.28970970043198,0,0,0,0,0,10,0
flat,raw_b,symbol,YINN,19,19,0,1,10,9,52.63157894736842,47.368421052631575,4.008123015394615,1.8969876446937262,21.65910896801539,-18.512923629743373,4,0,1,0,3,12,3
flat,raw_b,symbol,SNOW,9,9,0,1,3,5,33.33333333333333,55.55555555555556,-1.6287364541224074,-3.4069658912657896,10.626752039371143,-11.290139630396299,1,0,0,0,1,8,1
flat,raw_b,symbol,TSLA,9,9,0,1,5,3,55.55555555555556,33.33333333333333,12.210789400340852,2.896061126968852,23.211168433861012,-12.521194000779637,1,0,0,0,1,7,1
flat,raw_b,symbol,MRNA,12,12,0,1,3,8,25.0,66.66666666666666,-5.245298480574301,-3.8081193572618357,8.067239355485588,-16.391005726991608,1,0,1,0,0,6,0
