case,rule,mode,symbol,entry_date,exit_date,exit_reason,lifetime_return_pct,entered_before_window
full5y,v5,reset_mark,YINN,2024-08-06,2024-10-09,signal,97.67171273084114,False
full5y,v5,reset_mark,YINN,2025-01-28,2025-02-25,signal,38.25064305242771,False
full5y,v5,reset_mark,YINN,2025-04-10,2025-10-13,signal,75.14225258742859,False
full5y,v5,reset_mark,YINN,2025-12-29,2026-02-27,trail,-10.97577608363296,False
full5y,v5,reset_mark,SNOW,2021-12-09,2022-01-06,trail,-20.634647434082034,False
full5y,v5,reset_mark,SNOW,2022-01-25,2022-02-14,signal,6.612483502114808,False
full5y,v5,reset_mark,SNOW,2022-03-17,2022-04-19,trail,-0.7935845204045111,False
full5y,v5,reset_mark,SNOW,2022-05-27,2022-08-10,signal,32.27609989487663,False
full5y,v5,reset_mark,SNOW,2022-11-11,2023-01-05,trail,-12.0011368775506,False
full5y,v5,reset_mark,SNOW,2023-01-13,2023-02-06,signal,14.444136202171842,False
full5y,v5,reset_mark,SNOW,2023-09-01,2024-01-05,signal,16.50919972702114,False
full5y,v5,reset_mark,SNOW,2024-06-28,2024-08-06,trail,-14.331088418973547,False
full5y,v5,reset_mark,SNOW,2026-01-07,2026-02-04,trail,-27.047831583052417,False
full5y,v5,reset_mark,SNOW,2026-02-26,2026-04-10,trail,-25.89098544678904,False
full5y,v5,reset_mark,TSLA,2022-02-25,2022-04-27,trail,10.819385050147368,False
full5y,v5,reset_mark,TSLA,2022-12-05,2022-12-21,trail,-26.593404828411128,False
full5y,v5,reset_mark,TSLA,2023-01-18,2023-02-13,signal,42.08505862732797,False
full5y,v5,reset_mark,TSLA,2024-04-30,2024-07-12,signal,25.85765548340815,False
full5y,v5,reset_mark,TSLA,2024-10-28,2024-12-19,signal,67.02840620483397,False
full5y,v5,reset_mark,TSLA,2025-03-13,2025-04-09,trail,-9.627677945506463,False
full5y,v5,reset_mark,TSLA,2026-02-12,2026-06-08,signal,-8.078611631424515,False
full5y,v5,reset_mark,MRNA,2022-01-11,2022-01-20,trail,-22.72557501230831,False
full5y,v5,reset_mark,MRNA,2022-02-16,2022-04-22,trail,-3.1678067374243724,False
full5y,v5,reset_mark,MRNA,2023-08-18,2023-10-17,trail,-14.825943022421717,False
full5y,v5,reset_mark,MRNA,2023-11-03,2024-02-12,trail,19.35322949190672,False
full5y,v5,reset_mark,MRNA,2024-11-19,2025-01-14,trail,-9.80913675287911,False
full5y,v5,reset_mark,MRNA,2025-02-18,2025-04-01,trail,-13.335461051097441,False
full5y,v5,reset_mark,MRNA,2025-04-29,2025-08-04,signal,1.7986428200841953,False
full5y,v5,reset_mark,MRNA,2025-11-13,2026-02-06,trail,57.40207017947048,False
full5y,v5,reset_mark,NVDA,2025-01-07,2025-02-04,trail,-23.72333142580999,False
full5y,v5,reset_mark,NVDA,2025-04-08,2026-03-31,trail,60.55824726413286,False
full5y,v5,reset_mark,NVDA,2026-04-08,2026-06-09,signal,14.06175833620351,False
full5y,v5,reset_mark,GOOGL,2022-02-02,2022-04-28,trail,-23.185264576067965,False
full5y,v5,reset_mark,GOOGL,2024-03-15,2024-09-09,trail,6.810615458117031,False
full5y,v5,reset_mark,GOOGL,2024-09-18,2025-03-12,trail,3.995375811745916,False
full5y,v5,reset_mark,GOOGL,2026-03-12,2026-06-02,signal,19.241631641253253,False
full5y,v5,reset_mark,AAOI,2022-01-25,2022-02-28,trail,-14.528879830647135,False
full5y,v5,reset_mark,AAOI,2023-01-13,2023-01-20,signal,-1.91320485993266,False
full5y,v5,reset_mark,AAOI,2023-03-29,2023-05-02,trail,-0.1998999999999973,False
full5y,v5,reset_mark,AAOI,2023-05-09,2023-06-22,signal,164.7240065994533,False
full5y,v5,reset_mark,AAOI,2024-04-17,2024-06-21,trail,-25.39859610915135,False
full5y,v5,reset_mark,AAOI,2024-07-11,2024-07-25,trail,-5.003121316486691,False
