case,rule,mode,date,return
full5y,v5,reset_liquidate,2022-12-08,0.012280911274506867
full5y,v5,reset_liquidate,2022-12-09,0.007538973256688486
full5y,v5,reset_liquidate,2022-12-12,-0.0033877600384950466
full5y,v5,reset_liquidate,2022-12-13,-0.00265535121290289
full5y,v5,reset_liquidate,2022-12-14,-0.0042784371280296775
full5y,v5,reset_liquidate,2022-12-15,-0.012462493881007198
full5y,v5,reset_liquidate,2022-12-16,-0.0047556210476764615
full5y,v5,reset_liquidate,2022-12-19,-0.004122331866284024
full5y,v5,reset_liquidate,2022-12-20,-0.005839803397241961
full5y,v5,reset_liquidate,2022-12-21,0.008329791240569739
full5y,v5,reset_liquidate,2022-12-22,-0.004418012092720946
full5y,v5,reset_liquidate,2022-12-23,-0.002276335637646576
full5y,v5,reset_liquidate,2022-12-27,-0.004185246486137129
full5y,v5,reset_liquidate,2022-12-28,-0.0020862693867820027
full5y,v5,reset_liquidate,2022-12-29,0.00800388467306683
full5y,v5,reset_liquidate,2022-12-30,0.002106281298778545
full5y,v5,reset_liquidate,2023-01-03,-0.005577483358000346
full5y,v5,reset_liquidate,2023-01-04,0.008494403313123945
full5y,v5,reset_liquidate,2023-01-05,-0.0013406552680141348
full5y,v5,reset_liquidate,2023-01-06,0.002716468584871112
full5y,v5,reset_liquidate,2023-01-09,6.014068960888963e-05
full5y,v5,reset_liquidate,2023-01-10,0.007251107740259344
full5y,v5,reset_liquidate,2023-01-11,0.0029116531278782
full5y,v5,reset_liquidate,2023-01-12,-0.0008834323748686979
full5y,v5,reset_liquidate,2023-01-13,0.012181590878803817
full5y,v5,reset_liquidate,2023-01-17,-0.004002127141895173
full5y,v5,reset_liquidate,2023-01-18,-0.019301829562553108
full5y,v5,reset_liquidate,2023-01-19,-0.008324783415304137
full5y,v5,reset_liquidate,2023-01-20,0.035753689644188555
full5y,v5,reset_liquidate,2023-01-23,0.02548484635261623
full5y,v5,reset_liquidate,2023-01-24,-0.0019365851461989215
full5y,v5,reset_liquidate,2023-01-25,0.0005019778338304692
full5y,v5,reset_liquidate,2023-01-26,0.02523827275376451
full5y,v5,reset_liquidate,2023-01-27,0.01679564472995314
full5y,v5,reset_liquidate,2023-01-30,-0.029563929886600292
full5y,v5,reset_liquidate,2023-01-31,0.004755081635441349
full5y,v5,reset_liquidate,2023-02-01,0.019059140037159604
full5y,v5,reset_liquidate,2023-02-02,0.00704425746652475
full5y,v5,reset_liquidate,2023-02-03,-0.015254269701252354
full5y,v5,reset_liquidate,2023-02-06,-0.005571069906128679
full5y,v5,reset_liquidate,2023-02-07,0.003940865580137287
full5y,v5,reset_liquidate,2023-02-08,0.0033453241258849962
full5y,v5,reset_liquidate,2023-02-09,0.0018153052851291763
full5y,v5,reset_liquidate,2023-02-10,-0.009207425357664601
full5y,v5,reset_liquidate,2023-02-13,0.0018739410764965659
full5y,v5,reset_liquidate,2023-02-14,0.0003876507934245099
full5y,v5,reset_liquidate,2023-02-15,0.00040560038617505346
full5y,v5,reset_liquidate,2023-02-16,-0.0029633091587358273
full5y,v5,reset_liquidate,2023-02-17,-0.0007841171277746861
full5y,v5,reset_liquidate,2023-02-21,-0.0030060966525144784
full5y,v5,reset_liquidate,2023-02-22,-0.00010000000000001119
full5y,v5,reset_liquidate,2023-02-23,0.0
full5y,v5,reset_liquidate,2023-02-24,0.0
full5y,v5,reset_liquidate,2023-02-27,0.0
full5y,v5,reset_liquidate,2023-02-28,0.0
full5y,v5,reset_liquidate,2023-03-01,0.0
full5y,v5,reset_liquidate,2023-03-02,0.0
full5y,v5,reset_liquidate,2023-03-03,0.0
full5y,v5,reset_liquidate,2023-03-06,0.0
