case,rule,mode,symbol,total,cagr,mdd,sharpe,calmar,exposure
year2021,P-confirm5-v5profit50,reset_mark,MSFT,-26.559868972042132,-26.559868972042132,27.24527434368299,-1.2562849120493964,-0.9748431466317837,0.4007936507936508
year2021,P-confirm5-v5profit50,reset_mark,NFLX,4.808436559184814,4.808436559184814,5.498186743120714,0.570025687336556,0.8745495167476969,0.0992063492063492
year2021,P-confirm5-v5profit50,reset_mark,YINN,0.2159095278242651,0.2159095278242651,33.58379470307285,0.22663277802706372,0.00642897950434737,0.24603174603174602
year2021,P-confirm5-v5profit50,reset_mark,SNOW,1.1974139686188323,1.1974139686188323,29.67843587237774,0.2421240519902818,0.04034626264564324,0.3412698412698413
year2021,P-confirm5-v5profit50,reset_mark,TSLA,23.488911083142728,23.488911083142728,14.799427624586892,1.0040968030009056,1.5871499681595553,0.2222222222222222
year2021,P-confirm5-v5profit50,reset_mark,MRNA,-12.562209368851374,-12.562209368851374,33.868365313698554,-0.2377387857544738,-0.37091277516634097,0.13095238095238096
year2021,P-confirm5-v5profit50,reset_mark,NVDA,0.0,0.0,0.0,,,0.0
year2021,P-confirm5-v5profit50,reset_mark,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,P-confirm5-v5profit50,reset_mark,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2021,P-confirm5-v5profit50,carry_mark,TQQQ,-20.687454802215967,-20.687454802215967,41.142941765421284,-0.4199556284472242,-0.5028190478008746,0.15476190476190477
year2021,P-confirm5-v5profit50,carry_mark,MSFT,-26.559868972042132,-26.559868972042132,27.24527434368299,-1.2562849120493964,-0.9748431466317837,0.4007936507936508
year2021,P-confirm5-v5profit50,carry_mark,NFLX,4.808436559184814,4.808436559184814,5.498186743120714,0.570025687336556,0.8745495167476969,0.0992063492063492
year2021,P-confirm5-v5profit50,carry_mark,YINN,0.2159095278242651,0.2159095278242651,33.58379470307285,0.22663277802706372,0.00642897950434737,0.24603174603174602
year2021,P-confirm5-v5profit50,carry_mark,SNOW,1.1974139686188323,1.1974139686188323,29.67843587237774,0.2421240519902818,0.04034626264564324,0.3412698412698413
year2021,P-confirm5-v5profit50,carry_mark,TSLA,23.488911083142728,23.488911083142728,14.799427624586892,1.0040968030009056,1.5871499681595553,0.2222222222222222
year2021,P-confirm5-v5profit50,carry_mark,MRNA,-12.562209368851374,-12.562209368851374,33.868365313698554,-0.2377387857544738,-0.37091277516634097,0.13095238095238096
year2021,P-confirm5-v5profit50,carry_mark,NVDA,0.0,0.0,0.0,,,0.0
year2021,P-confirm5-v5profit50,carry_mark,GOOGL,-23.185264576068032,-23.185264576068032,24.508953549724055,-1.4744555823957037,-0.9459916160447035,0.23412698412698413
year2021,P-confirm5-v5profit50,carry_mark,AAOI,-14.528879830647135,-14.528879830647135,22.27459532673385,-0.4558710899810254,-0.6522623471955807,0.09126984126984126
year2022,v5,reset_liquidate,TQQQ,2.2482565124952503,2.266444869993167,23.94679084632988,0.22549974055011557,0.09464503550965477,0.108
year2022,v5,reset_liquidate,MSFT,6.027552906191702,6.077209860539656,11.964166017531063,0.5149673175802288,0.5079509805894314,0.332
year2022,v5,reset_liquidate,NFLX,37.35492396348303,37.704136641974515,13.585720143306235,1.249249303914324,2.7752769999867524,0.556
year2022,v5,reset_liquidate,YINN,4.112739308890689,4.146314131638484,41.211374335300334,0.38706146703431266,0.10061091624617055,0.22
year2022,v5,reset_liquidate,SNOW,0.7095387682187315,0.7152353298196079,23.3711413573513,0.17167135214027546,0.030603354747783144,0.204
year2022,v5,reset_liquidate,TSLA,4.299803785877376,4.33493728739951,31.709273405746043,0.29018856587512576,0.13670881801454254,0.12
year2022,v5,reset_liquidate,MRNA,5.482767351299778,5.527820145985074,4.137505872436364,0.5207091212505441,1.3360271420545502,0.024
year2022,v5,reset_liquidate,NVDA,0.0,0.0,0.0,,,0.0
year2022,v5,reset_liquidate,GOOGL,0.0,0.0,0.0,,,0.0
year2022,v5,reset_liquidate,AAOI,159.1402351109985,161.12179784832023,26.82796515540703,2.07200645505087,6.005740536599997,0.228
year2022,v5,reset_mark,TQQQ,2.2482565124952503,2.266444869993167,23.94679084632988,0.22549974055011557,0.09464503550965477,0.108
year2022,v5,reset_mark,MSFT,6.133686592784482,6.184243149357682,11.964166017531063,0.5224554782563899,0.5168971360223459,0.332
