rule,symbol,entry_date,exit_date,return_pct,hold_days,exit_reason,peak_close_pct,entry_origin,entry_stop_pct,entry_limit,use_extra_exit
P-stop5,SNOW,2024-06-28,2024-08-06,-14.33108841897356,26,trail,7.090977914117302,v5,,,False
P-stop5,TSLA,2021-11-18,2021-12-06,-9.673491959981394,11,hard_stop,4.54746242432762,additional,5.0,,False
P-stop5,TSLA,2021-12-27,2022-01-20,-6.143275960754957,17,hard_stop,11.745689985964415,additional,5.0,,False
P-stop5,TSLA,2022-02-25,2022-04-27,10.819385050147368,42,trail,41.5481363736643,v5,,,False
P-stop5,TSLA,2022-09-12,2022-09-26,-9.787643878730169,10,hard_stop,2.776671345311499,additional,5.0,,False
P-stop5,TSLA,2022-12-05,2022-12-21,-26.593404828411128,12,trail,-3.6898254872679614,v5,,,False
P-stop5,TSLA,2023-01-18,2023-02-13,42.08505862732797,18,signal,51.81605962995424,v5,,,False
P-stop5,TSLA,2023-08-30,2023-09-28,-5.7670310150738535,20,hard_stop,8.591664775325135,additional,5.0,,False
P-stop5,TSLA,2024-04-30,2024-07-12,25.85765548340817,50,signal,40.79581547816411,v5,,,False
P-stop5,TSLA,2024-08-19,2024-08-26,-1.9745737638321548,6,terminal,2.8562199931111643,additional,5.0,,False
P-stop5,MRNA,2022-01-11,2022-01-20,-22.72557501230831,6,trail,-1.3761064647573318,v5,,,False
P-stop5,MRNA,2022-02-16,2022-04-22,-3.1678067374243724,45,trail,26.4869309015193,v5,,,False
P-stop5,MRNA,2022-12-08,2022-12-13,4.3744608384343575,3,hard_stop,3.1152311205703276,additional,5.0,,False
P-stop5,MRNA,2023-01-11,2023-02-01,-7.540560596907763,14,hard_stop,4.481092761328509,additional,5.0,,False
P-stop5,MRNA,2023-08-18,2023-10-17,-14.825943022421729,41,trail,10.122758325063375,v5,,,False
P-stop5,MRNA,2023-11-03,2024-02-12,19.3532294919067,67,trail,57.94227421730067,v5,,,False
P-stop5,MRNA,2024-04-24,2024-05-29,34.804273647996474,24,signal,50.03151376114645,additional,5.0,,False
P-stop5,MRNA,2024-07-17,2024-08-02,-26.098320896007664,12,hard_stop,0.7594197025143412,additional,5.0,,False
P-stop5,NVDA,2021-09-24,2021-09-29,-5.309711466480027,3,hard_stop,0.049839962471831534,additional,5.0,,False
P-stop5,NVDA,2021-12-08,2021-12-13,-5.657871826687866,3,hard_stop,-0.5406429348527086,additional,5.0,,False
P-stop5,NVDA,2023-02-24,2023-04-26,16.04993830784558,42,signal,20.429500118030553,additional,5.0,,False
P-stop5,NVDA,2023-07-03,2023-08-11,-1.9979115702341121,28,signal,11.705936447128362,additional,5.0,,False
P-stop5,NVDA,2023-08-22,2023-08-23,-4.90428131107008,1,hard_stop,-5.125167009409582,additional,5.0,,False
P-stop5,NVDA,2023-10-03,2023-10-19,-4.647764238482022,12,hard_stop,4.769243445455862,additional,5.0,,False
P-stop5,NVDA,2023-12-14,2024-07-18,151.3372858398537,147,signal,180.21801847649374,additional,5.0,,False
P-stop5,NVDA,2024-08-14,2024-08-26,6.477018605816043,9,terminal,9.676882347183845,additional,5.0,,False
P-stop5,GOOGL,2021-10-08,2022-01-24,-9.923432550459054,73,hard_stop,7.35185985662683,additional,5.0,,False
P-stop5,GOOGL,2022-02-02,2022-04-28,-23.185264576067954,59,trail,-2.148760330578514,v5,,,False
P-stop5,GOOGL,2023-04-28,2024-08-26,54.921383031054894,334,terminal,78.60612017992653,additional,5.0,,False
P-stop5,AAOI,2022-01-25,2022-02-28,-14.528879830647135,23,trail,10.075563074715642,v5,,,False
P-stop5,AAOI,2022-10-19,2022-10-24,-6.671580641152309,3,hard_stop,-3.412974087806875,additional,5.0,,False
P-stop5,AAOI,2023-01-13,2023-01-20,-1.9132048599326823,4,signal,4.721035927736872,v5,,,False
P-stop5,AAOI,2023-03-01,2023-03-16,-12.8100175894728,11,hard_stop,1.805052442619881,additional,5.0,,False
P-stop5,AAOI,2023-03-29,2023-05-02,-0.1998999999999973,23,trail,26.37362011157598,v5,,,False
P-stop5,AAOI,2023-05-09,2023-06-22,164.7240065994533,30,signal,193.78530312430712,v5,,,False
P-stop5,AAOI,2023-08-07,2023-09-08,13.05269057758549,23,trail,39.83739809382292,additional,5.0,,False
P-stop5,AAOI,2023-09-29,2023-10-04,-8.516571484308733,3,hard_stop,-0.08864605890275268,additional,5.0,,False
P-stop5,AAOI,2024-01-10,2024-01-12,-18.652992619431963,2,hard_stop,-2.3508157234848115,additional,5.0,,False
P-stop5,AAOI,2024-04-17,2024-06-21,-25.398596109151338,45,trail,4.1528239334234,v5,,,False
P-stop5,AAOI,2024-07-11,2024-07-25,-5.003121316486658,10,trail,27.16577388474675,v5,,,False
P-stop5,AAOI,2024-08-20,2024-08-26,11.76681414720866,5,terminal,13.03841519981419,v5,,,False
P-stop5-hold10,TQQQ,2021-11-30,2021-12-02,-9.763493985953986,2,hard_stop,-3.64803597937724,additional,5.0,10.0,False
P-stop5-hold10,TQQQ,2022-01-25,2022-02-22,-9.617795338217539,19,trail,19.113549955302723,v5,,,False
P-stop5-hold10,TQQQ,2022-02-25,2022-03-15,-18.42340268681587,12,trail,4.920004571506165,v5,,,False
P-stop5-hold10,TQQQ,2022-06-16,2022-08-18,61.74645842324882,43,signal,69.16050991105432,v5,,,False
P-stop5-hold10,TQQQ,2022-10-14,2022-11-04,-8.84758457047603,15,trail,13.60199577168546,v5,,,False
P-stop5-hold10,TQQQ,2023-01-12,2023-01-31,12.172843726286352,12,signal,19.51845176686615,v5,,,False
P-stop5-hold10,TQQQ,2023-04-28,2023-05-12,5.360596405116924,10,max_hold,5.028961720185965,additional,5.0,10.0,False
