window,symbol,trade_id,entry_date,entry_signal_date,entry_open,entry_b,entry_jf,setup_date,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,exit_date,exit_signal_date,exit_reason,exit_price,return_pct,hold_bars,peak_close,peak_close_date,peak_close_gain_pct,exit_gross_pct,giveback_pp,peak_to_exit_drawdown_pct,profit_to_loss,S_BLOWOFF,S_BEAR_RALLY,S_CROSS,S_DELAY,exit_raw_s,exit_s_suppressed,raw_s_count,emitted_s_count,suppressed_s_count,entry_kind,last_held_close_date,worst_overnight_date,worst_intraday_date,previous_trade_id,previous_exit_date,previous_exit_reason,previous_entry_kind,entry_gap_pct,overnight_factor,intraday_factor,cost_factor,overnight_log_pct,intraday_log_pct,cost_log_pct,reconstructed_return_pct,last_held_close,last_close_net_pct,exit_overnight_pct,exit_gap_impact_pp,trail_reference,worst_overnight_pct,worst_intraday_pct,pair_return_pct,chain_return_pct,close_below_trail,flat_bars
training,YINN,YINN:2023-01-04,2023-01-04,2023-01-03,56.5,True,False,2022-12-29,False,False,True,False,2023-02-07,2023-02-06,trail,57.560001373291016,1.6724582841518787,23,73.0,2023-01-26,29.20353982300885,1.8761086252938375,27.32743119771501,21.15068305028628,False,False,False,False,False,True,True,3,0,3,B,2023-02-06,2023-01-30,2023-01-18,YINN:2022-11-08,2022-12-08,signal,B,10.762599214102032,0.8795540373954687,1.1582700356531692,0.998001,-12.83402756510509,14.69275433762488,-0.20010006671670688,1.6724582841518787,56.11000061035156,-0.8887845679088957,2.5842109199192276,2.5612428520607744,58.400000000000006,-9.167245040919914,-6.1881557091526656,71.63523172713748,-19.451061090459064,True,17
training,YINN,YINN:2023-06-14,2023-06-14,2023-06-13,38.65999984741211,True,False,2023-06-06,False,False,True,False,2023-06-21,2023-06-20,signal,35.810001373291016,-7.5571202234804735,4,42.779998779296875,2023-06-15,10.657007108499927,-7.371956765053822,18.02896387355375,16.292654522886394,True,False,True,False,False,True,False,1,1,0,B,2023-06-20,2023-06-20,2023-06-20,YINN:2023-01-04,2023-02-07,trail,B,-0.10336153679265658,0.9596420868347401,0.9652353153920981,0.998001,-4.119489025103946,-3.5383357222513947,-0.20010006671670688,-7.557120223480506,36.650001525878906,-5.38867481325892,-2.291951207682108,-2.168445410221554,34.2239990234375,-8.09524172828311,-5.051805765094885,-6.0110516225495125,-25.53824124259092,False,88
training,YINN,YINN:2023-10-12,2023-10-12,2023-10-11,31.0,True,False,2023-10-10,False,False,True,False,2023-11-30,2023-11-29,trail,23.329999923706055,-24.892376600456224,34,30.049999237060547,2023-11-15,-3.064518590127263,-24.74193572998047,21.677417139853205,22.362727068115007,False,False,False,False,False,False,False,0,0,0,B,2023-11-29,2023-11-16,2023-10-12,YINN:2023-06-14,2023-06-21,signal,B,1.0430237667573783,0.7043606462200689,1.0684592427741353,0.998001,-35.046477243290056,6.6217650710885385,-0.20010006671670688,-24.892376600456224,23.100000381469727,-25.632827481589782,0.9956689975677557,0.7404508811335582,24.03999938964844,-11.813641687825227,-6.258066238895543,-30.568349997758702,-44.07354265580838,True,79
training,YINN,YINN:2024-01-02,2024-01-02,2023-12-29,19.420000076293945,True,False,2023-12-28,False,False,False,True,2024-01-17,2024-01-16,trail,14.210000038146973,-26.9742832525411,10,19.969999313354492,2024-01-03,2.832127883109181,-26.82801244942752,29.6601403325367,28.843262259681946,True,False,False,False,False,False,False,0,0,0,B,2024-01-16,2024-01-17,2024-01-16,YINN:2023-10-12,2023-11-30,trail,B,-7.258836766940313,0.7598769524965515,0.9629452151452711,0.998001,-27.45987634195271,-3.7758758578754046,-0.20010006671670688,-26.97428325254112,15.920000076293944,-18.186529692468035,-10.741206218291966,-8.787753560073064,15.975999450683595,-10.741206218291966,-3.631963467578203,-45.152119680501,-59.1593036729422,True,21
training,YINN,YINN:2024-08-06,2024-08-06,2024-08-05,18.6299991607666,False,True,,False,False,False,False,2024-08-26,,terminal,22.209999084472656,18.97800480303782,15,23.190000534057617,2024-08-19,24.476659037613068,19.216318223165942,5.260340814447126,4.225965618869642,False,False,False,False,False,,,0,0,0,JF,2024-08-26,2024-08-26,2024-08-07,YINN:2024-01-02,2024-01-17,trail,B,-4.94898572359308,1.1491415041622592,1.037438103065265,0.998001,13.901514547197936,3.67543116468758,-0.20010006671670688,18.978004803037862,22.209999084472656,18.97800480303784,,0.0,18.552000427246096,-3.1961450847609485,-4.099998474121092,-13.115459220755554,-51.40855436239909,False,139
training,SNOW,SNOW:2021-12-09,2021-12-09,2021-12-08,370.0,True,False,2021-12-02,True,False,False,False,2022-01-06,2022-01-05,trail,294.239990234375,-20.634647434082034,19,371.239990234375,2021-12-10,0.3351324957770352,-20.475678315033786,20.81081081081082,20.7412999745495,True,False,False,False,False,False,False,0,0,0,B,2022-01-05,2021-12-16,2021-12-16,,,,,-0.07561812148102476,0.8839632164560798,0.8996338332242965,0.998001,-12.333982755402914,-10.57674504175496,-0.20010006671670688,-20.634647434082087,296.8699951171875,-19.92525621704101,-0.8859113167615118,-0.7093912170410235,296.9919921875,-3.0332443766614814,-6.991783984354905,,-20.634647434082034,True,
training,SNOW,SNOW:2022-01-25,2022-01-25,2022-01-24,275.2699890136719,False,True,,False,False,False,False,2022-02-14,2022-02-11,signal,294.05999755859375,6.612483502114808,14,311.1099853515625,2022-02-10,13.019943244198174,6.826028733553158,6.193914510645016,5.480373049968746,False,False,True,False,False,True,False,1,1,0,JF,2022-02-11,2022-02-03,2022-01-26,SNOW:2021-12-09,2022-01-06,trail,B,-0.8036075626407624,1.1309846127249712,0.9445400718243967,0.998001,12.308859202372538,-5.705716644568957,-0.20010006671670688,6.612483502114808,293.69000244140625,6.478340474656075,0.12598151592215778,0.13414302745873297,248.88798828125002,-5.248248805397426,-7.119263815223631,-15.38662658926545,-15.38662658926545,False,12
training,SNOW,SNOW:2022-03-17,2022-03-17,2022-03-16,195.0,False,True,,False,False,False,False,2022-04-19,2022-04-18,trail,193.83999633789065,-0.7935845204045111,22,241.22999572753903,2022-04-04,23.707690116686674,-0.5948736728765835,24.30256378956326,19.64515202461544,True,False,False,False,False,False,False,0,0,0,JF,2022-04-18,2022-04-06,2022-04-14,SNOW:2022-01-25,2022-02-14,signal,JF,-1.435501612646728,0.9478926469595041,1.0486960379530215,0.998001,-5.3514024743328354,4.754752379541799,-0.20010006671670688,-0.7935845204045,192.38999938964844,-1.535686266221259,0.7536758422175271,0.7421017458167478,192.98399658203124,-2.5716660496137522,-7.605354530496944,5.766423336223214,-16.05810522284511,True,22
training,SNOW,SNOW:2022-05-27,2022-05-27,2022-05-26,127.9000015258789,False,True,,False,False,False,False,2022-08-10,2022-08-09,signal,169.52000427246094,32.27609989487663,50,170.85000610351562,2022-08-08,33.58092577422396,32.541049452732615,1.0398763214913416,0.778461681908782,False,False,True,False,False,True,False,1,1,0,JF,2022-08-09,2022-06-13,2022-07-22,SNOW:2022-03-17,2022-04-19,trail,JF,0.8675066621820937,0.9304564017187222,1.4244735079247672,0.998001,-7.208005867919912,35.380227732748025,-0.20010006671670688,32.27609989487645,160.5500030517578,25.276826961755038,5.587045188539408,6.999272933121592,136.6800048828125,-6.477700068441461,-9.293322731036735,31.226377241916083,11.035064589081633,False,28
training,SNOW,SNOW:2022-11-11,2022-11-11,2022-11-10,146.63999938964844,False,True,,False,False,False,False,2023-01-05,2023-01-04,trail,129.3000030517578,-12.0011368775506,36,163.49000549316406,2022-11-15,11.490729796542198,-11.824874802280371,23.315604598822567,20.912594833104848,True,False,False,False,False,False,False,0,0,0,JF,2023-01-04,2022-12-15,2022-12-05,SNOW:2022-05-27,2022-08-10,signal,JF,0.8666903731717301,0.9000594020868464,0.9796589535455094,0.998001,-10.529451551716525,-2.055077447207894,-0.20010006671670688,-12.001136877550556,130.44000244140625,-11.225277265163813,-0.8739645571231303,-0.7758596123867871,130.79200439453126,-3.237266709013553,-8.345716449043138,16.40146409020693,-2.2904054943307717,True,66
