window,symbol,setup_i,setup_date,setup_high,setup_regime,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,status,resolution_i,resolution_date,resolution_regime,wait_bars
full,MSFT,1988,2024-08-13,414.9500122070313,bull,False,True,False,False,confirmed,1990,2024-08-15,bull,2
full,MSFT,2139,2025-03-21,391.739990234375,bear,False,False,True,False,confirmed,2140,2025-03-24,bear,1
full,MSFT,2404,2026-04-13,384.5400085449219,bear,False,False,True,False,confirmed,2405,2026-04-14,bear,1
full,MSFT,2460,2026-07-02,392.2000122070313,bear,False,False,True,False,expired,2465,2026-07-10,bear,5
full,NFLX,1326,2021-12-22,61.48199844360352,bull,False,True,False,False,expired,1331,2021-12-30,bull,5
full,NFLX,1352,2022-01-31,42.77000045776367,bear,False,False,False,True,expired,1357,2022-02-07,bear,5
full,NFLX,1424,2022-05-13,18.777000427246097,bear,False,False,False,True,expired,1429,2022-05-20,bear,5
full,NFLX,1562,2022-11-30,30.826000213623047,bull,True,False,False,False,confirmed,1563,2022-12-01,bull,1
full,NFLX,1639,2023-03-23,32.27799987792969,bull,True,False,False,False,confirmed,1640,2023-03-24,bull,1
full,NFLX,1744,2023-08-23,43.70199966430664,bull,False,True,False,False,expired,1749,2023-08-30,bull,5
full,NFLX,1784,2023-10-19,40.89500045776367,bull,True,False,False,False,confirmed,1787,2023-10-24,bull,3
full,NFLX,1919,2024-05-03,58.0260009765625,bull,False,True,False,False,confirmed,1920,2024-05-06,bull,1
full,NFLX,1986,2024-08-09,63.6619987487793,bull,False,True,False,False,confirmed,1988,2024-08-13,bull,2
full,NFLX,2035,2024-10-18,76.62799835205078,bull,True,False,False,False,confirmed,2036,2024-10-21,bull,1
full,NFLX,2135,2025-03-17,96.76300048828124,bull,False,True,False,False,confirmed,2140,2025-03-24,bull,5
full,NFLX,2235,2025-08-08,121.41100311279295,bull,False,True,False,False,confirmed,2236,2025-08-11,bull,1
full,NFLX,2460,2026-07-02,78.44000244140625,bear,False,False,True,True,expired,2465,2026-07-10,bear,5
full,YINN,1273,2021-10-07,215.3999938964844,bear,False,False,False,True,confirmed,1274,2021-10-08,bear,1
full,YINN,1331,2021-12-30,174.60000610351562,bear,False,False,False,True,expired,1336,2022-01-06,bear,5
full,YINN,1383,2022-03-16,102.5999984741211,bear,False,False,False,True,expired,1388,2022-03-23,bear,5
full,YINN,1416,2022-05-03,86.5999984741211,bear,False,False,True,False,expired,1421,2022-05-10,bear,5
full,YINN,1495,2022-08-25,72.22000122070312,bear,False,False,True,False,expired,1500,2022-09-01,bear,5
full,YINN,1522,2022-10-04,47.40999984741211,bear,False,False,False,True,expired,1527,2022-10-11,bear,5
full,YINN,1545,2022-11-04,28.809999465942383,bear,False,False,True,True,confirmed,1546,2022-11-07,bear,1
full,YINN,1582,2022-12-29,49.900001525878906,bear,False,False,True,False,confirmed,1584,2023-01-03,bear,2
full,YINN,1690,2023-06-06,38.08000183105469,bear,False,False,True,False,confirmed,1695,2023-06-13,bear,5
full,YINN,1777,2023-10-10,29.959999084472656,bear,False,False,True,False,confirmed,1778,2023-10-11,bear,1
full,YINN,1832,2023-12-28,20.86000061035156,bear,False,False,False,True,confirmed,1833,2023-12-29,bear,1
full,YINN,1988,2024-08-13,21.31999969482422,bear,False,False,True,False,confirmed,1991,2024-08-16,bull,3
full,YINN,2100,2025-01-24,29.8799991607666,bull,False,True,False,False,confirmed,2101,2025-01-27,bull,1
full,YINN,2155,2025-04-14,32.2599983215332,bull,False,False,False,True,expired,2160,2025-04-22,bull,5
full,YINN,2328,2025-12-19,44.34000015258789,bull,False,True,False,False,confirmed,2332,2025-12-26,bull,4
full,YINN,2385,2026-03-16,36.61000061035156,bear,False,False,False,True,expired,2390,2026-03-23,bear,5
full,SNOW,306,2021-12-02,361.5989990234375,bull,True,False,False,False,confirmed,310,2021-12-08,bull,4
full,SNOW,347,2022-02-01,286.8500061035156,bear,False,False,True,False,confirmed,351,2022-02-07,bull,4
full,SNOW,378,2022-03-17,210.7599945068359,bear,False,False,False,True,confirmed,381,2022-03-22,bear,3
full,SNOW,431,2022-06-02,140.6999969482422,bear,False,False,False,True,expired,436,2022-06-09,bear,5
full,SNOW,544,2022-11-11,162.3699951171875,bear,False,False,True,False,confirmed,546,2022-11-15,bear,2
full,SNOW,564,2022-12-12,151.39999389648438,bear,False,False,True,False,expired,569,2022-12-19,bear,5
full,SNOW,584,2023-01-11,141.06500244140625,bear,False,False,True,False,confirmed,585,2023-01-12,bear,1
full,SNOW,743,2023-08-30,156.74000549316406,bull,False,True,False,False,confirmed,744,2023-08-31,bull,1
full,SNOW,949,2024-06-26,130.82000732421875,bear,False,False,False,True,confirmed,950,2024-06-27,bear,1
full,SNOW,1117,2025-02-27,187.9499969482422,bull,True,False,False,False,expired,1122,2025-03-06,bull,5
full,SNOW,1146,2025-04-09,151.9499969482422,bull,False,True,False,False,expired,1151,2025-04-16,bull,5
full,SNOW,1331,2026-01-05,227.3999938964844,bull,False,True,False,False,confirmed,1332,2026-01-06,bull,1
full,SNOW,1356,2026-02-10,186.5800018310547,bear,False,False,False,True,expired,1361,2026-02-18,bear,5
full,SNOW,1400,2026-04-15,144.72999572753906,bear,False,False,False,True,confirmed,1403,2026-04-20,bear,3
full,SNOW,1450,2026-06-26,250.0,bull,True,False,False,False,confirmed,1451,2026-06-29,bull,1
full,TSLA,1559,2022-11-30,194.7599945068359,bear,False,False,True,False,confirmed,1561,2022-12-02,bear,2
full,TSLA,1585,2023-01-09,123.5199966430664,bear,False,False,False,True,confirmed,1590,2023-01-17,bear,5
full,TSLA,1739,2023-08-21,232.1300048828125,bull,True,False,False,False,expired,1744,2023-08-28,bull,5
full,TSLA,1890,2024-03-27,181.91000366210935,bear,False,False,True,False,expired,1895,2024-04-04,bear,5
full,TSLA,1910,2024-04-25,170.8800048828125,bear,False,False,True,False,confirmed,1912,2024-04-29,bear,2
full,TSLA,2036,2024-10-24,262.1199951171875,bull,True,False,False,False,confirmed,2037,2024-10-25,bull,1
full,TSLA,2137,2025-03-24,278.6400146484375,bear,False,False,True,False,confirmed,2138,2025-03-25,bull,1
full,TSLA,2359,2026-02-10,427.25,bull,False,True,False,False,confirmed,2360,2026-02-11,bull,1
full,TSLA,2405,2026-04-17,409.2799987792969,bull,False,True,False,False,expired,2410,2026-04-24,bear,5
full,MRNA,809,2022-02-24,156.4199981689453,bear,False,False,False,True,expired,814,2022-03-03,bear,5
full,MRNA,1053,2023-02-14,176.0399932861328,bull,False,True,False,False,expired,1058,2023-02-22,bull,5
full,MRNA,1180,2023-08-17,106.58000183105467,bear,False,False,False,True,confirmed,1182,2023-08-21,bear,2
full,MRNA,1235,2023-11-03,79.25,bear,False,False,False,True,expired,1240,2023-11-10,bear,5
full,MRNA,1432,2024-08-19,91.98999786376952,bear,False,False,False,True,expired,1437,2024-08-26,bear,5
full,MRNA,1500,2024-11-22,42.400001525878906,bear,False,False,False,True,confirmed,1505,2024-12-02,bear,5
full,MRNA,1525,2024-12-31,41.790000915527344,bear,False,False,True,False,confirmed,1526,2025-01-02,bear,1
full,MRNA,1602,2025-04-24,27.40999984741211,bear,False,False,True,False,confirmed,1604,2025-04-28,bear,2
full,MRNA,1705,2025-09-22,27.100000381469727,bear,False,False,False,True,expired,1710,2025-09-29,bear,5
full,MRNA,1741,2025-11-11,26.6200008392334,bear,False,False,True,False,confirmed,1742,2025-11-12,bear,1
full,MRNA,1778,2026-01-06,36.2599983215332,bull,True,False,False,False,confirmed,1783,2026-01-13,bull,5
full,NVDA,1615,2023-02-23,23.835042267919597,bull,True,False,False,False,expired,1620,2023-03-02,bull,5
full,NVDA,2083,2025-01-03,144.6839138332244,bull,False,True,False,False,confirmed,2084,2025-01-06,bull,1
full,NVDA,2148,2025-04-09,114.93891720962624,bear,False,False,False,True,expired,2153,2025-04-16,bear,5
full,NVDA,2395,2026-04-06,177.58301630024127,bear,False,False,True,False,confirmed,2396,2026-04-07,bear,1
full,NVDA,2495,2026-08-27,230.47000122070312,bull,True,False,False,False,pending,,,,0
full,GOOGL,1287,2021-10-27,148.64999389648438,bull,True,False,False,False,expired,1292,2021-11-03,bull,5
full,GOOGL,1352,2022-01-31,135.47300720214844,bull,False,True,False,False,confirmed,1353,2022-02-01,bull,1
full,GOOGL,1883,2024-03-13,141.08999633789062,bull,False,True,False,False,confirmed,1884,2024-03-14,bull,1
full,GOOGL,2010,2024-09-13,158.3800048828125,bull,False,True,False,False,confirmed,2012,2024-09-17,bull,2
full,GOOGL,2380,2026-03-09,306.79998779296875,bull,False,True,False,False,confirmed,2382,2026-03-11,bull,2
full,GOOGL,2480,2026-07-31,358.5799865722656,bull,False,True,False,False,confirmed,2481,2026-08-03,bull,1
full,AAOI,1349,2022-02-01,4.230000019073486,bear,False,False,False,True,expired,1354,2022-02-08,bear,5
full,AAOI,1373,2022-03-08,3.785000085830689,bear,False,False,False,True,expired,1378,2022-03-15,bear,5
full,AAOI,1412,2022-05-03,2.799999952316284,bear,False,False,False,True,expired,1417,2022-05-10,bear,5
full,AAOI,1584,2023-01-09,2.2799999713897705,bear,False,False,True,False,confirmed,1587,2023-01-12,bear,3
full,AAOI,1641,2023-03-31,2.2300000190734863,bear,False,False,False,True,expired,1646,2023-04-10,bear,5
full,AAOI,1668,2023-05-10,1.919999957084656,bear,False,False,False,True,expired,1673,2023-05-17,bear,5
full,AAOI,1916,2024-05-06,12.399999618530272,bear,False,False,True,False,expired,1921,2024-05-13,bear,5
full,AAOI,1958,2024-07-08,8.770000457763672,bear,False,False,False,True,confirmed,1960,2024-07-10,bear,2
full,AAOI,1986,2024-08-15,8.59000015258789,bear,False,False,True,False,confirmed,1988,2024-08-19,bear,2
full,AAOI,2130,2025-03-14,23.690000534057617,bull,True,False,False,False,expired,2135,2025-03-21,bull,5
full,AAOI,2158,2025-04-24,13.109999656677246,bear,False,False,True,False,confirmed,2163,2025-05-01,bear,5
full,AAOI,2253,2025-09-10,28.030000686645508,bull,True,False,False,False,confirmed,2256,2025-09-15,bull,3
full,AAOI,2349,2026-01-28,46.29999923706055,bull,True,False,False,False,expired,2354,2026-02-04,bull,5
full,AAOI,2475,2026-07-30,90.68000030517578,bull,True,False,False,False,confirmed,2477,2026-08-03,bull,2
