window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
training,SNOW,2022-11-15,b,bear,2022-11-11,bear,2.0,False,False,True,False,True,2022-12-14,-6.533864320950933,1.9231923645453897,-17.32757176974036,False,True
training,SNOW,2023-01-12,b,bear,2023-01-11,bear,1.0,False,False,True,False,True,2023-02-10,12.943286708039569,28.28427353432652,-3.5606651867941874,True,False
training,SNOW,2023-02-03,s,bull,,,,False,False,False,False,True,2023-03-06,-11.061723776954224,10.147734379395533,-17.91662037798123,True,False
training,SNOW,2023-08-31,b,bull,2023-08-30,bull,1.0,False,True,False,False,True,2023-09-29,-3.3712850254824622,9.013282384486331,-10.31626324334477,False,True
training,SNOW,2024-01-04,s,bull,,,,False,False,False,False,True,2024-02-02,18.524129504182362,19.05509929745255,-1.1052762984065767,False,True
training,SNOW,2024-06-27,b,bear,2024-06-26,bear,1.0,False,False,False,True,True,2024-07-26,-3.4069658912657896,9.666793985100885,-6.027707126774084,False,False
training,TSLA,2022-02-24,jf,bear,,,,False,False,False,False,True,2022-03-24,25.294407141119702,28.60372555563726,-6.57291872903455,True,False
training,TSLA,2022-08-05,s,bear,,,,False,False,False,False,True,2022-09-02,-8.403392727092163,6.666663218352764,-9.779663085937496,True,False
training,TSLA,2022-12-02,b,bear,2022-11-30,bear,2.0,False,False,True,False,True,2023-01-03,-42.937079243568746,0.9660060216799993,-44.763514547560476,False,True
training,TSLA,2023-01-17,b,bear,2023-01-09,bear,5.0,False,False,False,True,True,2023-02-14,53.2293524757989,56.70767708397118,-8.970416094760026,True,False
training,TSLA,2023-02-10,s,bear,,,,False,False,False,False,True,2023-03-13,-10.256147839317931,11.948357137290433,-15.692827278150489,True,False
training,TSLA,2023-08-01,s,bull,,,,False,False,False,False,True,2023-08-29,0.6299586435899895,3.5997892654836994,-16.907307381750215,False,False
training,TSLA,2024-04-29,b,bear,2024-04-25,bear,2.0,False,False,True,False,True,2024-05-28,-5.471171227560534,2.123222436312444,-10.28452035883044,False,True
training,TSLA,2024-07-11,s,bull,,,,False,False,False,False,True,2024-08-08,-15.674302898865733,12.63782979901691,-22.815946715636294,True,False
training,MRNA,2022-01-10,jf,bear,,,,False,False,False,False,True,2022-02-08,-32.16371789442755,1.106194690265494,-38.86283266860827,False,True
training,MRNA,2022-02-15,jf,bear,,,,False,False,False,False,True,2022-03-16,14.727005969554362,15.025070226403137,-17.348593570015115,True,False
training,MRNA,2022-08-17,s,bear,,,,False,False,False,False,True,2022-09-15,-13.464967764107282,0.9617799406598238,-17.46496698658937,True,False
