scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,setup,expiry_state,flat_uncovered,6,6,0,5,1,6,2,3,40.0,60.0,2.445008373143198,-3.463312534719265,10.101352898752069,-15.162679084042423,5,4,1,3.0
all,setup,recovery_state,unobserved,1,1,0,1,0,1,0,1,0.0,100.0,-4.355017676932393,-4.355017676932393,0.47974086737918586,-17.577294792474774,0,0,1,
all,setup,recovery_state,held,3,3,0,3,0,3,2,1,66.66666666666666,33.33333333333333,5.995661992041441,4.883502488413005,11.56055452035776,-9.561187756974084,3,0,0,9.0
all,setup,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,recovery_state,flat_uncovered,4,4,0,3,1,4,2,1,66.66666666666666,33.33333333333333,7.848950231140653,1.9461095476292822,16.195653531928468,-14.222620069591308,4,4,0,2.5
all,setup,failure,high,5,5,0,4,1,5,4,0,100.0,0.0,12.990985088759782,12.47688856344895,20.36851124242841,-9.350760177291187,5,3,0,3.0
all,setup,failure,mid,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,setup,failure,both,3,3,0,3,0,3,0,3,0.0,100.0,-4.928373787475079,-4.355017676932393,0.758106684841405,-17.175225854335398,2,1,1,23.0
all,setup,component,B_BASE_BULL,1,1,0,1,0,1,1,0,100.0,0.0,25.064053680511943,25.064053680511943,38.01537288332286,-13.771252519806144,1,1,0,3.0
all,setup,component,B_STAGE_COMPONENT,2,2,0,1,1,2,1,0,100.0,0.0,4.883502488413005,4.883502488413005,12.623580162770033,-9.578220190951292,2,1,0,5.5
all,setup,component,B_BEAR_RECOVER,2,2,0,2,0,2,1,1,50.0,50.0,6.5517417438556595,6.5517417438556595,11.029041699151621,-9.55267153998548,2,0,0,15.5
all,setup,component,B_CRASH_RECOVER,4,4,0,4,0,4,1,3,25.0,75.0,-3.209752953698988,-3.9091651058258288,3.1228479026093714,-15.510535725101493,3,2,1,18.0
all,setup,component,multiple,1,1,0,1,0,1,0,1,0.0,100.0,-6.966791150773577,-6.966791150773577,1.4400630305957618,-15.56824041896342,1,0,0,28.0
all,setup,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,all,all,8,8,0,7,1,8,6,1,85.71428571428571,14.285714285714285,32.238379124808986,14.491121491686187,40.5846447258391,-5.598025541158712,7,4,1,3.0
all,expiry,symbol,TQQQ,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
all,expiry,symbol,MSFT,1,1,0,1,0,1,1,0,100.0,0.0,28.94648361943908,28.94648361943908,30.284975545011307,-2.6718208514667996,1,0,0,3.0
all,expiry,symbol,NFLX,1,1,0,1,0,1,1,0,100.0,0.0,0.32476029609482815,0.32476029609482815,2.0974227203777396,-11.935046701907792,1,0,0,28.0
all,expiry,symbol,YINN,1,1,0,1,0,1,1,0,100.0,0.0,15.174852223315582,15.174852223315582,22.521650732218102,-3.97818340738868,1,1,0,18.0
all,expiry,symbol,SNOW,1,1,0,1,0,1,0,1,0.0,100.0,-1.6742321222109502,-1.6742321222109502,4.846769973231324,-12.244606879635601,0,0,1,
all,expiry,symbol,TSLA,1,1,0,1,0,1,1,0,100.0,0.0,14.491121491686187,14.491121491686187,21.85223960838687,-2.16883211149016,1,0,0,9.0
all,expiry,symbol,MRNA,1,1,0,1,0,1,1,0,100.0,0.0,6.215137220053846,6.215137220053846,17.330678547244748,-2.151398037133112,1,1,0,2.0
all,expiry,symbol,NVDA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,symbol,GOOGL,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,symbol,AAOI,1,1,0,1,0,1,1,0,100.0,0.0,162.19053114528435,162.19053114528435,185.1587759544036,-4.036290799088837,1,1,0,3.0
all,expiry,source_trusted,false,4,4,0,4,0,4,4,0,100.0,0.0,12.665308339725835,10.694994721684715,18.058681886212973,-5.184112249474096,4,2,0,10.5
all,expiry,source_trusted,true,4,4,0,3,1,4,2,1,66.66666666666666,33.33333333333333,58.3358068382532,14.491121491686187,70.6192618453406,-6.149909930071533,3,2,1,3.0
all,expiry,right_censored,false,7,7,0,6,1,7,6,0,100.0,0.0,37.89048099931231,14.832986857500885,46.540957184607066,-4.490261984745897,7,4,0,3.0
all,expiry,right_censored,true,1,1,0,1,0,1,0,1,0.0,100.0,-1.6742321222109502,-1.6742321222109502,4.846769973231324,-12.244606879635601,0,0,1,
all,expiry,setup_before_window,false,8,8,0,7,1,8,6,1,85.71428571428571,14.285714285714285,32.238379124808986,14.491121491686187,40.5846447258391,-5.598025541158712,7,4,1,3.0
all,expiry,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,expiry_state,held,2,2,0,2,0,2,2,0,100.0,0.0,21.718802555562633,21.718802555562633,26.068607576699087,-2.4203264814784795,2,0,0,6.0
all,expiry,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,expiry_state,flat_uncovered,6,6,0,5,1,6,4,1,80.0,20.0,36.44620975250753,6.215137220053846,46.39105958549511,-6.869105165030805,5,4,1,3.0
all,expiry,recovery_state,unobserved,1,1,0,1,0,1,0,1,0.0,100.0,-1.6742321222109502,-1.6742321222109502,4.846769973231324,-12.244606879635601,0,0,1,
all,expiry,recovery_state,held,3,3,0,3,0,3,3,0,100.0,0.0,14.587455135740031,14.491121491686187,18.07821262459197,-5.591899888288251,3,0,0,9.0
all,expiry,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,recovery_state,flat_uncovered,4,4,0,3,1,4,3,0,100.0,0.0,61.19350686288459,15.174852223315582,75.00370174462215,-3.388624081203543,4,4,0,2.5
all,expiry,failure,high,5,5,0,4,1,5,4,0,100.0,0.0,52.96081836911587,21.718802555562633,63.65666741376163,-2.757085449794727,5,3,0,3.0
all,expiry,failure,mid,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,expiry,failure,both,3,3,0,3,0,3,2,1,66.66666666666666,33.33333333333333,4.60846013239982,0.32476029609482815,9.821947808609055,-9.385945662977358,2,1,1,23.0
all,expiry,component,B_BASE_BULL,1,1,0,1,0,1,1,0,100.0,0.0,162.19053114528435,162.19053114528435,185.1587759544036,-4.036290799088837,1,1,0,3.0
all,expiry,component,B_STAGE_COMPONENT,2,2,0,1,1,2,1,0,100.0,0.0,14.491121491686187,14.491121491686187,21.85223960838687,-2.16883211149016,2,1,0,5.5
all,expiry,component,B_BEAR_RECOVER,2,2,0,2,0,2,2,0,100.0,0.0,14.635621957766954,14.635621957766954,16.19119913269452,-7.303433776687296,2,0,0,15.5
all,expiry,component,B_CRASH_RECOVER,4,4,0,4,0,4,3,1,75.0,25.0,5.010129404313327,3.269948758074337,11.69913049326798,-7.577308756516297,3,2,1,18.0
all,expiry,component,multiple,1,1,0,1,0,1,1,0,100.0,0.0,0.32476029609482815,0.32476029609482815,2.0974227203777396,-11.935046701907792,1,0,0,28.0
all,expiry,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,all,all,8,7,1,5,2,8,2,2,40.0,40.0,29.446522733633582,-6.117943314010466,43.19103763456218,-10.102245758977629,7,4,1,3.0
all,recovery,symbol,TQQQ,1,1,0,0,1,1,0,0,,,,,,,1,1,0,2.0
all,recovery,symbol,MSFT,1,1,0,1,0,1,1,0,100.0,0.0,23.629834976296806,23.629834976296806,28.977425527255885,-5.252186246487267,1,0,0,3.0
all,recovery,symbol,NFLX,1,1,0,0,1,1,0,0,,,,,,,1,0,0,28.0
all,recovery,symbol,YINN,1,1,0,1,0,1,0,1,0.0,100.0,-11.96030832655608,-11.96030832655608,4.961111366856419,-12.20166029860823,1,1,0,18.0
all,recovery,symbol,SNOW,1,0,1,0,0,1,0,0,,,,,,,0,0,1,
all,recovery,symbol,TSLA,1,1,0,1,0,1,0,0,0.0,0.0,-6.117943314010466,-6.117943314010466,8.86476708035051,-6.696603417385393,1,0,0,9.0
all,recovery,symbol,MRNA,1,1,0,1,0,1,0,1,0.0,100.0,-11.848678231924604,-11.848678231924604,5.103498507543969,-12.883656500267183,1,1,0,2.0
all,recovery,symbol,NVDA,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,symbol,GOOGL,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,symbol,AAOI,1,1,0,1,0,1,1,0,100.0,0.0,153.52970856436227,153.52970856436227,168.0483856908041,-13.477122332140079,1,1,0,3.0
all,recovery,source_trusted,false,4,4,0,3,1,4,1,2,33.33333333333333,66.66666666666666,-0.05971719406129239,-11.848678231924604,13.01401180055209,-10.112501015120893,4,2,0,10.5
